Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,Sustainability Databook 2023
,,,,
,,,,
,INDUSTRY ASSOCIATIONS,,,
,,,,
,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,
,,,,
,"Since 2019, South32 has undertaken an annual review of our member industry associations’ policies on climate change and published our findings in our sustainability disclosures. This year's review, supported by an external consultant, covers the period 1 July 2022 to 30 June 2023, considering available public documentation including traditional and social media, speeches, submissions, website content and public statements. Data was extracted and filtered utilising Artificial Intelligence technology, and reviewed against evaluation guidelines. The review also considers analysis and reporting of industry association advocacy by InfluenceMap, an independent body mapping climate policy engagement of industry associations. Findings were assessed against South32's climate change positions (see page 116 of our 2023 Sustainable Development Report), to evaluate potential misalignment and any subsequent action required.

",,,
,,,,
,Summary of alignment with industry associations,,,
,,,,
,Industry Association,Jurisdiction,Review,Alignment with South32
,Arizona Mining Association (AMA),"Arizona, USA","The AMA acknowledges the importance of addressing climate change. The AMA encourages its members to implement strategies that lead to sustained reductions in climate change risk. While the specifics of the Paris Agreement, such as the goal of limiting global warming to below 2ºC, are not explicitly mentioned, the AMA's commitment to collaborating and combating climate challenge is evident. ","Policy positions and advocacy are, on balance, aligned."
,Australian Aluminium Council (AAC),Australia,"The AAC: 
- supports the Paris Agreement and Australia's commitment to net zero by 2050;
- supports market mechanisms to reduce emissions and allow flexibility for 
  members to choose between market and non-market mechanisms;
- supports the use of credible carbon credits and a technology neutral approach;
- recognises the opportunities for low emissions technology and the importance of 
  transitioning Australia's electricity supply; and
- works collaboratively across the value chain through the Aluminium Stewardship 
  Initiative (ASI).","Policy positions and advocacy are, on balance, aligned."
,Australian Coal Association Research Program (ACARP),Australia,"As a research organisation, the ACARP does not advocate or explicitly take stances on political or international agreements such as the Paris Agreement. The ACARP invested over A$2 million in five specific greenhouse gas mitigation projects as specified in their current projects report published in May 2023.","While no evidence was found to suggest that ACARP has taken a stance or expressed an opinion on the Paris Agreement, no misalignment is determined given the nature of ACARP's activity."
,Brazilian Aluminium Association (ABAL),Brazil,The ABAL works collaboratively with key stakeholders in the Brazilian aluminium industry to promote sustainability and encourage Aluminium Stewardship Initiative (ASI) certification.,"Policy positions and advocacy are, on balance, aligned."
