Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,Sustainability Databook 2023
3,,INDUSTRY ASSOCIATIONS,,,
5,,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,
7,,"Since 2019, South32 has undertaken an annual review of our member industry associationsÃ¢ÂÂ policies on climate change and published our findings in our sustainability disclosures. This year's review, supported by an external consultant, covers the period 1 July 2022 to 30 June 2023, considering available public documentation including traditional and social media, speeches, submissions, website content and public statements. Data was extracted and filtered utilising Artificial Intelligence technology, and reviewed against evaluation guidelines. The review also considers analysis and reporting of industry association advocacy by InfluenceMap, an independent body mapping climate policy engagement of industry associations. Findings were assessed against South32's climate change positions (see page 116 of our 2023 Sustainable Development Report), to evaluate potential misalignment and any subsequent action required.\n\n",,,
9,,Summary of alignment with industry associations,,,
11,,Industry Association,Jurisdiction,Review,Alignment with South32
12,,Arizona Mining Association (AMA),"Arizona, USA","The AMA acknowledges the importance of addressing climate change. The AMA encourages its members to implement strategies that lead to sustained reductions in climate change risk. While the specifics of the Paris Agreement, such as the goal of limiting global warming to below 2ÃÂºC, are not explicitly mentioned, the AMA's commitment to collaborating and combating climate challenge is evident.","Policy positions and advocacy are, on balance, aligned."
13,,Australian Aluminium Council (AAC),Australia,The AAC: \n- supports the Paris Agreement and Australia's commitment to net zero by 2050;\n- supports market mechanisms to reduce emissions and allow flexibility for \n members to choose between market and non-market mechanisms;\n- supports the use of credible carbon credits and a technology neutral approach;\n- recognises the opportunities for low emissions technology and the importance of \n transitioning Australia's electricity supply; and\n- works collaboratively across the value chain through the Aluminium Stewardship \n Initiative (ASI).,"Policy positions and advocacy are, on balance, aligned."
14,,Australian Coal Association Research Program (ACARP),Australia,"As a research organisation, the ACARP does not advocate or explicitly take stances on political or international agreements such as the Paris Agreement. The ACARP invested over A$2 million in five specific greenhouse gas mitigation projects as specified in their current projects report published in May 2023.","While no evidence was found to suggest that ACARP has taken a stance or expressed an opinion on the Paris Agreement, no misalignment is determined given the nature of ACARP's activity."
15,,Brazilian Aluminium Association (ABAL),Brazil,The ABAL works collaboratively with key stakeholders in the Brazilian aluminium industry to promote sustainability and encourage Aluminium Stewardship Initiative (ASI) certification.,"Policy positions and advocacy are, on balance, aligned."
16,,Business Council of Australia (BCA),Australia,The BCA's advocacy and policy includes positions that clearly support the Paris Agreement objectives. The BCA is supportive of market mechanisms and has issued statements supporting international cooperation and collaboration.,"Policy positions and advocacy are, on balance, aligned."
17,,Business Leadership South Africa (BLSA),South Africa,"The BLSA expresses commitment to reducing emissions, has favourable views towards the Paris Agreement, and supports carbon pricing and subsidies as appropriate. The BLSA advocates for collaboration between business and government to overcome blockages to private sector investment in energy transition.","Policy positions and advocacy are, on balance, aligned."
18,,Carbon Market Institute (CMI),Australia,"The CMI supports the Paris Agreement and the goal of reaching net zero emissions. It advocates for strengthening emission reduction targets, engaging in international cooperation and carbon market development, decarbonisation technology support, and ensuring governance and integrity in carbon crediting.","Policy positions and advocacy are, on balance, aligned."
19,,Chamber of Minerals and Energy (CME),"Western Australia, Australia",The CME supports the Paris Agreement and Australia's commitment to net zero emissions by 2050. The CME supports market mechanisms and encourages low and stable costs for energy infrastructure. They also support access to technology that balances affordability and reliability for emission reductions.,"Policy positions and advocacy are, on balance, aligned."
