Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
44,,,,201-3 Defined benefit plan obligations and other retirement plans,See People tab in this FY23 Sustainability Data Pack,,,
45,,,,201-4 Financial assistance received from government,"No financial assistance is sought or received from government.\nTransurban builds and manages infrastructure in many cases with upfront\ngovernment co-investment, but this is a business relationship and is reflected\nin the contractual terms of the tolling concession granted to Transurban.",,,
46,,GRI 202: Market Presence 2016,,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,We do not have a significant portion of employees subject to minimum wage rules.,,,
47,,,,202-2 Proportion of senior management hired from\nthe local community,"FY23 Corporate Report/Executive Committee biographies\nTransurbanÃ¢ÂÂs business operates across several major urban centres, and our\nExecutive Committee are all from and based in those regions.",,,
48,,GRI 203: Indirect Economic Impacts 2016,,203-1 Infrastructure investments and services supported,FY23 Corporate Report/About Transurban\nFY23 Corporate Report/Our Roads and Projects,,,
49,,,,203-2 Significant indirect economic impacts,FY23 Corporate Report/Government and Industry\nFY23 Corporate Report/Business partners and suppliers\nFY23 Corporate Report/Customers,,,
50,,GRI 204: Procurement Practices 2016,,204-1 Proportion of spending on local suppliers,"Transurban operates in urban centres of Australia (Melbourne, Sydney,\nBrisbane), the United States (Virginia) and Canada (Montreal). The vast\nmajority of TransurbanÃ¢ÂÂs supply chain spend is on suppliers and activities that\nare physically, locally based around our roads, projects, and offices in each\nrespective city. Some spending relates to group-wide services or technology\nservices that are shared across regions.",,,
51,,GRI 205: Anti-corruption 2016,,205-1 Operations assessed for risks related to corruption,"Transurban has an organisational wide enterprise risk management approach spanning all projects, operations. This approach is linked with our contract management framework and supported by a mandatory Ethical Business Practices Training course.\n\nAs a result, fraud, corruption, bribery risks are considered across the full enterprise, operations and our business activities. As a result of these reviews no current significant exposure to these types of risks has been identified.",,,
52,,,,205-2 Communication and training about anti-corruption policies and procedures,"Training on anti-corruption policies and procedures are undertaken annually\nacross the organisation. It is pushed out to all employees in Australia, North America and Canada. 99% of employees completed the training FY23. Employee opinions about the effectiveness of controls are assessed via the Ã¢ÂÂOur VoiceÃ¢ÂÂ survey. Training is supported by internal communication.",,,
53,,,,205-3 Confirmed incidents of corruption and actions taken,Transurban has not been exposed to any corruption related incidents and therefore no action against employees or service providers has been required.,,,
54,,GRI 206: Anti-competitive Behavior 2016,,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",None in FY23,,,
55,,GRI 207: Tax 2019,,207-1 Approach to tax,See FY22 Tax Transparency Report,,,
56,,,,"207-2 Tax governance, control, and risk management",See FY22 Tax Transparency Report,,,
57,,,,207-3 Stakeholder engagement and management of concerns related to tax,See FY22 Tax Transparency Report - contact details included.,,,
58,,,,207-4 Country-by-country reporting,See FY22 Tax Transparency Report,,,
59,,GRI 301: Materials 2016,,301-1 Materials used by weight or volume,"Transurban is developing a Sustainable Resource Strategy that will improve our measurement of materials and waste and set group-wide targets. We currently monitor materials quantities on major projects on an individual basis, and are developing group-wide materials quantities totals.\n\nRefer to FY23 Corporate Report/Business partners and suppliers, for case studies on materials quantities used in construction projects, including materials and embodied emissions reductions achieved.",,,
60,,,,301-2 Recycled input materials used,See above and see FY23 Corporate Report/Business Partners and Suppliers/Environmental Leadership.,,,
61,,,,301-3 Reclaimed products and their packaging materials,TransurbanÃ¢ÂÂs only physical product is tolling tags which are provided to customers to enable toll road travel. Tags that are returned by customers and still function may be reused. Tags that no longer work are returned to our supplier where they are dismantled into their separate components for appropriate recycling or disposal.\n\nRefer to the Waste tab in this FY23 Sustainability data pack for data on customer tag collection and reuse/recycling.,,,
62,,GRI 302: Energy 2016,,302-1 Energy consumption within the organization,See FY23 Corporate Report/Communities\nSee also the Environment tab in this data pack,,,
63,,,,302-2 Energy consumption outside of the organization,"Transurban reports on its supply chain outside of the organisation on the basis of Scope 3 emissions (see GRI305-3), but currently does not convert this into an energy basis.",,,
64,,,,302-3 Energy intensity,See UN SDG tab in this FY23 Sustainability Data Pack,,,
65,,,,302-4 Reduction of energy consumption,FY23 Corporate Report/Communities\nSee also Energy and UN SDG tabs in this FY23 Sustainability Data Pack,,,
66,,,,302-5 Reductions in energy requirements of products and services,"By providing customers with safer, faster and more free-flowing travel choices on our roads, we estimate that on average our customers save on average 28% of their fuel usage driving on a Transurban toll road compared to the next best available un-tolled alternative route.\nRefer to FY23 Corporate Report/Communities for details on customer vehicle\ntime and emissions savings.",,,
67,,GRI 303: Water and Effluents 2018,,303-1 Interactions with water as a shared resource,"TransurbanÃ¢ÂÂs water use and impacts include:\nÃ¢ÂÂ¢ The use of potable or recycled water for our operations including offices, road cleaning and maintenance, fire control systems, and irrigation\nÃ¢ÂÂ¢ Management of stormwater and groundwater flows on our assets, including treatment and discharge",,,
68,,,,303-2 Management of water discharge-related impacts,"The majority of Transurban's water discharge relates to stormwater from road drainage and groundwater seepage into tunnels. Water is managed in line with asset specific criteria/guidelines determined by the locality, relevant legislation and receiving environment.\nThis includes drainage of stormwater to basins, treatment of groundwater in water treatment\nplants prior to discharge. On CityLink, treated groundwater is reinjected into the aquifer, a\nunique need on this asset.",,,
69,,,,303-3 Water withdrawal,See Environment section of this FY23 Sustainability Data Pack,,,
70,,,,303-4 Water discharge,See Environment section of this FY23 Sustainability Data Pack,,,
71,,,,303-5 Water consumption,See Environment section of this FY23 Sustainability Data Pack,,,
72,,GRI 304: Biodiversity 2016,,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","Sections of the following motorways are located adjacent to areas of high biodiversity value (National Parks or nature reserves):\nÃ¢ÂÂ¢ Hills M2 (SydneyÃ¢ÂÂLane Cove National Park)\nÃ¢ÂÂ¢ Gateway Motorway (BrisbaneÃ¢ÂÂKarawatha Forest, Nudgee Waterhole Reserve, Belmont Hills Reserve, Stretton Wetland )\nÃ¢ÂÂ¢ Legacy Way (BrisbaneÃ¢ÂÂMount Coot-Tha Forest/DÃ¢ÂÂAguilar National Park Reserve)\nÃ¢ÂÂ¢ Logan Motorway (BrisbaneÃ¢ÂÂGlider Forest Conservation Area, Sergeant Dan Stiller Memorial Reserve)\nÃ¢ÂÂ¢ A25 (MontrealÃ¢ÂÂRiviÃÂ¨re des Prairies sturgeon habitat).",,,
73,,,,"304-2 Significant impacts of activities, products and services on biodiversity","Transurban intends to develop a broader company-wide biodiversity strategy. \nCurrently Flora and fauna management plans are maintained at the regional level consistent with local regulations and habitat.\nIn some areas, motorways pass through areas of fragmented natural habitat and have impacts on wildlife movement. This also leads to the potential for animals crossing motorways. Where applicable, Transurban maintains motorway fencing and fauna crossing availability to channel animals to safe crossing locations.",,,
74,,,,304-3 Habitats protected or restored,Ongoing habitat restoration projects included partnering with Landcare Australia on the Power St Loop in Melbourne and M2 Motorscapes in Sydney.\nMajor projects also have a focus on protecting or enhancing local habitat where possible. The Logan Enhancement Project in Brisbane included a major Ã¢ÂÂfauna bridgeÃ¢ÂÂ and wildlife\nconnectivity improvements.,,,
75,,,,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,"TransurbanÃ¢ÂÂs A25 bridge in Montreal spans a river inhabited by sturgeon, which are present on the IUCN Red List with some species listed as endangered.",,,
76,,GRI 305: Emissions 2016,,305-1 Direct (Scope 1) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
77,,,,305-2 Energy indirect (Scope 2) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
78,,,,305-3 Other indirect (Scope 3) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
79,,,,305-4 GHG emissions intensity,See UN SDG tab in this FY23 Sustainability Data Pack,,,
80,,,,305-5 Reduction of GHG emissions,FY23 Corporate Report/Communities,,,
81,,,,305-6 Emissions of ozone-depleting substances (ODS),"Not applicable, Transurban does not produce emissions of ozone-depleting substances.",,,
82,,,,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",See Environment section of this FY23 Sustainability Data Pack,,,
83,,GRI 306: Waste 2020,,306-1 Waste generation and significant waste-related impacts,See FY23 Corporate Report/Communities \nSee also the Environment section of this FY23 Sustainability Data Pack.,,,
