Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
52,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,,,,,,,,,,,,,
53,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,,,,,,,,,,,,,
54,,Paid Internship,3,0.25,9,0.75,12,0.48,12,0.75,4,0.25,16,0.5,11,0.7857142857142857,3,0.21428571428571427,14,0.56,,,,,,,,,,,,,,,,,,,
55,,Graduates,5,0.38461538461538464,8,0.6153846153846154,13,0.52,7,0.4375,9,0.5625,16,0.5,6,0.5454545454545454,5,0.45454545454545453,11,0.44,,,,,,,,,,,,,,,,,,,
56,,Total,8,0.32,17,0.68,25,1,19,0.59375,13,0.40625,32,1,17,0.68,8,0.32,25,1,,,,,,,,,,,,,,,,,,,
57,,"Notes:\nPaid interns are individuals who participate in a university-led internship program. These include Industry Based Learning (IBL) internships, project-based internships and summer internships.\nGraduates include any worker with the Graduate Leadership Program WD Job Profile. Metrics are taken as at the end of financial year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Table 20 Percentage of workforce by employee category and age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,FY19,,,,FY20,,,,FY21,,,,FY22,,,,FY23,,,,,,,,,,,,,,,,,,,,
62,,,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,,,,,,,,,,,,,,,,,
63,,CEO,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,,,,,,,,,,,,,,,,,
64,,Executive Management (exc. CEO),0,0.005,0.003,0.008,0,0.003,0.001,0.004,0,0.004,0.001,0.005,0,0.004,0.001,0.005,0,0.003,0.002,0.005,,,,,,,,,,,,,,,,,
65,,Senior management / Specialist Leader,0,0.017,0.013,0.029,0,0.014,0.012,0.026,0,0.014,0.013,0.027,0,0.013,0.012,0.025,0,0.012,0.014,0.025,,,,,,,,,,,,,,,,,
66,,Middle Management / Specialist Partner,0.001,0.14,0.04,0.18,0.002,0.152,0.038,0.192,0.003,0.143,0.043,0.189,0.003,0.149,0.049,0.201,0.001,0.162,0.059,0.221,,,,,,,,,,,,,,,,,
67,,Manager / Specialist,0.025,0.248,0.031,0.304,0.025,0.257,0.033,0.315,0.022,0.256,0.035,0.313,0.026,0.262,0.042,0.33,0.033,0.255,0.048,0.336,,,,,,,,,,,,,,,,,
68,,Team leader / Advisor,0.036,0.125,0.022,0.183,0.044,0.115,0.021,0.18,0.048,0.113,0.021,0.183,0.049,0.113,0.022,0.184,0.041,0.113,0.024,0.177,,,,,,,,,,,,,,,,,
69,,Entry Level / support,0.086,0.155,0.053,0.294,0.074,0.151,0.056,0.282,0.064,0.16,0.058,0.282,0.056,0.146,0.054,0.255,0.052,0.131,0.052,0.235,,,,,,,,,,,,,,,,,
70,,Total,0.148,0.69,0.162,1,0.146,0.692,0.162,1,0.137,0.69,0.174,1,0.134,0.686,0.18,1,0.127,0.675,0.198,1,,,,,,,,,,,,,,,,,
71,,Notes:\nTotals in this table excludes supervised workers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Table 21 Composition of governance bodies by gender and age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
76,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
77,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
78,,Under 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
79,,30-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
80,,Over 50,6,0.67,3,0.33,9,1,6,0.667,3,0.333,9,1,8,0.8,2,0.2,10,1,8,0.727,3,0.273,11,1,7,0.7,3,0.3,10,1,,,,,,,
81,,Total,6,0.67,3,0.33,9,1,6,0.667,3,0.333,9,1,8,0.8,2,0.2,10,1,8,0.727,3,0.273,11,1,7,0.7,3,0.3,10,1,,,,,,,
82,,Notes:\nFigures represent Transurban CEO and Board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"Table 22 Number and rate of new employee hires by age group, gender and region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,
87,,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,%,,,,,,
88,,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,,,,,,,
89,,VIC,Under 30,30,0.02,28,0.019,58,0.039,21,0.013,23,0.015,44,0.028,18,0.01,21,0.012,39,0.023,35,0.019,34,0.019,69,0.038,40,0.021,34,0.018,75,0.039,,,,,,
90,,,30-50,71,0.048,45,0.03,116,0.079,45,0.029,50,0.032,95,0.061,41,0.024,57,0.033,99,0.057,73,0.04,91,0.05,164,0.09,91,0.048,96,0.05,187,0.098,,,,,,
91,,,Over 50,6,0.004,4,0.003,10,0.007,7,0.004,3,0.002,10,0.006,4,0.002,3,0.002,7,0.004,15,0.008,12,0.007,27,0.015,21,0.011,20,0.01,41,0.021,,,,,,
92,,,Total,107,0.072,77,0.052,184,0.125,73,0.047,76,0.049,149,0.095,63,0.037,81,0.047,145,0.084,123,0.068,137,0.075,260,0.143,152,0.08,150,0.078,303,0.159,,,,,,
93,,NSW,Under 30,6,0.004,6,0.004,12,0.008,16,0.01,10,0.006,26,0.017,13,0.008,9,0.005,22,0.013,16,0.009,13,0.007,29,0.016,9,0.005,10,0.005,19,0.01,,,,,,
94,,,30-50,13,0.009,9,0.006,22,0.015,53,0.034,20,0.013,73,0.047,34,0.02,31,0.018,65,0.038,40,0.022,34,0.019,74,0.041,37,0.019,27,0.014,64,0.033,,,,,,
95,,,Over 50,5,0.003,3,0.002,8,0.005,11,0.007,5,0.003,16,0.01,12,0.007,16,0.009,28,0.016,7,0.004,7,0.004,14,0.008,6,0.003,7,0.004,13,0.007,,,,,,
96,,,Total,24,0.016,18,0.012,42,0.028,80,0.051,35,0.022,115,0.074,59,0.034,56,0.032,115,0.067,63,0.035,54,0.03,117,0.064,52,0.027,44,0.023,96,0.05,,,,,,
97,,QLD,Under 30,6,0.004,3,0.002,9,0.006,11,0.007,1,0.001,12,0.008,6,0.003,8,0.005,14,0.008,6,0.003,8,0.004,14,0.008,3,0.002,8,0.004,11,0.006,,,,,,
98,,,30-50,24,0.016,14,0.009,38,0.026,20,0.013,8,0.005,28,0.018,22,0.013,16,0.009,39,0.023,23,0.013,24,0.013,47,0.026,29,0.015,18,0.009,47,0.025,,,,,,
