Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
3,,"Remuneration, leave & training",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Table 25 Utilisation of formal flexible working arrangements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,,,,,,,,,,,,,,,,
8,,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,
9,,,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,,,,,,,,,,,,,,,,
10,,Manager,1,23,24,2,20,22,5,22,27,3,30,33,4,40,44,,,,,,,,,,,,,,,,
11,,Non-manager,8,81,89,10,83,93,11,87,98,18,91,109,22,91,113,,,,,,,,,,,,,,,,
12,,Total,9,104,113,12,103,115,16,109,125,21,121,142,26,131,157,,,,,,,,,,,,,,,,
13,,"Notes:\nFormal flexible working arrangement is defined as full-time employee working compressed hours or a part-time employee.\nManager: includes seniority levels: Senior Executive, Senior Management / Specialist Leader, Middle Management / Specialist Partner and Manager / Specialist with direct reports.\nNon Manager: includes seniority levels: Manager / Specialist with no direct reports, Team Leader/Advisor and Entry Level /Support.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Table 26 Return to work and retention rates after parental leave by gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,
18,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,,,,,,,,,,
19,,Number of employees entitled to parental leave,695,492,794,453,896,592,1027,805,1058,885,,,,,,,,,,,,,,,,,,,,,
20,,Number of employees that took parental leave,48,52,49,43,75,48,76,51,81,55,,,,,,,,,,,,,,,,,,,,,
21,,Number of employees who returned to work after parental leave,47,49,51,27,69,42,69,44,73,38,,,,,,,,,,,,,,,,,,,,,
22,,Number of employees who returned to work after parental leave and were still employed 12 months after their return to work,32,19,46,41,45,22,52,33,33,36,,,,,,,,,,,,,,,,,,,,,
23,,Return to work rate,0.98,0.94,1,0.87,0.99,0.98,0.95,0.83,0.973,0.844,,,,,,,,,,,,,,,,,,,,,
24,,Retention rate,0.94,0.83,0.98,0.84,0.88,0.82,0.74,0.83,0.71,0.867,,,,,,,,,,,,,,,,,,,,,
25,,Notes:\nRetention rate is calculated based on total employees who returned from parental leave and were still employed for the following 12 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Table 27 Employee internal promotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,
30,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,,,,,,,,,,
31,,CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Executive Management (exc. CEO),,,1,0,1,1,,,1,0,,,,,,,,,,,,,,,,,,,,,
33,,Senior management / Specialist Leader,,,1,1,2,3,6,4,2,2,,,,,,,,,,,,,,,,,,,,,
34,,Middle Management / Specialist Partner,1,2,12,4,7,14,52,23,69,42,,,,,,,,,,,,,,,,,,,,,
35,,Manager / Specialist,3,6,13,7,31,24,73,23,56,52,,,,,,,,,,,,,,,,,,,,,
36,,Team leader / Advisor,5,5,8,11,18,14,28,31,28,30,,,,,,,,,,,,,,,,,,,,,
37,,Entry Level / support,1,2,2,2,4,3,4,9,10,9,,,,,,,,,,,,,,,,,,,,,
38,,Notes: \nPromotion is defined as anyone who has had an increase in compensation grade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Table 28 Average hours of training by employee category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,,,,,,,,,,,,,,,,
