Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
99,,,Over 50,2,0.001,3,0.002,5,0.003,4,0.003,0,0,4,0.003,3,0.002,1,0.001,4,0.002,8,0.004,3,0.002,11,0.006,4,0.002,4,0.002,8,0.004,,,,,,
100,,,Total,32,0.022,20,0.014,52,0.035,35,0.022,9,0.006,44,0.028,31,0.018,25,0.015,57,0.033,37,0.02,35,0.019,72,0.04,36,0.019,30,0.016,66,0.035,,,,,,
101,,US,Under 30,8,0.005,2,0.001,10,0.007,8,0.005,6,0.004,14,0.009,4,0.002,3,0.002,7,0.004,9,0.005,1,0.001,10,0.005,4,0.002,4,0.002,8,0.004,,,,,,
102,,,30-50,9,0.006,6,0.004,15,0.01,15,0.01,3,0.002,18,0.012,11,0.006,14,0.008,25,0.015,12,0.007,15,0.008,27,0.015,9,0.005,13,0.007,22,0.012,,,,,,
103,,,Over 50,2,0.001,1,0.001,3,0.002,6,0.004,0,0,6,0.004,5,0.003,2,0.001,7,0.004,2,0.001,3,0.002,5,0.003,3,0.002,3,0.002,6,0.003,,,,,,
104,,,Total,19,0.013,9,0.006,28,0.019,29,0.019,9,0.006,38,0.024,20,0.012,19,0.011,39,0.023,23,0.013,19,0.01,42,0.023,16,0.008,20,0.01,36,0.019,,,,,,
105,,CAN,Under 30,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106,,,30-50,,,,,,,,,,,,,2,0.001,0,0,2,0.001,2,0.001,0,0,2,0.001,0,0,0,0,0,0,,,,,,
107,,,Over 50,,,,,,,,,,,,,0,0,0,0,0,0,1,0.001,0,0,1,0.001,0,0,1,0.001,1,0.001,,,,,,
108,,,TOTAL,,,,,,,,,,,,,2,0.001,0,0,2,0.001,3,0.002,0,0,3,0.002,0,0,1,0.001,1,0.001,,,,,,
109,,,Grand Total,182,0.123,124,0.084,306,0.207,217,0.139,129,0.082,346,0.221,175,0.102,181,0.105,358,0.208,249,0.137,245,0.135,494,0.271,256,0.134,245,0.128,502,0.263,,,,,,
110,,"Notes:\nNew employee hire percentage is based on the Average Employee Headcount during the corresponding period. (includes permanent, fixed term, casual, parental leave, salary continuance). New Transurban employees only including casuals, permanent, fixed term. Excludes any individual/independent/MSA contractors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,"Table 23 Number and rate of employee turnover by age group, gender and region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,
115,,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,%,,,,,,
116,,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,,,,,,,
117,,VIC,Under 30,2,0.001,8,0.006,10,0.007,3,0.002,5,0.003,8,0.005,4,0.002,8,0.005,12,0.007,12,0.007,16,0.009,28,0.016,18,0.01,15,0.008,33,0.018,,,,,,
118,,,30-50,47,0.034,33,0.024,80,0.059,35,0.024,36,0.025,71,0.048,33,0.02,27,0.017,61,0.038,83,0.048,56,0.032,139,0.081,69,0.038,53,0.029,122,0.067,,,,,,
119,,,Over 50,7,0.005,10,0.007,17,0.012,5,0.003,7,0.005,12,0.008,8,0.005,6,0.004,14,0.009,15,0.009,10,0.006,25,0.015,13,0.007,13,0.007,26,0.014,,,,,,
120,,,Total,56,0.041,51,0.037,107,0.078,43,0.029,48,0.033,91,0.062,45,0.028,41,0.025,87,0.054,110,0.064,82,0.048,192,0.111,100,0.055,81,0.045,181,0.1,,,,,,
121,,NSW,Under 30,3,0.002,6,0.004,9,0.007,2,0.001,5,0.003,7,0.005,2,0.001,1,0.001,3,0.002,5,0.003,3,0.002,8,0.005,7,0.004,8,0.004,15,0.008,,,,,,
122,,,30-50,14,0.01,33,0.024,47,0.034,19,0.013,13,0.009,32,0.022,17,0.01,17,0.01,34,0.021,30,0.017,21,0.012,51,0.03,28,0.015,14,0.008,42,0.023,,,,,,
123,,,Over 50,5,0.004,26,0.019,31,0.023,5,0.003,4,0.003,9,0.006,10,0.006,1,0.001,11,0.007,12,0.007,7,0.004,19,0.011,8,0.004,7,0.004,15,0.008,,,,,,
124,,,Total,22,0.016,65,0.048,87,0.064,26,0.018,22,0.015,48,0.033,29,0.018,19,0.012,48,0.03,47,0.027,31,0.018,78,0.045,43,0.024,29,0.016,72,0.04,,,,,,
125,,QLD,Under 30,1,0.001,5,0.004,6,0.004,3,0.002,1,0.001,4,0.003,2,0.001,2,0.001,4,0.002,1,0.001,5,0.003,6,0.003,2,0.001,4,0.002,6,0.004,,,,,,
126,,,30-50,16,0.012,20,0.015,36,0.026,10,0.007,14,0.01,24,0.016,14,0.009,12,0.007,26,0.016,25,0.015,11,0.006,36,0.021,23,0.013,18,0.01,41,0.023,,,,,,
127,,,Over 50,5,0.004,13,0.01,18,0.013,8,0.005,0,0,8,0.005,4,0.002,3,0.002,7,0.004,5,0.003,4,0.002,9,0.005,7,0.004,3,0.002,10,0.006,,,,,,
128,,,Total,22,0.016,38,0.028,60,0.044,21,0.014,15,0.01,36,0.025,20,0.012,17,0.01,37,0.023,31,0.018,20,0.012,51,0.03,32,0.018,25,0.014,58,0.032,,,,,,
129,,US,Under 30,3,0.002,2,0.001,5,0.004,3,0.002,0,0,3,0.002,3,0.002,0,0,3,0.002,5,0.003,0,0,5,0.003,1,0.001,0,0,1,0.001,,,,,,
130,,,30-50,15,0.011,9,0.007,24,0.018,9,0.006,4,0.003,13,0.009,8,0.005,5,0.003,13,0.008,16,0.009,4,0.002,20,0.012,11,0.006,8,0.004,19,0.01,,,,,,
131,,,Over 50,4,0.003,3,0.002,7,0.005,2,0.001,2,0.001,4,0.003,4,0.002,0,0,4,0.002,5,0.003,2,0.001,7,0.004,8,0.004,1,0.001,9,0.005,,,,,,
132,,,Total,22,0.016,14,0.01,36,0.026,14,0.01,6,0.004,20,0.014,15,0.009,5,0.003,20,0.012,26,0.015,6,0.003,32,0.019,20,0.011,9,0.005,29,0.016,,,,,,
133,,CAN,Under 30,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
134,,,30-50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0.001,2,0.001,2,0.001,0,0,2,0.001,,,,,,
