Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,UN SDG Performance Summary,,,,,,
,UN SDG,Relevance to Transurban,Key FY23 initiatives and highlights ,Key FY23 performance metrics (FY18-23 trend/target status) ,Performance metric comments,,
,,Contributing to safer roads and reducing global deaths and injuries from road traffic accidents,"• Underperformed Road Injury Crash Index (RICI) FY23 target. 
• 91% of travel on our Australian roads and 63% of travel on our US roads deemed to be four-star or better under the International Road Assessment Program (IRAP).1
• Transurban's fleet has a five star safety rating.
• Our 24x7 control room and incident response team manage incidents and clear them quickly to reduce the risk of secondary incidents.
• Our roads are at least twice as safe as like roads, as independently assessed by the Monash University Accident Research Centre (MUARC).

For more information see the Customer section of our FY23 Corporate Report.","• Road Injury Crash Index (RICI); 4.3 (target ≤ 4.15)   
• Road user fatalities; 4
• Road Safety Action Plan completion rate; 92% (target 75%)","We set ourself an ambitious annual RICI target, lower than previous years. Our performance against RICI continues on a downward trend, despite underperformance in FY23. While we have made good progress on our road safety action plan activities, we have seen many challenges post-pandemic, including an increase in road deaths across the broader network in Australia and North America, which is understood to be related to changes in driver behaviour and travel patterns. We continue to work with Government and Industry to address these challenges. ",,
,,"We believe diversity in all its forms, including gender diversity, helps our business and our community to perform better ","• Workplace Gender Equality Agency (Australia) Employer of Choice Citation 2021–23 (held for 10 consecutive years).
• Rated in the top 10 in Australia and top 20 globally for gender equality by Equileap for the last three years. 
•  Ongoing support for community initiatives, for example funding Settlement Services International's Women at the Wheel driver training program for refugee and migrant women to obtain a drivers licence.
• Our Voice employee survey showed our diversity and inclusion approach continues to resonate with our people, with 86% of respondents agreeing that Transurban values all types of diversity.
• Females Excelling in Engineering and Technology (FEET) mentoring program continues to support women commencing their career in  the industry.

For more information see the Our People section of our FY23 Corporate  Report.","• Board diversity2; 70%M/30%F  
• Executive diversity3; 50%M/50%F   
• Direct employee diversity4; 55%M/45%F
• 60% employees accessing parental leave in FY23 were male","In FY23, the majority of those who took parental leave across the business were men (60%), a 69% increase since FY19.",,
,,Meeting our energy needs mainly from renewable sources is dramatically reducing our direct greenhouse gas emissions,"• US joins Australian assets with renewable energy agreements now in place for all markets. 
• Significant energy efficiency initiatives progressed, achieving 10 in 10 energy efficiency target ahead of 2030 target.

For more information see the Community section of our FY23 Corporate  Report.","• Proportion of energy purchased from renewables; 80%
• Total onsite renewable energy capacity; 231kW
• Energy-efficiency savings to date; 13%  
","Significant increase in renewable energy supply, with the maturing of New South Wales and Queensland power-purchasing agreements and North America now purchasing renewable electricity.   ",,
,,We can help underrepresented groups participate in and benefit from economic growth. ,"• Submitted FY22 Modern Slavery Statement (December 2022)  and continue to work with suppliers to identify and address how we may cause, contribute or are linked to any negative human rights impacts in our operations or supply chains.
• Supported the consultation on the review of the Australian Modern Slavery Act 2018 (Cth), including organising small supplier participation in consultation.
• Provided office space at a Sydney city location for not-for-profit Indigenous charity partner, KARI Foundation.5 The location means KARI is now closer to more of its stakeholders. 
• Completed our second Innovate Reconciliation Action Plan (RAP) and launched our third Innovate RAP (March 2023 - March 2025).6
• Continued focus on providing a safe and inclusive workplace for all workers. 
• Continued membership with Social Traders, an organisation that connects businesses with certified social enterprises.
• Continuing shared value partnerships: Ability Works in Victoria, Muru Mittigar in New South Wales and Multicap in Queensland. 
• Driver training partnerships provided underrepresented groups with the opportunity to obtain a drivers licence by removing barriers. 
• Supported 5 Salvation Army Employees to undertake a Diploma of Financial Counselling through financial scholarships. 
• Enhanced Family and Domestic Violence approach, offering uncapped paid leave (above the statutory minimum) for those who need it. 

For more information see the Business Partners and Supplier section in our FY23 Corporate Report.","• Gender pay equity gap; ≤1% since 2018 (like-for-like roles)
• Employee recordable injuries; 0  
• Contractor Recordable Injury Frequency Rate (RIFR); 2.77  (target ≤ 4) 
• Second Reconciliation Action Plan (RAP); 100% actions complete
• Number of people employed through our shared value partnerships; 106
• >$16.5M in social value has been created through our procurement, shared value partnerships and major projects
•  410 participants in driver training programs supported by Transurban during FY23 
• >$140M Indigenous procurement spend through our operations and projects to date (Australia) across more than 100 suppliers
• >USD70M spend in FY23 on disadvantaged business enterprises (DBEs) and small, women and minority owned (SWaM) businesses in the US","Transurban’s third Innovate RAP builds on the progress made through our previous Reflect and Innovate RAPs. To develop our RAP, we reviewed the strengths and opportunities that came from our last Innovate RAP and identified key areas for Transurban to focus on in order to mature our approach, including the delivery of an employment strategy.
",,
,,"Our core business is
providing and operating road infrastructure and we are committed to making it more
sustainable, accessible and resilient","•Rated 5-star company for UN SDG action by Support the Goals. 
•Rated or committed to rating the sustainability performance of 12 projects, worth approximately $27B to date.7 
• Encouraged uptake of Electric Vehicles (EVs), hosting EV experience days, and supporting Parliamentary Friends of Electric Vehicles and Future Fuels Transport launch. 
• Burnley Tunnel pacemaker lighting installed, using technology to reduce congestion and improve travel times. 
•Expanded GHG reporting to our top 100 suppliers, monitored through the Carbon Disclosure Project (CDP) Supply Chain reporting (in progress). 
•  Continued delivery of the toll credit program, enabling essential/emergency travel on our toll roads, providing access for those who may not otherwise be able to afford it. 
• Delivery of two new consolidated control rooms for our Transurban Queensland and WestConnex road operations, enabling safer more efficient journeys.  
• NeuRA Partnership progressed child restraint research, contributing to revised Australian New Zealand Child Restraint standards.
• Delivered 1000 free car seat fittings in partnership with Kidsafe as part of a National Road Safety Week initiative.
• In Montreal, Canada, motorists can utilise the A25 for free if they drive an electric vehicle, under a Quebec Government toll exemption program. We have observed a significant increase in EV utilisation on this asset since 2016 reaching a 12.7% of total traffic and more than 1000% growth.8

For more information see the Customer and Community sections of our FY23 Corporate Report.","• Support small business by paying 98.9% of small businesses within 30 days in the 1H23 period (under the BCA) with an average of 19 days (2902 invoices to 499 suppliers). 
• Close to 900 people supported through our toll credit program. 
•  28% average GHG emissions savings for customers using our roads. 
• Achieved 2030 scope 1 and 2 targets.
• 35 public transport routes use our roads
• 1475km+ of walking and bike paths delivered or maintained by Transurban",Scope 1 and 2 absolute emissions decreased significantly as we transitioned to mainly renewable energy use. ,,
