Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
3,,Workforce data & diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Table 16 Workforce by employment contract and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
8,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
9,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
10,,Casual,16,0.471,18,0.529,34,0.022,37,0.685,17,0.315,54,0.03,15,0.536,13,0.464,28,0.015,16,0.64,9,0.36,25,0.013,23,0.719,9,0.281,32,0.016,,,,,,,
11,,Fixed full-time,29,0.527,26,0.473,55,0.035,27,0.563,21,0.438,48,0.027,37,0.552,30,0.448,67,0.036,33,0.485,35,0.515,68,0.035,28,0.5,28,0.5,56,0.028,,,,,,,
12,,Fixed part-time,0,0,3,1,3,0.002,0,0,4,1,4,0.002,0,0,0,0,0,0,0,0,5,1,5,0.003,3,0.333,6,0,9,0.005,,,,,,,
13,,Permanent full-time,796,0.639,449,0.361,1245,0.795,921,0.65,497,0.35,1418,0.791,968,0.631,566,0.369,1535,0.824,969,0.604,633,0.395,1603,0.833,994,0.583,710,0.416,1705,0.853,,,,,,,
14,,Permanent part-time,6,0.064,88,0.936,94,0.06,9,0.098,83,0.902,92,0.051,9,0.092,89,0.908,98,0.053,10,0.109,82,0.891,92,0.048,12,0.109,98,0.891,110,0.055,,,,,,,
15,,Supervised Workers,91,0.669,45,0.331,136,0.087,110,0.621,67,0.379,177,0.099,,,,,134,0.072,,,,,132,0.069,,,,,87,0.044,,,,,,,
16,,Total,938,0.599,629,0.401,1567,1,1104,0.616,689,0.384,1793,1,1089,0.585,727,0.39,1862,1,1094,0.568,807,0.419,1925,1,1113,0.557,874,0.437,1999,1,,,,,,,
17,,Total excluding supervised workers,,,,,,,,,,,,,,,,,,,1028,0.573,764,0.426,1793,,1060,0.554,851,0.445,1912,,,,,,,,
18,,"Notes:\nTransurban's headcount definition includes direct Transurban employees (permanent full time/part time, fixed term full time/part time, casuals) & position managed contingents (i.e. ""Supervised workers"" engaged on temporary contract basis), but excludes non-executive directors & employees on maternity leave, salary continuance & any other contingents (SOWs).\nNumber of males, females per employment type is a % of the Total. Where relevant, employees identifying as non-binary are included in the Total number but not under Male or Female. Gender data is no longer recorded for all supervised workers, hence these employees are included in the Total figure but not Male or Female totals for FY21 onward.\nFor consistency with Corporate and other reports, additional row has been added called Total excluding supervised workers which reflects the gender mix for direct employees.\nFY23 - Non-binary represents 0.05% of our direct employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Table 17 Workforce by region and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
23,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
24,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
25,,VIC,507,0.585,359,0.415,866,0.553,514,0.577,376,0.423,890,0.496,491,0.551,380,0.426,891,0.479,502,0.527,439,0.461,953,0.495,531,0.522,483,0.474,1018,0.509,,,,,,,
26,,NSW,162,0.643,90,0.357,252,0.161,271,0.67,134,0.33,405,0.226,295,0.648,158,0.347,455,0.244,291,0.64,163,0.358,455,0.236,293,0.63,171,0.368,465,0.233,,,,,,,
27,,QLD,162,0.57,122,0.43,284,0.181,173,0.625,103,0.375,276,0.154,172,0.591,117,0.402,291,0.156,177,0.58,125,0.41,305,0.158,177,0.571,131,0.423,310,0.155,,,,,,,
28,,US,107,0.648,58,0.352,165,0.105,146,0.658,76,0.342,222,0.124,124,0.59,64,0.305,210,0.113,116,0.586,74,0.374,198,0.103,105,0.547,82,0.427,192,0.096,,,,,,,
29,,CAN,,,,,,,,,,,,,7,0.467,8,0.533,15,0.008,8,0.571,6,0.429,14,0.007,7,0.5,7,0.5,14,0.007,,,,,,,
30,,Total,938,0.599,629,0.401,1567,1,1104,0.616,689,0.384,1793,1,1089,0.585,727,0.39,1862,1,1094,0.568,807,0.419,1925,1,1113,0.557,874,0.437,1999,1,,,,,,,
31,,Total excluding supervised workers,,,,,,,,,,,,,,,,,,,1028,0.573,764,0.426,1793,,1060,0.554,851,0.445,1912,,,,,,,,
32,,"Notes:\nNumber of males, females per employment type is a % of the Total. Where relevant, employees identifying as non-binary are included in the Total number but not under Male or Female. Gender data is no longer recorded for all supervised workers, hence these employees are included in the Total figure but not Male or Female totals for FY21 onward.\nFor consistency with Corporate and other reports, additional row has been added called Total excluding supervised workers which reflects the gender mix for direct employees\nFY23 - Non-binary represents 0.05% of our direct employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
