Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workforce data & diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 16 Workforce by employment contract and gender  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
,Casual,16,0.471,18,0.529,34,0.022,37,0.685,17,0.315,54,0.03,15,0.536,13,0.464,28,0.015,16,0.64,9,0.36,25,0.013,23,0.719,9,0.281,32,0.016,,,,,,,
,Fixed full-time,29,0.527,26,0.473,55,0.035,27,0.563,21,0.438,48,0.027,37,0.552,30,0.448,67,0.036,33,0.485,35,0.515,68,0.035,28,0.5,28,0.5,56,0.028,,,,,,,
,Fixed part-time,0,0,3,1,3,0.002,0,0,4,1,4,0.002,0,0,0,0,0,0,0,0,5,1,5,0.003,3,0.333,6,0,9,0.005,,,,,,,
,Permanent full-time,796,0.639,449,0.361,1245,0.795,921,0.65,497,0.35,1418,0.791,968,0.631,566,0.369,1535,0.824,969,0.604,633,0.395,1603,0.833,994,0.583,710,0.416,1705,0.853,,,,,,,
,Permanent part-time,6,0.064,88,0.936,94,0.06,9,0.098,83,0.902,92,0.051,9,0.092,89,0.908,98,0.053,10,0.109,82,0.891,92,0.048,12,0.109,98,0.891,110,0.055,,,,,,,
,Supervised Workers,91,0.669,45,0.331,136,0.087,110,0.621,67,0.379,177,0.099,,,,,134,0.072,,,,,132,0.069,,,,,87,0.044,,,,,,,
,Total,938,0.599,629,0.401,1567,1,1104,0.616,689,0.384,1793,1,1089,0.585,727,0.39,1862,1,1094,0.568,807,0.419,1925,1,1113,0.557,874,0.437,1999,1,,,,,,,
