Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
3,,SASB,Disclosure,Location or response,
4,,SASB Sector: InfrastructureÃ¢ÂÂengineering and construction services,,,
5,,Topic: Environmental impacts of project development,,,
6,,IF-EN-160a.1,"Number of incidents of non-compliance with\nenvironmental permits, standards, and regulations",Many of Transurban's operating requirements have environmental obligations with performance targets and notification requirements in the event of an incident or exceedance.\n\nNo significant environmental non-compliance or monetary sanctions in FY23,
7,,IF-EN-160a.2,"Discussion of processes to assess and manage environmental risks associated with project design, siting, and construction","TransurbanÃ¢ÂÂs major projects complete a public Environmental Impact Statement /assessment in the planning phase, which informs environmental management processes during development to address key risks that vary on individual projects depending on location, project type and local stakeholder needs. These processes are documented on each projectÃ¢ÂÂs public website.\nRefer to FY23 Corporate Report/Project updates, for more details.\nTransurbanÃ¢ÂÂs major projects are also independently assessed using the Infrastructure Sustainability Rating Tool in Australia, and the Envision rating tool in North America. These rating tools assess performance and\nimprovements beyond industry standard environmental management practices, and Transurban sets contractually-required targets for major project contractors to achieve.\n\nRefer to FY23 Corporate Report/Business partners and suppliers for more details.",
8,,Topic: Structural integrity and safety,,,
9,,IF-EN-250a.1,Amount of defect- and safety-related rework costs,"Transurban engages contractors to design and construct its major infrastructure, who have obligations to rectify defects which may arise as a result of the construction works. \nTransurban may undertake rectification works to ensure the continued safe operation of its assets and, where possible, seek to recover such costs from the contractor.",
10,,IF-EN-250a.2,Total amount of monetary losses as a result of legal proceedings associated with defect- and safety related\nincidents,None. We note that the scope of monetary losses excludes legal and other fees and expenses incurred by Transurban entities in their defence or enforcing their rights,
11,,Topic: Workforce health and safety,,,
12,,IF-EN-320a.1,"(1) Total recordable incident rate (TRIR) and (2)\nfatality rate for (a) direct employees and (b) contract employees (Transurban uses the metric Ã¢ÂÂRecordable Injury Frequency RateÃ¢ÂÂ (RIFR) which is recordable injuries per million work hours. SASBÃ¢ÂÂs TRIR metric is recordable injuries per 200,000 work hours, making them directly convertible by a factor of five.)","Employee injuries: 0 recordable injuries.\nContractor RIFR: 2.77 recordable injuries per million work hours.\nNo employee or contractor fatalities.\nRefer to FY23 Corporate Report/Our people, for details.",
