Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
3,,Climate,,,,,,,,,,,,
4,,"As part of our response to TCFD, we use climate-related metrics and targets (also refer to Environment tab) to provide transparency on what we monitor and the progress we are making towards mitigating climate change-related impacts and risks. Other sustainability and environmental metrics (such as water use, waste diversion from landfill) are referenced in the Environmental pages of this Sustainability data pack. As we continue to progress against our Climate Change Framework and our approach to climate change and transition planning evolves, we will continue to review and enhance our current set of performance metrics in line with TCFD guidance, and the emerging IFRS Sustainability Disclosure Standards, S1 and S2. \n\nThe following information is forward looking and is provided to assist stakeholders in understanding our strategic resilience to a range of climate-related scenarios. This information may not be appropriate for other purposes. These forward looking statements require us to make assumptions and are subject to inherent risks and opportunities, which gives rise to the possibility that our strategic resilience conclusions will not prove to be accurate, that our assumptions may not be correct, and that our resilience conclusions may not be achieved. We caution readers to not place undue reliance on these statements as a number of risk factors may cause our actual resilience to differ materially from the conclusions expressed in such forward-looking statements.",,,,,,,,,,,,
5,,Table 14 Climate related metrics,,,,,,,,,,,,
6,,Metric,Unit of measure,FY20,FY21,FY22,FY23,Trend,Metric type,Financial category,,,,
7,,"Threat 1: Climate change awareness and policies impact operation, reputation and financial performance",,,,,,,,,,,,
8,,T 1.1 Degree of alignment with government partner climate change policies,Weak/Moderate/Strong,Strong,Strong,Strong,Strong,,Monitor,Assets and Liabilities,,,,
9,,Threat 2: Severe weather affects assets lifecycle and disrupts operations,,,,,,,,,,,,
10,,T 2.1 Number of recordable heat-related injuries that have occurred (Transurban employees and contractors)1,Number,0,0,0,0,Same,Monitor,Assets and Liabilities,,,,
11,,T 2.2 Traffic incidents on operational assets that occurred on wet or very\nhot days2,Number,2,19,31,15,None at this time,Monitor,Assets and Liabilities,,,,
12,,T 2.3 Operational assets with current high-level climate change risk assessments,%,0.8,1,1,1,Same,Monitor and improve,Assets and Liabilities,,,,
14,,T2.4 Operational assets with a CCAP in place4,%,0,0.05,0.14,0.63,Up,Monitor and improve,Assets and Liabilities,,,,
15,,T 2.5 Major projects under construction with finalised climate change risk assessments,%,1,1,0.5,75%3,Improved,Monitor,Assets and Liabilities,,,,
16,,Opportunity 1: Demonstrate sustainability leadership,,,,,,,,,,,,
17,,O 1.1 CDP score5,Rating,C,A-,B,A,Up,Monitor,Assets and Liabilities,,,,
18,,O 1.2 Cumulative weighted average Infrastructure Sustainability rating\nscore6,Points,80.2,76.5,76.5,78.1,Same,Improve,Assets and Liabilities,,,,
19,,Opportunity 2: Reduce emissions and move towards carbon neutrality,,,,,,,,,,,,
