Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,"Platform, technology & data",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Year ended 31 March,,,,,
,Product design & development ($000s),2023,2022.0,2021.0,,,
,Investment in product design & development (incl. R&D),597181,471990.0,311672.0,,,
,,,,,,,
,Data privacy incident,2023,2022.0,2021.0,,,
,Number of notifiable privacy incidents* (#),1,2.0,,,,
,* Australia - Office of the Australian Information Commissioner; Canada - Office of the Privacy Commissioner of Canada; New Zealand - Privacy Commissioner; Singapore - Personal Data Protection Commission; South Africa - Office of the Information Regulator; UK - Information Commissioner’s Office; USA (California) - State of California Department of Justice; Sweden - Swedish Authority for Privacy Protection,,,,,,
,,,,,,,
,Security training (%),2023,2022.0,2021.0,,,
,Employee completion of security training* ,78.5,91.0,,,,
,* Excludes Planday employees,,,,,,
