Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
1,,,Glossary,,,,,
5,,Section,,,,,,
7,,Financial,Subscriber numbers,,,,,
8,,,"Each unique subscription to a Xero-offered product that is purchased by a user (e.g. small business or accounting partner) and which is, or is available to be, deployed. Subscribers that have multiple subscriptions to integrated products on the Xero platform are counted as a single subscriber. \n",,,,,
10,,,Average revenue per user (ARPU) ($),,,,,
11,,,"Average revenue per user (ARPU) is calculated as AMRR (see definition below) at 31 March, divided by subscribers at that time and divided by 12 to get a monthly view.",,,,,
13,,,Customer acquisition costs (CAC) months,,,,,
14,,,"Are the months of ARPU to recover the cost of acquiring each new subscriber. The calculation represents the sales and marketing costs for the year, excluding the capitalisation and amortisation of contract acquisition costs, less Xerocon revenue, divided by gross new subscribers added during the same period, divided by ARPU.",,,,,
16,,,Churn (%),,,,,
17,,,Is the value of monthly recurring revenue (MRR) from subscribers who leave Xero in a month as a percentage of the total MRR at the start of that month. The percentage provided is the average of the monthly churn for the previous 12 months.,,,,,
19,,,Lifetime value (LTV) per subscriber,,,,,
20,,,"Is the gross margin expected from a subscriber over the lifetime of that subscriber.\n\nThis is calculated by taking the average subscriber lifetime (one divided by churn), multiplied by ARPU, multiplied by the gross margin percentage. Xero Group LTV is calculated as the sum of the individual segment LTV, multiplied by their respective segment subscribers, divided by total Xero Group subscribers.",,,,,
22,,,LTV/CAC,,,,,
23,,,"Is the ratio between the LTV per subscriber and the cost to acquire that subscriber. For example, the LTV derived from a subscriber is currently on average 6.5 times the cost of acquiring that subscriber.\n\nXero strives to maximise total LTV while optimising the level of CAC investment it undertakes in order to achieve a desirable LTV/ CAC ratio. Xero can improve total LTV in multiple ways, such as increasing subscriber numbers, enhancing products and services for existing subscribers thereby increasing ARPU and/or reducing churn, and improving gross margin through cost efficiencies.",,,,,
25,,,Operating revenue by geography ($),,,,,
26,,,"Operating revenue includes subscription revenue as well as revenue from other related services including revenue share agreements with financial services providers, software licences, and the implementation of online accounting and other software services.\n\nSubscription revenue comprises recurring fees from subscribers to XeroÃ¢ÂÂs cloud-based platform, products and services. Within a subscription, customers also receive support services and product updates.",,,,,
28,,,Gross profit ($),,,,,
29,,,"Gross profit represents operating revenue less cost of revenue. Cost of revenue consists of expenses directly associated with securely hosting XeroÃ¢ÂÂs services, sourcing relevant data from financial institutions, and providing support to subscribers.\n\nThe costs include hosting costs, bank feed costs, personnel and related expenses (including salaries, benefits, bonuses, and sharebased payments) directly associated with cloud infrastructure and subscriber support, contracted third-party vendor costs, related depreciation and amortisation, and allocated overheads.",,,,,
31,,,Operating income ($),,,,,
32,,,Operating income is a non-GAAP financial measure that has been included to demonstrate the operating performance of the business. Xero defines operating income as total operating revenue less cost of revenue less total operating expenses.,,,,,
34,,,EBITDA ($),,,,,
