Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2022,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,,People & culture,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Employee advocacy & retention,2023,2022*,2021,,,,,,,,,,,,,,,,,,,,,,,,
4,,Employee net promoter score (eNPS) (#),32,41,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Annual voluntary employee turnover (%),15.7,16.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,,* Excludes Planday employees for FY22,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Employee gender breakdown (%) **,2023,2022*,2021,,,,,,,,,,,,,,,,,,,,,,,,
9,,Male,55.1,55.3,58,,,,,,,,,,,,,,,,,,,,,,,,
10,,Female,44.2,44,42,,,,,,,,,,,,,,,,,,,,,,,,
11,,Gender diverse,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Non-binary,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Prefer not to say,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
14,,* Excludes Planday employees for FY22,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"**Gender and age data covers XeroÃ¢ÂÂs global workforce, excluding contingent workers. All data is self-reported\n\nXero has an optional gender identification question that allows employees to choose from the following options: female, male, gender diverse, non-binary, none of the options offered and prefer not to say. Where employees have selected none of the options offered or prefer not to say, their responses are included in the total. 5 employees (0.1%) were excluded from the total because they did not respond to the gender identification question\n\nThese figures include permanent full-time, permanent part-time, fixed-term, casual employees, and interns. Percentages might not add up to 100% due to rounding",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Race & ethnicity by geography (%) *****,2023,,2022******,,2021,,,,,,,,,,,,,,,,,,,,,,
19,,Australia,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
20,,Aboriginal or Torres Strait Islander People,<1,0,<1,0,<1,,,,,,,,,,,,,,,,,,,,,,
21,,African or Middle Eastern*,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,
22,,Asian**,17,8,16,10,12,,,,,,,,,,,,,,,,,,,,,,
23,,Other Oceanian***,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,
24,,No data,40,40,40,37,47,,,,,,,,,,,,,,,,,,,,,,
25,,People of the Americas,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,
26,,White or European****,38,46,40,47,36,,,,,,,,,,,,,,,,,,,,,,
