Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2022,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
68,,"****White or European includes people who selected any of these descriptors: Australian, North-West European, Southern and Eastern European",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,United Kingdom,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
71,,Asian*,10,4,11,3,9,,,,,,,,,,,,,,,,,,,,,,
72,,"Black, African Caribbean or Black British**",5,3,5,2,4,,,,,,,,,,,,,,,,,,,,,,
73,,No data,25,31,21,32,32,,,,,,,,,,,,,,,,,,,,,,
74,,Two or more races***,2,<1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
75,,White or European****,58,61,62,62,53,,,,,,,,,,,,,,,,,,,,,,
76,,"*Asian includes people who selected any of these descriptors: North-East Asian, South-East Asian, Southern and Central Asian\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"**African or Middle Eastern includes people who selected any of these descriptors: North African, Sub-Saharan African",,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"***Two or more races includes people who selected any of these descriptors: Mixed, White & Asian, White & Black Caribbean, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"****White or European includes people who selected any of these descriptors: Australian, North-West European, Southern and Eastern European",,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Asia*,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
82,,Asian**,5,0,4,0,,,,,,,,,,,,,,,,,,,,,,,
83,,Chinese,38,11,40,14,,,,,,,,,,,,,,,,,,,,,,,
84,,Filipino,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,
