Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
40,,102.0,General Disclosures,102-30,Effectiveness of risk management processes,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,,102.0,General Disclosures,102-31,"Review of economic, environmental, and social topics",,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,,102.0,General Disclosures,102-32,Highest governance body's role in sustainability reporting,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,,102.0,General Disclosures,102-33,Communicating critical concerns,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
45,,102.0,General Disclosures,102-35,Remuneration policies,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,,102.0,General Disclosures,102-36,Process for determining remuneration,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,,102.0,General Disclosures,102-37,Stakeholders' involvement in remuneration,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,,102.0,General Disclosures,102-38,Annual total compensation ratio,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,,102.0,General Disclosures,102-39,Percentage increase in annual total compensation ratio,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,,102.0,General Disclosures,102-40,List of stakeholder groups,"Spark's stakeholders include employees, shareholders, suppliers, customers, government, media, local communities, community partners, and industry or organisations.",,,,Spark,2023.0,,,,1,,153,,,,,,,,,,,,,,,,,,,
51,,102.0,General Disclosures,102-41,Collective bargaining agreements,"In FY23, Spark Limited announced a partnership with Netlinkz, an ASX-listed network-as-a-service technology company.",,,,Spark,2023.0,,,,1,,37,,,,,,,,,,,,,,,,,,,
