Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
200,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Internal Internship Program,,,Spark,2023.0,"In FY23, Spark created an internal internship programme that offers our frontline teams Ã¢ÂÂ those working in our stores and call centres Ã¢ÂÂ an opportunity to participate in new skilling and role opportunities. Successful participants complete two to three months of work experience in a new business part while retaining their current role.",,,2,,53,,"Internal, Internship, Program",4816.0,S,,,,,,,,,,,,,,,
201,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Compliance and Mandatory Training,,,Spark,2023.0,"There is a requirement for all Spark employees and contractors to complete mandatory e-learning modules when they commence working at Spark. These learning modules ensure proficiency in core foundational areas, such as health and safety, legal, privacy, decision-making, reporting and security.",,,2,,53,,"Compliance, Mandatory, Training",4816.0,S,,,,,,,,,,,,,,,
202,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Spark Wellbeing Program,,,Spark,2023.0,"Spark continued to weave Mahi Tahi, Spark's wellbeing programme, into their people's experiences and ways of working throughout FY23 so that wellbeing remained a key focus for Spark's people and leaders. Mahi Tahi works with Spark people to support their work and life goals.",,,2,,54,,"Training, Wellbeing, Program",34816.0,S,,,,,,,,,,,,,,,
203,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
204,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,"The total percentage of female Spark employees is 34%, and the males are 66%.",,,,Spark,2023.0,,,,2,,59,,,,,,,,,,,,,,,,,,,
205,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,The total basic salary plus short-term incentive target percentage was -13 %. Negative pay gap values indicate that the median or mean earnings for women are less than those for men.,,,,Spark,2023.0,,,,2,,59,,,,,,,,,,,,,,,,,,,
206,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
207,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
208,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
209,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
210,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
211,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
212,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
213,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
214,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
215,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Invest in Spark Foundation,,Spark,2023.0,"In FY23, Spark Foundation invested over $1.8 million into organizations and projects that accelerate Digital Equity. Around 80% of project funding supports nine multi-year partnerships spanning two to five years.",,,2,,65,,"Invest, Foundation, Local Community",17.0,S,,,,,,,,,,,,,,,
217,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Recycle A Device (RAD),,Spark,2023.0,"Recycle A Device (RAD) takes second-hand laptops donated by businesses and households, teaches local students to refurbish them, and then gets them into the hands of those who need them the most. The result is an end-to-end process of device collection, refurbishment, distribution, and disposal that enhances digital equity at every level, providing highly sought-after tools, access, and skills to rangatahi (young people) while also offering the added environmental benefit of diverting e-waste from landfill by giving these laptops a second life.",,,2,,65,,"Recycle, Device, RAD",17.0,S,,,,,,,,,,,,,,,
