Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
4,,CONTENTS,,,,,DIVERSITY AND INCLUSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,"A diverse, inclusive and non-discriminatory workplace is critical to the growth and culture of MinRes and is a key contributor to our long-term success. We are committed to fostering diversity at all levels regardless of gender identity, nationality, marital or family status, sexual orientation, age, disability or impairment, neurodiversity, Aboriginal or Torres Strait Islander identity, ethnicity, cultural background, religious beliefs, political conviction, union membership, socio-economic background, perspective or life experience. \n\n",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,Our diversity and inclusion performance metrics are detailed below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,GRI 405-1 | Diversity and Equal Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,Table 1: Board composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,Mineral Resources Limited Board Members as at 30 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,First Name,Last Name,Position,,Gender,Age,Tenure,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,James,McClements,Chairman (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,Chris,Ellison,Managing Director,,Male,Over 50,10+ years,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,Kelvin,Flynn,Director (Non Executive),,Male,Over 50,10+ years,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,Susan,Corlett,Director (Non Executive),,Female,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,Xi,Xi,Director (Non Executive),,Female,30-50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,Zimi,Meka,Director (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,Colleen,Hayward,Director (Non Executive),,Female,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,Justin,Langer,Director (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,Table 2: Employee diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,Overall female representation,0.148,0.132,0.154,0.16982864137086903,0.2026922081283976,0.2196237031826974,0.08353303370978295,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,Overall Indigenous representation,0.017,0.016,0.014,0.017747858017135864,0.01812063163344551,0.0351679268507122,0.940767163204303,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,Table 3: Total employees by role category and gender profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,MinRes Category1,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,Trend from FY22,,,,,,,,,
35,,,,,,,,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,,,,,,,
36,,,,,,,C-Suite,-,2,2,-,3,3,-,3,3,-,4,4,-,5,5,1,7,8,-,0.4,0.6,,,,,,,
37,,,,,,,Executives and Senior Management,4,33,37,3,40,43,4,36,40,7,98,105,6,46,52,8,65,73,0.3333333333333333,0.41304347826086957,0.40384615384615385,,,,,,,
38,,,,,,,Management,17,139,156,18,160,178,21,167,188,20,157,177,33,260,293,61,365,426,0.8484848484848485,0.40384615384615385,0.4539249146757679,,,,,,,
39,,,,,,,Professionals,66,180,246,87,241,328,90,255,345,156,377,533,138,380,518,251,585,836,0.8188405797101449,0.5394736842105263,0.6138996138996139,,,,,,,
40,,,,,,,"Operations, Support and Service",177,1165,1342,242,1851,2093,246,1524,1770,371,2074,2445,606,2389,2995,928,3416,4344,0.5313531353135313,0.4298869820008372,0.45041736227045076,,,,,,,
41,,,,,,,Total,264,1519,1783,350,2295,2645,361,1985,2346,554,2710,3264,783,3080,3863,1249,4438,5687,0.5951468710089399,0.4409090909090909,0.47217188713435154,,,,,,,
42,,,,,,,1 Refer to Table 9 for a definition of each MinRes occupational category in relation to the allocated role within the business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
