Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,DIVERSITY AND INCLUSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"A diverse, inclusive and non-discriminatory workplace is critical to the growth and culture of MinRes and is a key contributor to our long-term success. We are committed to fostering diversity at all levels regardless of gender identity, nationality, marital or family status, sexual orientation, age, disability or impairment, neurodiversity, Aboriginal or Torres Strait Islander identity, ethnicity, cultural background, religious beliefs, political conviction, union membership, socio-economic background, perspective or life experience. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our diversity and inclusion performance metrics are detailed below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 405-1 | Diversity and Equal Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Board composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mineral Resources Limited Board Members as at 30 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,First Name,Last Name,Position,,Gender,Age ,Tenure ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,James,McClements,Chairman (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chris,Ellison,Managing Director,,Male,Over 50,10+ years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Kelvin,Flynn,Director (Non Executive),,Male,Over 50,10+ years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Susan,Corlett,Director (Non Executive),,Female,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Xi,Xi,Director (Non Executive),,Female,30-50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Zimi,Meka,Director (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
