Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,HEALTH AND SAFETY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes recognises the fundamental role of our health and safety performance in our overall success and our social licence to operate. We work hard to protect the safety and wellbeing of the MinRes family - our workforce, their families and the communities in which we operate. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Our health and safety performance is detailed below.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 403-9 | Work Related Injuries,,,,,,,,,,,,,,
,,,,,,SASB | EM-MM-320a.1. Workforce Health and Safety,,,,,,,,,,,,,,
,,,,,,"Table 1: Historical safety injury rates for total employees and contractors (per 1,000,000 hours worked)",,,,,,,,,,,,,,
,,,,,,,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,"TRIFR1,4",14.52,7.15,4.86,5.99,2.34,2.49,3.99,3.63,2.31,2.33,2.075610280905134,-0.1091801369505863,,
,,,,,,"LTIFR2,4",1.32,0.89,0.21,0,0,0.17,0.12,0,0.12,0,0.07,-,,
,,,,,,HiPoFR3,-,-,-,-,-,-,-,-,-,1.65,3.98,1.4121212121212123,,
,,,,,,"1 Total Recordable Injury Frequency Rate (TRIFR): The sum of (fatalities + lost-time cases + restricted work cases + medical treatment cases x 1,000,000 hours worked) divided by actual hours to ensure that incident classification definitions are applied uniformly across the Occupational Safety and Health Administration (OSHA) guidelines for the recording and reporting of occupational injuries and illnesses. ",,,,,,,,,,,,,,
,,,,,,"2 Lost-Time Injury Frequency Rate (LTIFR): The sum of lost-time cases / 1,000,000 divided by actual hours to ensure that incident classification definitions are applied uniformly across the Occupational Safety and Health Administration (OSHA) guidelines for the recording and reporting of occupational injuries and illnesses.",,,,,,,,,,,,,,
,,,,,,"3 Any work-related incidents with an actual or potential level four or five outcome in accordance with internal Incident Management Procedure, such as vehicle collisions, explosions or malfunctioning equipment. The frequency rate can be determined by the number of potential events occurring per one million hours worked.",,,,,,,,,,,,,,
,,,,,,4 External limited assurance is provided over our FY23 LTIFR and TRIFR. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 2: Historical trends in Lost Time Injuries (LTI) - employees and contractors ,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
