Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,CULTURAL HERITAGE ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes recognises that our operations and projects intersect, lie adjacent to, or are located in proximity to areas of cultural heritage significance to local Indigenous Australian communities. We acknowledge and respect the relationships that Indigenous Australian communities have to land and waters. We are committed to building strong and trusting relationships with Indigenous Australian communities and continually improving our approach to protect and preserve cultural heritage.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Employee Cultural Awareness Training (CAT),,,,,,,,,,,,,,,
,,,,,,,,,FY221,FY23,Trend from FY22,,,,,,,,,,
,,,,,,Total number of CAT sessions held,,,61,164,1.6885245901639345,,,,,,,,,,
,,,,,,"1 In our 2022 Sustainability Report, we initially reported conducting 202 CAT sessions. However, upon review and data validation this year, we have identified an adjustment in the reported figure. The correct number of CAT sessions undertaken in FY22 was 61.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 2: Heritage site management and deployment of surveys,,,,,,,,,,,,,,,
,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
,,,,,,Total number of reportable heritage incidents ,,,-,1,-,,,,,,,,,,
,,,,,,Total number of days of heritage survey ,,,167,271,0.6227544910179641,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI G4 MM5,,,,,,,,,,,,,,,
,,,,,,Table 3: Number and percentage of operations where there are formal agreements with Indigenous Peoples' communities,,,,,,,,,,,,,,,
,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
,,,,,,Number of operations with formal agreements,,,4,5,0.25,,,,,,,,,,
,,,,,,Percentage of operations with formal agreements,,,0.8,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI G4 MM6,,,,,,,,,,,,,,,
,,,,,,"Table 4: Number of significant disputes related to land use, customary rights of local communities and Indigenous Peoples",,,,,,,,,,,,,,,
,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
,,,,,,Total number of instances,,,-,-,-,,,,,,,,,,
,,,,,,Total number of instances in which grievance mechanisms were used to resolve disputes,,,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
