Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,AIR QUALITY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes reports our emissions of listed substances annually to the National Pollutant Inventory (NPI) for facilities that meet the relevant reporting thresholds. These are estimated using the approaches defined in the NPI Emissions Estimation Technique (EET) manuals, with most calculations undertaken using emission factors.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Our air quality performance metrics are detailed below.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,"GRI 305-7 & GRI G4 - MM3 EN21 | Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",,,,,,,,,,,,,,
,,,,,,SASB | EM-MM-120a.1. Air quality,,,,,,,,,,,,,,
,,,,,,Table 1: Air quality emissions,,,,,,,,,,,,,,
,,,,,,Operation,Air Total Emissions1 (Tonnes),FY17,FY18,FY19,FY20,FY21,FY22,FY232,Trend from FY22,,,,,
,,,,,,MinRes (Total)3,,,,,,,,,,,,,,
,,,,,,,Carbon monoxide,747.964716512474,1023.9849452597132,921.7251917623199,1598.793702276022,1910.0093326082726,1584.444272195105,1412.7556,-0.10835892130005041,,,,,
,,,,,,,Lead and compounds,0.24002075694893338,0.5533206623537399,0.705963969642192,0.7921280401708707,0.7785559159630602,0.851157351668297,0.9353,0.09885674859857654,,,,,
,,,,,,,Mercury and compounds,0.0021184255551337716,0.0028713129365287907,0.002986971233825105,0.0055246740925054315,0.004680275237203437,0.004890900451889321,0.004200000000000001,-0.1412624236959128,,,,,
,,,,,,,Oxides of nitrogen,1581.3546754289862,1679.834165475017,1657.3584295997211,2234.069052498331,2715.9941468811976,2964.0959215066277,3001.1215,0.012491356377749282,,,,,
,,,,,,,Particulate matter <10um,5485.822297222429,9119.428223368777,12381.548311601959,16972.062363893212,17920.48360994549,19240.49545727886,19433.8466,0.010049176911813618,,,,,
,,,,,,,Particulate matter <2.5um,91.6795975808228,93.68299362951961,84.40619087327495,120.3090837768357,154.70583406371196,170.72865533787183,178.4187,0.04504249533805314,,,,,
,,,,,,,Sulphur dioxide5,0.7678316939096879,1.0615141372656376,1.0383779594794444,1.3058988712772166,1.7720771324740379,1.8443419207471237,1.9031,0.03185856081884972,,,,,
,,,,,,,Total volatile organic compounds,119.79992474835629,129.9485118402651,121.64454525378778,166.28081454594272,188.28891036086804,195.65121506991494,208.3767,0.06504168617372334,,,,,
,,,,,,,,,,,,,,,,,,,,
