Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,CONTENTS,,,,,OUR STAKEHOLDERS,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"Stakeholder engagement is an important part of informing our materiality assessment and to understand the broader impact of our business and social licence to operate.

MinRes engages with a diverse range of stakeholders to build trusting relationships and drive best business practices. Our stakeholders are identified as individuals, groups or organisations who have a material influence on, or are materially influenced by, MinRes’ operations and activities. Table 1 shows our key stakeholder groups, our engagement mechanisms, the issues that matter to our stakeholders and how we manage those issues.",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,GRI 2-29 | Approach to stakeholder engagement,,,,
,,,,,,Table 1: Our stakeholders,,,,
,,,,,,,,,,
,,,,,,,,How we engage,What matters,How we manage what matters
,,,,,,,Employees & contractors ,"• Intranet (MinRes Connect) which can be viewed on personal devices
• Weekly newsletter (The Weekly Round-up)
• Managing Director quarterly webinars
• Leadership emails / announcements
• Leadership briefings
• Staff events
• Posters on noticeboards
• Printed collateral in lunchrooms
• Digital TVs and desktops across sites and offices
• Networking events
• Daily pre-start meetings
• Site and office inductions
• Training events and programs
• Team meetings
• Employee Your Voice surveys
• Barbecues, morning teas and fundraising events
• Industry events
• Cultural event celebrations including NAIDOC Week, Reconciliation Week and Change Champion Networks.","• Strategy and sustainable growth
• Safe and supportive working environment
• Business culture, ethics and anti-corruption
• Health and wellbeing
• Development and career opportunities
• Fair employee remuneration and recognition
• Diversity, equity and inclusion.","• Our Safety Management Framework ensures that we have a healthy and safe working environment
• Our Code of Conduct and Business Integrity defines the way we do business
• Employee Assistance Program, a professional and confidential service for employees and their families funded by MinRes
• Extensive health and wellbeing programs, as we recognise employee mental health as a top priority
• Remuneration and rewards – Employee Share Plan (MyShare), quarterly bonuses, remuneration reviews, deals and discounts for retail, accommodation, travel, health and wellness and financial services
• Support for training and professional development
• Performance reviews and regular job appraisals."
,,,,,,,Indigenous Peoples & local communities ,"• Support and participation in local community events
• Information sessions and meetings with community members
• Heritage surveys
• Culturally appropriate meetings with Native Title holders, claimant groups and other Traditional Owners
• Regional-based community consultation group meetings and site-based community reference groups
• On-Country Board meetings
• Regional community office for face-to-face engagement.","• Shared value and local economic development 
• Proactive consultation where we plan activities 
• Contracting and employment opportunities
• Heritage conservation and respect for sites
• Land management and rehabilitation
• Indigenous Australian community health
• Understanding their expectations, concerns and interests
• Building genuine long-term relationships.","• Agreements with Native Title groups
• Community partnerships
• Community donations and sponsorships
• Employment and work experience opportunities such as traineeships
• Engaging with local Indigenous Australian businesses
• Capacity building by facilitating cross-industry support of Indigenous Australian businesses to expand their customer base
• Managing complaints and grievances
• Outcomes from our Reconciliation Action Plan."
