Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CONTENTS,,,,,BIODIVERSITY,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"MinRes recognises the nature of our operations has the potential to impact natural habitats and ecosystems in direct and indirect ways.  We work to ensure direct and indirect environmental impacts are avoided, minimised, rehabilitated and offset in alignment with the mitigation hierarchy. We are committed to responsible environmental management during all aspects of the mine lifecycle to protect the long-term health of the environments and communities where we operate.

Our biodiversity performance metrics are detailed below.",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"GRI 304-1 | Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,,,,,,,
,,,,,,Table 1: Site biodiversity status and species per IUCN Red List conservation status,,,,,,,,,,
,,,,,,,Yilgarn Hub,Pilbara Hub,,Ashburton Hub,Lithium Commodities,,,,,
,,,,,,,Koolyanobbing,Iron Valley,Wonmunna,Ashburton Infrastructure Project & Onslow Iron Ore Project (OIO),Wodgina,Mt Marion,,,,
,,,,,,Geographic Location,Yilgarn Hub is located approximately 47km north-east of Southern Cross in the Shire of Yilgarn in Western Australia.,Iron Valley is located approximately 75km north-west of Newman in the Pilbara region of Western Australia.,Wonmunna is located  approximately 80km north-west of Newman and approximately 360km south of Port Hedland in the Pilbara region of Western Australia.,The Ashburton Hub port facilities are located 12km from Onslow. Mining deposits are located between 35km and 85km south of Panawonica. A connecting haul road will facilitate transport of ore.,Wodgina is located approximately 90km south of Port Hedland in the Pilbara region of Western Australia.,Mt Marion is located approximately 40km south of the City of Kalgoorlie-Boulder in the Goldfields region of Western Australia.,,,,
,,,,,,Type of Operation,"Iron ore mine operations including haulage on private haul road, on-site processing and train loading.",Iron ore mine operations including on-site processing.,Iron ore mine operations including on-site processing.,"Iron ore mining, processing, haulage and shipping.",Lithium mine operations and on-site beneficiation plant.,Lithium mine operations and on-site beneficiation plant.,,,,
,,,,,,Size of operational site (ha),4539,587,483,251,1277,958,,,,
,,,,,,"Position in relation to protected area (in the area, adjacent to, or containing portions of) or the high biodiversity value area outside protected areas",Operation is located near the Mount Manning - Helena-Aurora Ranges.,"The operation is adjacent to Weeli Wolli Creek, located along the eastern boundary of the site.",Wonmunna is located approximately 26.5km upstream of the Weeli Wolli Springs Priority Ecological Community (State listed PEC).,"This operation is located near the Cane River Conservation Park, and adjacent to State listed PEC.",The operation is not located in or adjacent to any protected areas under either State or Commonwealth legislation., The operation is not located in or adjacent to any protected areas under either State or Commonwealth legislation.,,,,
,,,,,,,Rare flora are also located in the Koolyanobbing Range and the Windarling Range. ,,,,,,,,,
