Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CONTENTS,,,,,ETHICS AND INTEGRITY,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"MinRes is committed to the highest standards of conduct and ethical behaviours in all of our business activities and stakeholder relationships. Our Code of Conduct and Business Integrity (the Code) outlines the way we do business and the behaviours that embody our MinRes values and Company ethos. The Code defines how employees, directors, officers and contractors (collectively called ""employees"") of MinRes and its subsidiaries should conduct themselves. ",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Our Whistleblower Policy provides an avenue for MinRes employees and stakeholders to raise and report any issues they believe are in breach of the MinRes Code and/or any other reportable conduct including, but not limited to, illegal activity, unethical behaviour, conflicts of interest, harassment, sexual harassment, discrimination, victimisation or bullying, whether experienced in a personal capacity or witnessed. ",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"We provide avenues for MinRes employees and stakeholders to raise a breach or suspected breach of the Code through both internal channels and our external independent whistleblowing service, MinRes Integrity Assist. ",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"For further information, refer to our:",,,,,,,,,,
,,,,,,Code of Conduct and Business Integrity,,,,,,,,,,
,,,,,,Whistleblower Policy,,,,,,,,,,
,,,,,,Whistleblower Procedure,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"GRI 102-17 | Strategies, policies and practices",,,,,,,,,,
,,,,,,Table 1: Percentage of employees completing Code of Conduct and Business Integrity e-training,,,,,,,,,,
,,,,,,,FY22,FY231,Trend from FY22,FY22,,,,,,
,,,,,,Competent,0.89,0.9068234455727775,0.018902747834581443,,,,,,,
,,,,,,Not Competent,0.11,0.0931765544272225,-0.15294041429797725,,,,,,,
,,,,,,1 External limited assurance is provided over our FY23 Code of Conduct completion rate. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,GRI 415-1 | Political Contributions,,,,,,,,,,
,,,,,,Table 2: Total monetary value of political contributions made directly and indirectly,,,,,,,,,,
,,,,,,,"FY19
AUD ","FY20
AUD ","FY21 
AUD","FY22
AUD","FY23
AUD",Trend from FY22,,,,
,,,,,,Australian Labor Party1,76414,8218,138217,124659,91679.09000000001,-0.2645610024145869,,,,
,,,,,,Liberal Party of Australia (WA) Inc,89455,10000,88700,98000,38000,-0.6122448979591837,,,,
,,,,,,National Party of Australia (WA),26636,3636,55000,20000,1818,-0.9091,,,,
,,,,,,Total ,192505,21854,281917,242659,131497.09000000003,-0.4580992668724423,,,,
,,,,,,1 Inclusive of political contributions to WA Labor.,,,,,,,,,,
