Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
45,,,,,,,,,,Yilgarn Iron,,,Iron Valley,,,Wonmunna,,,Mt Marion,,,Wodgina,,,FY23,,,TOTAL,
46,,,,,,,,Source3,,Category 14,Category 2,Category 3,Category 1,Category 2,Category 3,Category 1,Category 2,Category 3,Category 1,Category 2,Category 3,Category 1,Category 2,Category 3,Category 1,Category 2,Category 3,,
47,,,,,,,Withdrawal (input)1,Surface water,,239.9033404386046,-,-,122.5413346365503,-,-,-,-,-,67.99999999999999,-,-,194.66666666666666,-,-,625.1113417418215,-,-,625.1113417418215,
48,,,,,,,,Groundwater,,-,-,3651.1407967145788,14835.3102258727,-,-,553.8461765913758,-,-,-,-,1575,-,943.0266666666666,2179.4,15389.156402464076,943.0266666666666,7405.540796714578,23737.72386584532,
49,,,,,,,,Third party,,216.52161,-,-,-,-,-,-,-,-,114.52,-,-,-,-,-,331.04161,-,-,331.04161,
50,,,,,,,,Other (pit groundwater recovery),,-,-,186.35746851745384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186.35746851745384,186.35746851745384,
51,,,,,,,,Total,,456.4249504386046,-,3837.4982652320327,14957.851560509249,-,-,553.8461765913758,-,-,182.51999999999998,-,1575,194.66666666666666,943.0266666666666,2179.4,16345.309354205898,943.0266666666666,7591.898265232032,24880.234286104598,
52,,,,,,,Discharge (output)2,Surface water,,-,-,-,11119.35640279931,-,-,-,-,-,-,-,-,-,-,-,11119.35640279931,-,-,11119.35640279931,
53,,,,,,,,Groundwater,,-,-,-,-,-,-,-,-,-,-,-,250.88000000000002,-,-,420.24,-,-,671.12,671.12,
54,,,,,,,,Other,,,,,,,,,,,,,,,,,-,-,-,0,
55,,,,,,,,Evaporation,,-,-,1776.8417479619,-,50.728541075975464,-,510.1880821355236,-,-,73.90461974720499,-,319.9866666666667,305.3333333333333,-,1032.4266666666667,889.4260352160618,50.728541075975464,3129.2550812952336,4069.409657587271,
56,,,,,,,,Entrainment,,-,-,-,-,-,-,-,-,-,-,-,589.5733333333334,-,-,1126.7333333333333,-,-,1716.3066666666668,1716.3066666666668,
57,,,,,,,,Task Loss,,-,197.93938398357292,-,-,752.9011909650923,-,-,-,-,-,26.400000000000002,317.8133333333333,-,32.26666666666667,273.0933333333333,-,1009.5072416153318,590.9066666666665,1600.4139082819984,
58,,,,,,,,Total,,-,197.93938398357292,1776.8417479619,11119.35640279931,803.6297320410678,-,510.1880821355236,-,-,73.90461974720499,26.400000000000002,1478.2533333333333,305.3333333333333,32.26666666666667,2852.4933333333333,12008.782438015372,1060.2357826913073,6107.588414628567,19176.606635335247,
59,,,,,,,1 Water withdrawal is water that enters the operational water system and is used to supply the operational water demands.,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,"2 Water discharge is water that has been removed (discharged, consumed, used or lost) after it has been used for a task.",,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,"3 Water sources are defined as groundwater, surface water, and third-party. Third-party water is water supplied by an entity external to the operation, such as from a municipality. MinRes has no operations that withdraw seawater.",,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,4 Criteria for determining water quality categories correlates with the Mineral Council of AustraliaÃ¢ÂÂs (MCA) Water Accounting Framework with high quality water (Category 1) and low-quality water (Category 3).,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,Table 3: Water efficiency,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,Metric,Yilgarn Iron,,Iron Valley,,Mt Marion,,Wodgina,,Wonmunna,,TOTAL,,Trend from\nFY22,,,,,,,,,
67,,,,,,,,FY22,FY23,FY22,FY23,FY22,FY23,FY22,FY23,FY22,FY23,FY22,FY23,,,,,,,,,,
68,,,,,,,Total volume to tasks (ML/year),2664.91003952083,4275.34098965421,24057.207902486,14957.85156050924,1494.43810244589,1579,1018.88075613288,3190,465.534455852156,553.8461765913759,29700.971256437755,24556.038726754825,-0.17322438667953508,,,,,,,,,
69,,,,,,,Total volume of reused water (ML/year),10.762053388090344,0,0.566735112936344,0,147.351129363449,252,42.8826283367556,788,0,0,201.56254620123127,1040,4.159688739800445,,,,,,,,,
70,,,,,,,Reuse efficiency (%),0.40384302766278135,0,0.0023557809170272805,0,9.859968714815622,15.959468017732743,4.208797553456094,24.70219435736677,0,0,0.6786395786890037,4.235210782864895,5.2407364908578975,,,,,,,,,
71,,,,,,,Total volume of recycled water (ML)1,0,,0,0,0,0,0,0,,,0,0,-,,,,,,,,,
72,,,,,,,Recycling efficiency (%),0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,
73,,,,,,,Operational Efficiency (%),0.40384302766278135,0,0.0023557809170272805,0,9.859968714815622,15.959468017732743,4.208797553456094,24.70219435736677,0,0,0.6786395786890037,4.235210782864895,5.2407364908578975,,,,,,,,,
74,,,,,,,1 There was an incorrect classification of water under the Water Accounting Framework. This has resulted in a retrospective reclassification of recycled water for the FY22 figures.,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,"SASB EM-MM-140a.2 | Number of incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,"MinRes had zero incidents of non-compliance associated with water quality permits, standards and regulations.",,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,GRI 303-4 | Water Discharge (Surface),,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,Table 4: Water discharge (units in Megalitres - ML),,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,Operation,Water Quality,Water Stress,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,,,,
84,,,,,,,Iron Valley,Freshwater1,Medium-high,14581.016,13642.351,7705.66,4713.796,7470,11119.35640279931,0.48853499368129993,,,,,,,,,,,,,
