Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CONTENTS,,,,,SUSTAINABILITY ACCOUNTING STANDARDS INDEX,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,MinRes adopted the SASB - Metals and Mining Sustainability Accounting Standard for improved disclosure and transparency across a number of internationally recognised reporting frameworks.,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Code,,Accounting Metric,Direct Response/Reference,Reference,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,TOPIC: Greenhouse Gas Emissions,,,,,,,,,,
,,,,,,EM-MM-110a.1.,,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations ","MinRes discloses scope 1 emissions in our 2023 Annual Report (page 23) and 2023 Sustainability Report (page 174). 
Gases included in our emissions air quality data does not include methane. ",2023 Sustainability Report,,,,,,
,,,,,,,,,,2023 Annual Report,,,,,,
,,,,,,,,,,GHG Emissions,,,,,,
,,,,,,EM-MM-110a.2.,,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets ",Refer to our 2023 Sustainability Report - Responding to Climate Change for further information (page 162).,2023 Sustainability Report,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,TOPIC: Air Quality,,,,,,,,,,
,,,,,,EM-MM-120a.1.,,"Air emissions of the following pollutants: 
(1) CO
(2) NOx (excluding N2O)
(3) SOx
(4) Particulate matter (PM10)
(5) Mercury (Hg)
(6) Lead (Pb)
(7) Volatile organic compounds (VOCs) ","MinRes discloses our air quality in our 2023 Sustainability Report (page 127-128) and 2023 Sustainability Performance Tables. 

MinRes reports air emissions using our submissions to the National Pollutant Inventory (NPI). Submissions to the NPI cover the air pollutant emissions listed under SASB, as well as additional pollutants that are required by regulatory agencies where MinRes operates. Calculations are aligned with the NPI reporting rules and NPI emissions estimation methodology. This data is available to the public at http://www.npi.gov.au. ",2023 Sustainability Report,,,,,,
,,,,,,,,,,Air Quality,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,TOPIC: Energy Management,,,,,,,,,,
,,,,,,EM-MM-130a.1. ,,"(1) Total energy consumed
(2) Percentage grid electricity 
(3) Percentage renewable",MinRes discloses energy consumed in our 2023 Sustainability Report (page 30) and 2023 Sustainability Performance Tables. ,2023 Sustainability Report,,,,,,
,,,,,,,,,,Energy Consumption,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,TOPIC: Water Management,,,,,,,,,,
