Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
4,,CONTENTS,,,,,SUSTAINABILITY ACCOUNTING STANDARDS INDEX,,,,,,,,,,
7,,,,,,,MinRes adopted the SASB - Metals and Mining Sustainability Accounting Standard for improved disclosure and transparency across a number of internationally recognised reporting frameworks.,,,,,,,,,,
9,,,,,,,Code,,Accounting Metric,Direct Response/Reference,Reference,,,,,,
11,,,,,,,TOPIC: Greenhouse Gas Emissions,,,,,,,,,,
12,,,,,,,EM-MM-110a.1.,,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",MinRes discloses scope 1 emissions in our 2023 Annual Report (page 23) and 2023 Sustainability Report (page 174). \nGases included in our emissions air quality data does not include methane.,2023 Sustainability Report,,,,,,
13,,,,,,,,,,,2023 Annual Report,,,,,,
14,,,,,,,,,,,GHG Emissions,,,,,,
15,,,,,,,EM-MM-110a.2.,,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",Refer to our 2023 Sustainability Report - Responding to Climate Change for further information (page 162).,2023 Sustainability Report,,,,,,
17,,,,,,,TOPIC: Air Quality,,,,,,,,,,
18,,,,,,,EM-MM-120a.1.,,Air emissions of the following pollutants: \n(1) CO\n(2) NOx (excluding N2O)\n(3) SOx\n(4) Particulate matter (PM10)\n(5) Mercury (Hg)\n(6) Lead (Pb)\n(7) Volatile organic compounds (VOCs),"MinRes discloses our air quality in our 2023 Sustainability Report (page 127-128) and 2023 Sustainability Performance Tables. \n\nMinRes reports air emissions using our submissions to the National Pollutant Inventory (NPI). Submissions to the NPI cover the air pollutant emissions listed under SASB, as well as additional pollutants that are required by regulatory agencies where MinRes operates. Calculations are aligned with the NPI reporting rules and NPI emissions estimation methodology. This data is available to the public at http://www.npi.gov.au.",2023 Sustainability Report,,,,,,
19,,,,,,,,,,,Air Quality,,,,,,
21,,,,,,,TOPIC: Energy Management,,,,,,,,,,
22,,,,,,,EM-MM-130a.1.,,(1) Total energy consumed\n(2) Percentage grid electricity \n(3) Percentage renewable,MinRes discloses energy consumed in our 2023 Sustainability Report (page 30) and 2023 Sustainability Performance Tables.,2023 Sustainability Report,,,,,,
23,,,,,,,,,,,Energy Consumption,,,,,,
25,,,,,,,TOPIC: Water Management,,,,,,,,,,
26,,,,,,,EM-MM-140a.1,,(1) Total fresh water withdrawn\n(2) Percentage recycled\n(3) Percentage in regions with High or Extremely High Baseline Water Stress,"MinRes has enhanced water disclosure reporting related to the percentage water withdrawn and recycled in regions with high / extremely high baseline water stress. We are working to improve our performance in this area by FY24 in line with our water stewardship pathway, refer to our 2023 Sustainability Report (page 128-136).",2023 Sustainability Report,,,,,,
27,,,,,,,EM-MM-140a.2.,,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations","MinRes had zero incidents of non-compliance associated with water quality permits, standards and regulations through FY23. Refer to our 2023 Sustainability Report for further information (page 135).",2023 Sustainability Report,,,,,,
29,,,,,,,TOPIC: Waste & Hazardous Materials Management,,,,,,,,,,
