Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
4,,CONTENTS,,,,,SUSTAINABLE DEVELOPMENT GOALS,,,,,,,,
8,,,,,,,GOAL NUMBER,,GOAL DESCRIPTION,TARGET,DESCRIPTION,INDICATOR,MINRES CONTRIBUTION,MATERIAL TOPIC,REFERENCE
10,,,,,,,,3.0,Ensure healthy lives and promote wellbeing for all at all ages.,,,,,,
11,,,,,,,,,,3.6,"\nBy 2020, halve the number of global deaths and injuries from road traffic accidents\n",\n3.6.1 Death rate due to road traffic injuries,MinRes has completed a test pilot of an autonomous 330 tonne payload road train in the Yilgarn region. MinRes will commence mobilisation at our Ashburton Hub. This will take drivers off the road and reduce the number of deaths and injuries from road traffic accidents.,"Health, Safety & Wellbeing",2023 Sustainability Report
12,,,,,,,,,,3.8,"\nAchieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all\n",\n3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income,"MinRes offers a number of health and wellbeing services to employees. These include, mental health services through our Employee Assistance Program (EAP) provider and in-house psychologist, an on-site medical centre at the Perth corporate office along with coaching and training in first aid, mental health first aid and employee wellbeing.","Health, Safety & Wellbeing",2023 Sustainability Report
13,,,,,,,,,,,,\n3.8.1 Coverage of essential health services\n,,,
14,,,,,,,,,,3.9,"\nBy 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination",\n3.9.1 Mortality rate attributed to household and ambient air pollution,"MinRes has a comprehensive approach to water resource management, encompassing water audits, enhanced water efficiency, and compliance with industry standards. These initiatives collectively contribute to the SDG indicator's objective of minimising illnesses linked to compromised water and inadequate sanitation, thereby promoting responsible and sustainable water practices.","Health, Safety & Wellbeing\n\nManaging Environmental Impact",2023 Sustainability Report
15,,,,,,,,,,,,"\n3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",,,
16,,,,,,,,,,,,\n3.9.3 Mortality rate attributed to unintentional poisoning\n,,,
17,,,,,,,,4.0,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all.,,,,,,
