Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
4,,CONTENTS,,,,,GLOBAL REPORTING INITIATIVE,,,,,,
7,,,,,,,"MinRes reports in accordance with the Global Reporting Initiative (GRI) Standards 2021, and with the G4 Mining and Metals Sector Disclosures, including MinRes specific ESG performance indicators.",,,,,,
9,,,,,,,GRI Standard,GRI,Disclosure,MinRes FY23 Publication / Direct Response,"Publication, page number(s) and/or URL",Omission,Explanation
11,,,,,,,GENERAL DISCLOSURES,,,,,,
13,,,,,,,GRI 2: General Disclosures 2021: the organisation and its reporting practices,2-1,Organisation details,Mineral Resources Limited (ABN 33 118 549 910),,,
14,,,,,,,,,,Sustainability Report - About this Report,2023 Sustainability Report (page 2-3),,
15,,,,,,,,,,Sustainability Report - Mineral Resources At A Glance,2023 Sustainability Report (page 8-9),,
16,,,,,,,,,,Annual Report - Corporate Directory,2023 Annual Report (page 236-239),,
17,,,,,,,,2-2,Entities included in the organisations sustainability reporting,Annual Report Ã¢ÂÂ Parent entity information,2023 Annual Report (page 205),,
18,,,,,,,,2-3,"Reporting period, frequency and contact point",Sustainability Report - About this Report,2023 Sustainability Report (page 2-3),,
19,,,,,,,,2-4,Restatements of information,Sustainability Performance Data Tables - all restatements are italicised and are footnoted when material,2023 Sustainability Performance Data Tables,,
20,,,,,,,,2-5,External assurance,Sustainability Report - Independent Limited Assurance Statement,2023 Sustainability Report (page 181-182),,
21,,,,,,,,,,MinRes Board and Sustainability Committee are updated annually regarding the scope of external assurance. \nEY has provided external assurance over sustainability performance metrics for MinRes FY20 to date.,,,
22,,,,,,,GRI 2: General Disclosures 2021: Activities and workers,2-6,"Activities, value chain and other business relationships",Sustainability Report - Mineral Resources At A Glance,2023 Sustainability Report (page 8-9),Information incomplete,MinRes does not report against GRI 2-6 b iii on entities downstream from our organisation and their activities. MinRes will work on enhancing our disclosures year-on-year.
23,,,,,,,,,,Modern Slavery Statement,Mineral Resources Website: Modern Slavery Statement,,
24,,,,,,,,2-7,Employees,Sustainability Report Ã¢ÂÂ Diversity and Inclusion,2023 Sustainability Report (page 96-106),,
25,,,,,,,,,,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,,
26,,,,,,,,2-8,Workers who are not employees,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,Information unavailable,MinRes will work on enhancing our disclosures year-on-year.
27,,,,,,,GRI 2: General Disclosures 2021: Governance,2-9,Governance structure and composition,Sustainability Report Ã¢ÂÂ Governance,2023 Sustainability Report (page 37-64),,
28,,,,,,,,,,Sustainability Report - Diversity and Inclusion - Diversity in Leadership,2023 Sustainability Report (page 106),,
29,,,,,,,,,,Sustainability Performance Data Tables - Corporate Governance,2023 Sustainability Performance Data Tables - Corporate Governance,,
30,,,,,,,,,,Sustainability Performance Data Tables - Oversight and Responsibility,2023 Sustainability Performance Data Tables - Oversight and Responsibility,,
31,,,,,,,,2-10,Nomination and selection of the highest governance body,Board Nomination Committee Charter,Mineral Resources Website: Corporate Governance - Nomination Committee Charter,,
32,,,,,,,,2-11,Chair of the highest governance body,Annual Report - Chair's Review,2023 Annual Report (page 6-7),,
33,,,,,,,,,,MinRes Chair is an Independent Non-Executive Director,,,
34,,,,,,,,2-12,Role of the highest governance body in overseeing the management of impacts,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
35,,,,,,,,2-13,Delegation of responsibility for managing impacts,Mineral Resources Website: Corporate Governance,Mineral Resources Website: Corporate Governance - Nomination Committee Charter,,
36,,,,,,,,,,Sustainability Report - Governance - Our Board,2023 Sustainability Report (page 39),,
37,,,,,,,,,,Sustainability Report - Governance - Executive Leadership Team,2023 Sustainability Report (page 43),,
38,,,,,,,,2-14,Role of the highest governance body in sustainability reporting,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
39,,,,,,,,,,MinRes Sustainability Committee and Board have oversight and approval of sustainability annual reporting activities.,,,
40,,,,,,,,2-15,Conflicts of interest,Corporate Governance Statement \n,Mineral Resources Website: Corporate Governance Statement,,
41,,,,,,,,2-16,Communication of critical concerns,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
42,,,,,,,,2-17,Collective knowledge of the highest governance body,Corporate Governance Statement,Mineral Resources Website: Corporate Governance Statement,,
43,,,,,,,,,,Sustainability Report - Diversity & Inclusion - Diversity in Leadership\n\nAll Directors have experience in the governance of other organisations. All Executive Directors appointed to the Sustainability Committee have a deep familiarity with the management of material sustainability issues to enable effective oversight.,2023 Sustainability Report (page 106),,
44,,,,,,,,2-18,Evaluation of the performance of the highest governance body,Corporate Governance Statement,Mineral Resources Website: Corporate Governance Statement,,
45,,,,,,,,2-19,Remuneration policies,Annual Report - Remuneration Report,2023 Annual Report (page 94-138),,
