Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
4,,CONTENTS,,,,,HEALTH AND SAFETY,,,,,,,,,,,,,,
7,,,,,,,"MinRes recognises the fundamental role of our health and safety performance in our overall success and our social licence to operate. We work hard to protect the safety and wellbeing of the MinRes family - our workforce, their families and the communities in which we operate.",,,,,,,,,,,,,,
9,,,,,,,Our health and safety performance is detailed below.,,,,,,,,,,,,,,
12,,,,,,,GRI 403-9 | Work Related Injuries,,,,,,,,,,,,,,
13,,,,,,,SASB | EM-MM-320a.1. Workforce Health and Safety,,,,,,,,,,,,,,
14,,,,,,,"Table 1: Historical safety injury rates for total employees and contractors (per 1,000,000 hours worked)",,,,,,,,,,,,,,
15,,,,,,,,FY13,FY14,FY15,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
16,,,,,,,"TRIFR1,4",14.52,7.15,4.86,5.99,2.34,2.49,3.99,3.63,2.31,2.33,2.075610280905134,-0.1091801369505863,,
17,,,,,,,"LTIFR2,4",1.32,0.89,0.21,0,0,0.17,0.12,0,0.12,0,0.07,-,,
18,,,,,,,HiPoFR3,-,-,-,-,-,-,-,-,-,1.65,3.98,1.4121212121212123,,
19,,,,,,,"1 Total Recordable Injury Frequency Rate (TRIFR): The sum of (fatalities + lost-time cases + restricted work cases + medical treatment cases x 1,000,000 hours worked) divided by actual hours to ensure that incident classification definitions are applied uniformly across the Occupational Safety and Health Administration (OSHA) guidelines for the recording and reporting of occupational injuries and illnesses.",,,,,,,,,,,,,,
20,,,,,,,"2 Lost-Time Injury Frequency Rate (LTIFR): The sum of lost-time cases / 1,000,000 divided by actual hours to ensure that incident classification definitions are applied uniformly across the Occupational Safety and Health Administration (OSHA) guidelines for the recording and reporting of occupational injuries and illnesses.",,,,,,,,,,,,,,
21,,,,,,,"3 Any work-related incidents with an actual or potential level four or five outcome in accordance with internal Incident Management Procedure, such as vehicle collisions, explosions or malfunctioning equipment. The frequency rate can be determined by the number of potential events occurring per one million hours worked.",,,,,,,,,,,,,,
22,,,,,,,4 External limited assurance is provided over our FY23 LTIFR and TRIFR. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,,,,,
25,,,,,,,Table 2: Historical trends in Lost Time Injuries (LTI) - employees and contractors,,,,,,,,,,,,,,
26,,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
27,,,,,,,Lost Time Injury Frequency Rate (LTIFR) - employees,,,,,,,,,,,,,,
28,,,,,,,Number of LTI Ã¢ÂÂ employees,,,,,,-,-,-,1,-,-,-,,
29,,,,,,,"Employees LTIFR (per 1,000,000 hours worked)",,,,,,-,-,-,0.16,-,-,-,,
30,,,,,,,"Employees LTIFR (per 200,000 hours worked)",,,,,,-,-,-,0.03,-,-,-,,
31,,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
32,,,,,,,LTIFR - contractors,,,,,,,,,,,,,,
33,,,,,,,Number of LTI Ã¢ÂÂ contractors,,,,,,1,1,-,-,-,1,-,,
34,,,,,,,"Contractors LTIFR (per 1,000,000 hours worked)",,,,,,0.38,0.35,-,-,-,0.2621236953540117,-,,
35,,,,,,,"Contractors LTIFR (per 200,000 hours worked)",,,,,,0.08,0.07,-,-,-,0.052424739070802334,-,,
36,,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,1987047.5,2679477.6,3814992.76,0.4237822924886551,,
37,,,,,,,LTIFR Ã¢ÂÂ combined employees and contractors,,,,,,,,,,,,,,
38,,,,,,,Number of LTI Ã¢ÂÂ combined employees and contractors,,,,,,1,1,-,1,-,1,-,,
39,,,,,,,"Combined employees and contractors LTIFR (per 1,000,000 hours worked)",,,,,,0.17,0.12,-,0.12,-,0.07412893860375479,-,,
40,,,,,,,"Combined employees and contractors LTIFR (per 200,000 hours worked)",,,,,,0.03,0.02,-,0.02,-,0.014825787720750957,-,,
41,,,,,,,Hours worked Ã¢ÂÂ combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
44,,,,,,,Table 3: Historical trends in Total Recordable Injuries (TRI) - employees and contractors,,,,,,,,,,,,,,
45,,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
46,,,,,,,Total Recordable Injury Frequency Rate (TRIFR) - employees,,,,,,,,,,,,,,
