Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
4,,CONTENTS,,,,,TRAINING,,,,,,,,,,,,,,
7,,,,,,,"Providing high-quality and up-to-date training solutions is important to ensure our people are equipped and supported to have a positive impact on our organisation. We are committed to providing our people with the appropriate knowledge, skills and understanding to safely and effectively complete tasks to the expected standard. Our dedicated Training team is responsible for identifying needs within the business based on the scope of specific roles and associated work activities.\n\nOur training performance metrics are detailed below.",,,,,,,,,,,,,,
11,,,,,,,Table 1: Number of internal training courses/programs available,,,,,,,,,,,,,,
12,,,,,,,,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,
13,,,,,,,Total,219,318,340,0.06918238993710692,,,,,,,,,,
16,,,,,,,Table 2: Total hours of training per employee type,,,,,,,,,,,,,,
17,,,,,,,,FY21,FY22,FY23,Trend from FY22,FY22,,,,,,,,,
18,,,,,,,Employee1,46009,64238,111871,0.7415081415984308,,,,,,,,,,
19,,,,,,,Contractors,29816,41251,85934,1.083197983079198,,,,,,,,,,
20,,,,,,,Total,75825,105489,197805,0.8751244205556977,,,,,,,,,,
21,,,,,,1.0,"Employees include permanent part-time, permanent full-time, fixed-term part-time, fixed-term full-time and casual.",,,,,,,,,,,,,,
23,,,,,,,GRI 404-1 | Average hours of training per year per employee,,,,,,,,,,,,,,
24,,,,,,,Table 3: Average hours of training per employee by type of employee,,,,,,,,,,,,,,
25,,,,,,,,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,
26,,,,,,,Employee1,4.86,5.82,16.707138590203105,1.870642369450705,,,,,,,,,,
27,,,,,,,Contractor,5.68,7.2,9.553529738743746,0.32687913038107586,,,,,,,,,,
28,,,,,,1.0,"Employees include permanent part-time, permanent full-time, fixed-term part-time, fixed-term full-time and casual.",,,,,,,,,,,,,,
31,,,,,,,Table 4: Average hours of training per employee by employment contract type and gender profile,,,,,,,,,,,,,,
32,,,,,,,,FY21,,FY22,,FY23,,Trend from FY22,,,,,,,
33,,,,,,,,Female,Male,Female,Male,Female,Male,Female,Male,,,,,,
34,,,,,,,Permanent Part Time,2.7,4,4.34,2.8,4.108108108108108,3,-0.053431311495827645,0.0714285714285715,,,,,,
35,,,,,,,Permanent Full Time,7.53,12.54,9.27,13.59,12.23993288590604,18.205744680851065,0.3203811095907271,0.3396427285394456,,,,,,
36,,,,,,,Fixed-term Part Time,2.5,3,7.63,20.44,9.333333333333334,16.7,0.22324159021406736,-0.18297455968688853,,,,,,
37,,,,,,,Fixed-term Full Time,7.79,7.51,12.97,8.19,15.79245283018868,16.13157894736842,0.2176139421887956,0.9696677591414435,,,,,,
38,,,,,,,Casual,5.63,8.12,7.72,12.04,5.948717948717949,13.032967032967033,-0.22944068021788225,0.08247234493081676,,,,,,
41,,,,,,,Table 5: Total hours of Emergency Response training2 per employee by type of employee,,,,,,,,,,,,,,
42,,,,,,,,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,
43,,,,,,,Employee1,2308,4823,5828,0.2083765291312461,,,,,,,,,,
44,,,,,,,Contractors,16,28,104,2.7142857142857144,,,,,,,,,,
45,,,,,,,Total,2324,4851,5932,0.22284065141207998,,,,,,,,,,
46,,,,,,,"1 Employees include permanent part-time, permanent full-time, fixed-term part-time, fixed-term full-time and casual.",,,,,,,,,,,,,,
