Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
4,,CONTENTS,,,,,CULTURAL HERITAGE,,,,,,,,,,,,,,,
7,,,,,,,"MinRes recognises that our operations and projects intersect, lie adjacent to, or are located in proximity to areas of cultural heritage significance to local Indigenous Australian communities. We acknowledge and respect the relationships that Indigenous Australian communities have to land and waters. We are committed to building strong and trusting relationships with Indigenous Australian communities and continually improving our approach to protect and preserve cultural heritage.",,,,,,,,,,,,,,,
11,,,,,,,Table 1: Employee Cultural Awareness Training (CAT),,,,,,,,,,,,,,,
12,,,,,,,,,,FY221,FY23,Trend from FY22,,,,,,,,,,
13,,,,,,,Total number of CAT sessions held,,,61,164,1.6885245901639345,,,,,,,,,,
14,,,,,,,"1 In our 2022 Sustainability Report, we initially reported conducting 202 CAT sessions. However, upon review and data validation this year, we have identified an adjustment in the reported figure. The correct number of CAT sessions undertaken in FY22 was 61.",,,,,,,,,,,,,,,
18,,,,,,,Table 2: Heritage site management and deployment of surveys,,,,,,,,,,,,,,,
19,,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
20,,,,,,,Total number of reportable heritage incidents,,,-,1,-,,,,,,,,,,
21,,,,,,,Total number of days of heritage survey,,,167,271,0.6227544910179641,,,,,,,,,,
24,,,,,,,GRI G4 MM5,,,,,,,,,,,,,,,
25,,,,,,,Table 3: Number and percentage of operations where there are formal agreements with Indigenous Peoples' communities,,,,,,,,,,,,,,,
26,,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
27,,,,,,,Number of operations with formal agreements,,,4,5,0.25,,,,,,,,,,
28,,,,,,,Percentage of operations with formal agreements,,,0.8,1,,,,,,,,,,,
31,,,,,,,GRI G4 MM6,,,,,,,,,,,,,,,
32,,,,,,,"Table 4: Number of significant disputes related to land use, customary rights of local communities and Indigenous Peoples",,,,,,,,,,,,,,,
33,,,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,
34,,,,,,,Total number of instances,,,-,-,-,,,,,,,,,,
35,,,,,,,Total number of instances in which grievance mechanisms were used to resolve disputes,,,0,0,,,,,,,,,,,
38,,,,,,,GRI 411-1 | Rights of Indigenous People,,,,,,,,,,,,,,,
39,,,,,,,Table 5: Number of incidents or violations involving the rights of Indigenous Australians,,,,,,,,,,,,,,,
40,,,,,,,,,,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,
41,,,,,,,Total number of identified incidents or violations,,,-,-,-,-,-,,,,,,,,
45,,,,,,,RECONCILIATION ACTION PLAN,,,,,,,,,,,,,,,
48,,,,,,,We recognise our responsibility to take meaningful action to advance reconciliation.\n\nOur RAP focuses on four key areas including:\nÃÂ· Relationship building\nÃÂ· Respect and recognition\nÃÂ· Social and economic opportunities \nÃÂ· Governance and accountability.\n\nWe have achieved all FY23 deliverables and all planned future commitments are on-track.,,,,,,,,,,,,,,,
55,,,,,,,Table 6: Reconciliation Action Plan deliverables,,,,,,,,,,,,,,,
56,,,,,,,No.,Action,Deliverable,,Timeline,Responsibility,Status as at 30 June 2023,,,,,,,,,
57,,,,,,,RELATIONSHIPS,,,,,,,,,,,,,,,
58,,,,,,,1,Establish and strengthen mutually beneficial relationships with Aboriginal and Torres Strait Islander stakeholders and organisations.,Identify Aboriginal and Torres Strait Islander stakeholders and organisations within our local area or sphere of influence.,,2022-04-01 00:00:00,General Manager Communities and Heritage,Complete,,,,,,,,,
59,,,,,,,,,Research best practice and principles that support partnerships with Aboriginal and Torres Strait Islander stakeholders and organisations.,,2022-06-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
60,,,,,,,2,Build relationships through celebrating National Reconciliation Week (NRW).,Circulate Reconciliation AustraliaÃ¢ÂÂs NRW resources and reconciliation materials to our staff.,,2022-05-01 00:00:00,General Manager Communications,Complete,,,,,,,,,
61,,,,,,,,,RAP Working Group members to participate in an external NRW event.,,27 May Ã¢ÂÂ 3 June 2022,Principal Indigenous Engagement,Complete,,,,,,,,,
62,,,,,,,,,Encourage and support MinRes staff and senior leaders to participate in at least one external event to recognise and celebrate NRW.,,27 May Ã¢ÂÂ 3 June,Executive General Manager Project Services,Complete,,,,,,,,,
63,,,,,,,3,Promote reconciliation through our sphere of influence.,Communicate our commitment to reconciliation to all staff.,,2022-05-01 00:00:00,General Manager Communications,Complete,,,,,,,,,
64,,,,,,,,,Identify external stakeholders that our organisation can engage with on our reconciliation journey.,,2022-04-01 00:00:00,General Manager Communities and Heritage,Complete,,,,,,,,,
65,,,,,,,,,Identify Reconciliation Australia and other like-minded organisations that we could approach to collaborate with on our reconciliation journey.,,2022-04-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
