Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
4,,CONTENTS,,,,,OUR PEOPLE,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,"At MinRes, our people are the foundation of our business and are instrumental to our ongoing growth and success.\n\nOur people performance metrics are detailed below.\n\n",,,,,,,,,,,,,,,,,,,,,
12,,,,,,,GRI 2-7 | Employees\nGRI 401 | Employment,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,"SASB EM-MM-000.B | Total number of employees, percentage contractors",,,,,,,,,,,,,,,,,,,,,
14,,,,,,,"Table 1: Total employees by employment contract, type and gender",,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,Trend from FY22,,
16,,,,,,,Employment contract & type,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
17,,,,,,,Permanent Part-time,9,1,10,12,3,15,16,3,19,27,5,32,46,8,54,71,15,86,0.5434782608695652,0.875,0.5925925925925926
18,,,,,,,Permanent Full-time,221,1211,1432,284,1703,1987,299,1770,2069,457,2264,2721,649,2782,3431,1033,3966,4999,0.5916795069337443,0.42559309849029475,0.45700961818711744
19,,,,,,,Fixed-term Part-time,1,-,1,-,-,-,4,-,4,2,3,5,1,-,1,3,1,4,2,-,3
20,,,,,,,Fixed-term Full-time,8,280,288,31,557,588,19,172,191,40,374,414,59,231,290,99,358,457,0.6779661016949152,0.5497835497835498,0.5758620689655173
21,,,,,,,Casual,25,28,53,23,33,56,23,40,63,29,67,96,28,59,87,43,98,141,0.5357142857142857,0.6610169491525424,0.6206896551724138
22,,,,,,,Total,264,1520,1784,350,2296,2646,361,1986,2346,555,2713,3268,783,3080,3863,1249,4438,5687,0.5951468710089399,0.4409090909090909,0.47217188713435154
25,,,,,,,Table 2: Total employees by employment contract type and region during FY23,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,Region,Permanent Part-time,Permanent Full-time,Fixed-term Part-time,Fixed-term Full-time,Casual,Total,Trend from FY22,,,,,,,,,,,,,,
27,,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,Ashburton,-,257,-,197,14,468,0.32577903682719545,,,,,,,,,,,,,,
29,,,,,,,Perth,86,1762,4,147,78,2077,0.5663650075414781,,,,,,,,,,,,,,
30,,,,,,,Pilbara,-,716,-,27,18,761,0.36624775583482944,,,,,,,,,,,,,,
31,,,,,,,Port Hedland,-,778,-,12,9,799,1.0699481865284974,,,,,,,,,,,,,,
32,,,,,,,Yilgarn,-,1428,-,68,21,1517,0.29106382978723405,,,,,,,,,,,,,,
