Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,WATER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes recognises the increasing materiality and importance of water as a fundamental societal, environmental, and economic resource. We aim to apply strong and transparent water governance, manage water effectively at our operations and collaborate with key stakeholders to achieve responsible and sustainable water use.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our water performance metrics are detailed below.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 303-3 | Water withdrawal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Water withdrawn by source and water quality4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Operation ,Climate Conditions,Risk: Water Stress,Proportion of site in the water stressed area,Water Quality Category 1,Source2,FY18,FY19,FY20,FY21,FY22,FY23,"Trend from
FY22",% of Total Water Withdrawn ,,,,,,,,,
,,,,,,Yilgarn Hub (Iron Ore),Semi-arid,High,1,Category 1,Third party,189.925,91.991,190.395,174.284,195.62744395689,216.52161,0.10680590422535198,0.008702555109013806,,,,,,,,,
,,,,,,,,,,Category 1,Surface water ,,,,,129.42722139175,239.9033404386046,0.853577152154613,0.009642326421845175,,,,,,,,,
,,,,,,,,,,Category 3,Groundwater, - ,673.21,878.842,929.766,2109,3837.4982652320323,0.8195819180806222,0.15423883156016915,,,,,,,,,
,,,,,,Pilbara Hub (Iron Ore),,,,,,,,,,,,,,,,,,,,,,
,,,,,,Iron Valley,Arid,Medium-high,1,Category 1,Groundwater,14281.188,15709.464,25363.00029,15871.549949999999,16533,14835.3102258727,-0.10268491950204443,0.5962689119112554,,,,,,,,,
,,,,,,,,,,Category 1,Surface water ,-,-,-,-,129.276593935704,122.5413346365503,-0.052099603602671435,0.0049252484211930675,,,,,,,,,
,,,,,,,,,,Category 2,Groundwater,-,-,-,-,-,0,-,0,,,,,,,,,
,,,,,,,,,,Category 3 ,Groundwater,-,-,-,-,-,0,-,0,,,,,,,,,
,,,,,,Wonmunna,Semi-desert tropical,,0.96,Category 1,Groundwater,-,-,-,154.233,-,553.8461765913758,-,0.02226048879695213,,,,,,,,,
,,,,,,,,,,Category 1,Third party,-,-,-,-,6,0,-1,0,,,,,,,,,
