Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,CONTENTS,,,,,GLOBAL REPORTING INITIATIVE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"MinRes reports in accordance with the Global Reporting Initiative (GRI) Standards 2021, and with the G4 Mining and Metals Sector Disclosures, including MinRes specific ESG performance indicators.",,,,,,
,,,,,,,,,,,,
,,,,,,GRI Standard,GRI,Disclosure,MinRes FY23 Publication / Direct Response,"Publication, page number(s) and/or URL",Omission,Explanation
,,,,,,,,,,,,
,,,,,,GENERAL DISCLOSURES,,,,,,
,,,,,,,,,,,,
,,,,,,GRI 2: General Disclosures 2021: the organisation and its reporting practices,2-1,Organisation details ,Mineral Resources Limited (ABN 33 118 549 910) ,,,
,,,,,,,,,Sustainability Report - About this Report,2023 Sustainability Report (page 2-3),,
,,,,,,,,,Sustainability Report - Mineral Resources At A Glance,2023 Sustainability Report (page 8-9),,
,,,,,,,,,Annual Report - Corporate Directory,2023 Annual Report (page 236-239),,
,,,,,,,2-2,Entities included in the organisations sustainability reporting,Annual Report – Parent entity information,2023 Annual Report (page 205),,
,,,,,,,2-3,"Reporting period, frequency and contact point ",Sustainability Report - About this Report,2023 Sustainability Report (page 2-3),,
,,,,,,,2-4,Restatements of information,Sustainability Performance Data Tables - all restatements are italicised and are footnoted when material,2023 Sustainability Performance Data Tables,,
,,,,,,,2-5,External assurance,Sustainability Report - Independent Limited Assurance Statement ,2023 Sustainability Report (page 181-182),,
,,,,,,,,,"MinRes Board and Sustainability Committee are updated annually regarding the scope of external assurance. 
EY has provided external assurance over sustainability performance metrics for MinRes FY20 to date.",,,
,,,,,,GRI 2: General Disclosures 2021: Activities and workers,2-6,"Activities, value chain and other business relationships ",Sustainability Report - Mineral Resources At A Glance ,2023 Sustainability Report (page 8-9),Information incomplete,MinRes does not report against GRI 2-6 b iii on entities downstream from our organisation and their activities. MinRes will work on enhancing our disclosures year-on-year. 
,,,,,,,,,Modern Slavery Statement,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,2-7,Employees,Sustainability Report – Diversity and Inclusion,2023 Sustainability Report (page 96-106),,
,,,,,,,,,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,,
,,,,,,,2-8,Workers who are not employees,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,Information unavailable,MinRes will work on enhancing our disclosures year-on-year. 
,,,,,,GRI 2: General Disclosures 2021: Governance ,2-9,Governance structure and composition,Sustainability Report – Governance,2023 Sustainability Report (page 37-64),,
,,,,,,,,,Sustainability Report - Diversity and Inclusion - Diversity in Leadership ,2023 Sustainability Report (page 106),,
,,,,,,,,,Sustainability Performance Data Tables - Corporate Governance,2023 Sustainability Performance Data Tables - Corporate Governance,,
,,,,,,,,,Sustainability Performance Data Tables - Oversight and Responsibility,2023 Sustainability Performance Data Tables - Oversight and Responsibility,,
