Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,CLIMATE CHANGE RISKS AND OPPORTUNITIES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Climate change presents opportunities and risks for MinRes. Our innovative capabilities as a mining services provider positions us well to respond to climate change drivers by developing energy efficient materials handling solutions at our operations and displacing diesel fuel usage. 

Using the TCFD recommendations, climate-related risks are characterised as either physical risks relating to the physical impacts of climate change, or transition risks related to the risks associated with transitioning to a lower-carbon economy. Climate-related opportunities are characterised in line with resource efficiency, energy source, product or service, market or resilience opportunities. 

MinRes identifies and assesses climate-related risks and opportunities through the following activities:
·  Assessed physical climate information and projections for Australia for the areas where MinRes operations are located. This includes a series of climate indicators for 2030 and 2050 under Scenario 1, 2 and 3, including review of average temperature increases, maximum temperature        increases, rainfall, days above 35°C and 99.9 percentile rainfall days
· Embedded quarterly risk assessment workshops to survey and review and rank likelihood and consequence of the identified climate-related risks, using MinRes’ enterprise risk-rating matrix.

The financial consequences of minor risks are set at less than 2 per cent of EBITDA or cash flow; with the financial consequence of critical risks set at over 10 per cent of EBITDA or cashflow, announceable to the Australian Stock Exchange. From a likelihood perspective, risks are rated from almost certain, where the event has a greater than 85 per cent expected probability of occurring (may occur throughout a year) to rare less than 10 per cent expected probability (occur once in more than 20 years).

The outcome of this process is a list of identified climate-related risks and opportunities, detailed in the tables below.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Climate-related risks,,,,,,,,,,,,,,,,,,,,
