Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CONTENTS,,,,,OVERSIGHT AND RESPONSIBILITY,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"MinRes places great emphasis on the oversight and responsibility of various sustainability-related issues within our organisation, in line with our commitment to corporate governance and sustainable practices. We understand the importance of actively monitoring and addressing these concerns to ensure the wellbeing of our stakeholders and the wider community.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"To uphold effective governance and accountability, MinRes has established a corporate governance structure led by a dedicated Board of Directors. The Board's primary role is to represent the interests of our shareholders and safeguard the Company's welfare while integrating social, ethical, and environmental considerations into our operational decision-making processes.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"To ensure thorough internal evaluation and management of policies and procedures, our senior leadership team conducts comprehensive reviews. Additionally, the Sustainability Committee conducts further assessments, with the ultimate approval resting with the Board for matters pertaining to corporate governance.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,GRI 2-9 | Governance structure and composition,,,,,,,,,
,,,,,,Table 1: Oversight and responsibility for sustainability disclosures,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,Oversight,,,,,,,,
,,,,,,,Responsibility for implementation,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Sustainability-Related Topic,,Board,Board Committees1,C-Suite,Executives and Senior Management,Working Groups,Management,Employees,
,,,,,,,,,,,,,,,
,,,,,,Ethics and Integrity,,,,,,,,,
,,,,,,Responsible Supply Chains,,,,,,,,,
,,,,,,Safety,,,,,,,,,
,,,,,,Health and Wellbeing,,,,,,,,,
,,,,,,Diversity,,,,,,,,,
,,,,,,Attracting and Retaining Talent,,,,,,,,,
,,,,,,Community,,,,,,,,,
,,,,,,Cultural Heritage and Land Access,,,,,,,,,
,,,,,,Environment,,,,,,,,,
,,,,,,Climate Change,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,1 This includes the Sustainability Committee and the Audit and Risk Committee,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Table 2: Oversight and responsibility for sustainability policies,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,Oversight,,,,,,,,
,,,,,,,Responsibility for implementation,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Sustainability-Related Topic,,Board,Board Committees1,C-Suite,Executives and Senior Management,Working Groups,Management,Employees,
,,,,,,,,,,,,,,,
,,,,,,Anti-Bribery and Corruption Policy,,,,,,,,,
,,,,,,Climate Change Policy,,,,,,,,,
,,,,,,Code of Conduct and Business Integrity,,,,,,,,,
,,,,,,Community Policy,,,,,,,,,
,,,,,,Diversity and Inclusion Policy,,,,,,,,,
,,,,,,Environment Policy,,,,,,,,,
,,,,,,Health and Safety Policy,,,,,,,,,
,,,,,,Human Rights Policy,,,,,,,,,
,,,,,,Mental Health Policy,,,,,,,,,
,,,,,,Responsible Production Policy,,,,,,,,,
,,,,,,Supplier Code of Conduct,,,,,,,,,
,,,,,,Sustainability Policy,,,,,,,,,
,,,,,,Tailings Storage Facility Policy,,,,,,,,,
,,,,,,Whistleblower Policy,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,1 This includes the Sustainability Committee and the Audit and Risk Committee,,,,,,,,,
