Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
4,,CONTENTS,,,,,CORPORATE GOVERNANCE,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,"MinRes' corporate governance structure consists of a Board of Directors (Board), whose role it is to represent shareholders, promote and protect the interests of the Company, and to build sustainable value for our shareholders. The Board discharges this responsibility by having regard for the interests of all relevant stakeholders. \n\nThe Board consists of four established sub-committees, shown in Figure 1, which provide assistance and recommendations to the Board in fulfilling their responsibilities and oversight of the social, ethical, and environmental impact of the Company's operations, approving policies and monitoring compliance with the Company's sustainability policies and practices. Refer to our 2023 Sustainability Report for further information.\n\nAll policies and procedures are internally reviewed and managed by our senior leadership team and further reviewed by the Sustainability Committee and approved by the Board when related to corporate governance documents. \n\nOur corporate governance documents are made publicly available on our website.",,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,GRI 2.9 | Governance structure and composition,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,Figure 1: Sustainability governance structure,,,,,,,,,,,,,,
20,,,,,,,GRI 2-23 | Policy commitments,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,Table 1: Key corporate governance documents & policies,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,Updated disclosures in FY23,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,Key corporate governance documents,,,Charters,,,Governance policies,,,,,,,,,,,,,,,,,,
27,,,,,,,Appendix 4G ASX Key Governance Disclosures,,,Board Charter,,,Anti-Bribery and Corruption Policy,,,,,,,,,,,,,,,,,,
28,,,,,,,Corporate Governance Statement,,,Audit and Risk Committee Charter,,,Climate Change Policy,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,Nomination Committee Charter,,,Code of Conduct and Business Integrity,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,Performance Evaluation Practices Procedure,,,Community Policy,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,Selection and Appointment of Director Procedure,,,Continuous Disclosure Policy,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,Remuneration & People Committee Charter,,,Diversity and Inclusion Policy,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,Sustainability Committee Charter,,,Enterprise Risk Management Policy,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,Environment Policy,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,Gendered Violence Position Statement,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,Health and Safety Policy,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,Indigenous Peoples Policy,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,Investor Engagement Policy,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,Mental Health Policy,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,Political Donations Policy,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,Related Party Transactions Policy,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,Responsible Production Policy,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,Securities Trading Policy,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,Supplier Code of Conduct,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,Sustainability Policy,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,Tailings Storage Facility Policy,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,Whistleblower Policy,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,Whistleblower Procedure,,,,,,,,,,,,,,,,,,
