Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
4,,CONTENTS,,,,,ETHICS AND INTEGRITY,,,,,,,,,,
7,,,,,,,"MinRes is committed to the highest standards of conduct and ethical behaviours in all of our business activities and stakeholder relationships. Our Code of Conduct and Business Integrity (the Code) outlines the way we do business and the behaviours that embody our MinRes values and Company ethos. The Code defines how employees, directors, officers and contractors (collectively called ""employees"") of MinRes and its subsidiaries should conduct themselves.",,,,,,,,,,
10,,,,,,,"Our Whistleblower Policy provides an avenue for MinRes employees and stakeholders to raise and report any issues they believe are in breach of the MinRes Code and/or any other reportable conduct including, but not limited to, illegal activity, unethical behaviour, conflicts of interest, harassment, sexual harassment, discrimination, victimisation or bullying, whether experienced in a personal capacity or witnessed.",,,,,,,,,,
13,,,,,,,"We provide avenues for MinRes employees and stakeholders to raise a breach or suspected breach of the Code through both internal channels and our external independent whistleblowing service, MinRes Integrity Assist.",,,,,,,,,,
15,,,,,,,"For further information, refer to our:",,,,,,,,,,
16,,,,,,,Code of Conduct and Business Integrity,,,,,,,,,,
17,,,,,,,Whistleblower Policy,,,,,,,,,,
18,,,,,,,Whistleblower Procedure,,,,,,,,,,
21,,,,,,,"GRI 102-17 | Strategies, policies and practices",,,,,,,,,,
22,,,,,,,Table 1: Percentage of employees completing Code of Conduct and Business Integrity e-training,,,,,,,,,,
23,,,,,,,,FY22,FY231,Trend from FY22,FY22,,,,,,
24,,,,,,,Competent,0.89,0.9068234455727775,0.018902747834581443,,,,,,,
25,,,,,,,Not Competent,0.11,0.0931765544272225,-0.15294041429797725,,,,,,,
26,,,,,,,1 External limited assurance is provided over our FY23 Code of Conduct completion rate. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,
29,,,,,,,GRI 415-1 | Political Contributions,,,,,,,,,,
30,,,,,,,Table 2: Total monetary value of political contributions made directly and indirectly,,,,,,,,,,
31,,,,,,,,FY19\nAUD,FY20\nAUD,FY21 \nAUD,FY22\nAUD,FY23\nAUD,Trend from FY22,,,,
32,,,,,,,Australian Labor Party1,76414,8218,138217,124659,91679.09000000001,-0.2645610024145869,,,,
33,,,,,,,Liberal Party of Australia (WA) Inc,89455,10000,88700,98000,38000,-0.6122448979591837,,,,
34,,,,,,,National Party of Australia (WA),26636,3636,55000,20000,1818,-0.9091,,,,
35,,,,,,,Total,192505,21854,281917,242659,131497.09000000003,-0.4580992668724423,,,,
36,,,,,,,1 Inclusive of political contributions to WA Labor.,,,,,,,,,,
39,,,,,,,"Table 3: Number of employees and other stakeholders who have utilised the MinRes whistleblowing service, MinRes Integrity Assist",,,,,,,,,,
40,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,
41,,,,,,,Total new issues reported,25,55,1.2,,,,,,,
42,,,,,,,Total cases closed at end of FY,14,46,2.2857142857142856,,,,,,,
43,,,,,,,Total cases remaining open at end of FY,3,9,2,,,,,,,
44,,,,,,,Total substantiated claims1,8,5,-0.375,,,,,,,
45,,,,,,,Substantiated claims (%),0.32,0.09090909090909091,-0.7159090909090909,,,,,,,
46,,,,,,,"1 Incidents are classified into four different outcomes; unsubstantiated, partially substantiated, substantiated and open. Only substantiated claims are included here.",,,,,,,,,,
49,,,,,,,Table 4: Nature and total number of ethics matters opened through MinRes Integrity Assist,,,,,,,,,,
50,,,,,,,,FY22,,FY23,,Trend from FY22,,,,,
51,,,,,,,Case Type,Number Reported,Percentage Reported (%),Number Reported,Percentage Reported (%),Number Reported,,,,,
53,,,,,,,Code of Conduct,4,0.16,13,0.23636363636363636,2.25,,,,,
54,,,,,,,"Health, Safety and Environment",7,0.28,6,0.10909090909090909,-0.14285714285714285,,,,,
55,,,,,,,Psychosocial,14,0.56,30,0.5454545454545454,1.1428571428571428,,,,,
56,,,,,,,Serious Misconduct,0,0,3,0.05454545454545454,-,,,,,
57,,,,,,,Other,0,0,3,0.05454545454545454,-,,,,,
58,,,,,,,Total,25,1,55,1,1.2,,,,,
61,,,,,,,GRI 410-1 | Security personnel trained in human rights policies or procedures,,,,,,,,,,
62,,,,,,,"Table 5: Percentage of security personnel completing Code of Conduct and Business Integrity e-training1, 2",,,,,,,,,,
63,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,
64,,,,,,,Code of Conduct Training,1,0.7105263157894737,-0.2894736842105263,,,,,,,
65,,,,,,,1 Security personnel include MinRes employees and employees of third-party organisations.,,,,,,,,,,
66,,,,,,,2 Code of Conduct training also includes training in MinRes' human rights policies & procedures.,,,,,,,,,,
69,,,,,,,"GRI 2-27 | Strategy, policies and practices",,,,,,,,,,
70,,,,,,,GRI G4 - SO8 | Monetary value of significant fines and total number of non-monetary sanctions for non-compliance with laws and regulations,,,,,,,,,,
71,,,,,,,"Table 6: FY23 Non-compliance with environmental, social or economic laws and regulations",,,,,,,,,,
72,,,,,,,,Site,Subsidiary,Authority,Amount (AUD),Summary of issue,,,,,
73,,,,,,,Fines,,,,,,,,,,
74,,,,,,,Total fines,,,,,,,,,,
75,,,,,,,Sanctions,,,,,,,,,,
76,,,,,,,Total sanctions,,,,,,,,,,
