Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
85,"Permanent employee turnover rate (7) by age group, gender, and region",,,,,,,FY23,,,,,,,
86,GRI 401-1,FY23,FY22,FY21,FY20,FY19,,Corporate,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,,
87,Total Female Turnover (% of Total Turnover Rate),0.2437,0.32,0.30303,0.22,0.14,,0.5757,0.1891,0.3171,0.2606,0.2667,0.0824,,
88,Female under 36 years,0.47,0.6,0.342857,0.13,0.06,,0.2424,0.0675,0.1707,0.1345,0.0667,0.0515,,
89,Female 36-55 years,0.46,0.35,0.385714,0.09,0.07,,0.2727,0.0946,0.122,0.1261,0.1667,0.0309,,
90,Female over 55 years,0.07,0.05,0.271429,0,0.01,,0.0606,0.027,0.0244,0,0.0333,0,,
91,Total Male Turnover (% of Total Turnover Rate),0.7563,0.68,0.69697,0.79,0.85,,0.4242,0.8108,0.6829,0.7394,0.7333,0.9175,,
92,Male under 36 years,0.4,0.43,0.403727,0.25,0.33,,0.0606,0.2973,0.2317,0.3613,0.2667,0.3711,,
93,Male 36-55 years,0.44,0.42,0.397516,0.47,0.42,,0.303,0.4054,0.2561,0.2689,0.3333,0.4227,,
94,Male over 55 years,0.17,0.15,0.198758,0.07,0.1,,0.0606,0.1081,0.1951,0.1092,0.1333,0.1237,,
95,Total Turnover Rate,0.1711,0.18,0.13,0.11,0.18,,0.2444,0.164,0.1145,0.2409,0.1736,0.1691,,
96,"(7) Turnover result for EVN total is voluntary permanent on 12 month moving average. The split by age bracket and gender is the % of all terminations (summing up to 100%), rather than turnover rates for each grouping.",,,,,,,,,,,,,,
98,"Permanent employee turnover rate (8) by gender, and region",,,,,,,FY23,,,,,,,
99,GRI 401-1,FY23,FY22,FY21,FY20,FY19,,Corporate,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,,
