Unnamed: 0,GRI & SDG Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
79,Emissions,305-2,Energy indirect (Scope 2) GHG emissions,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","3, 12, 13, 14, 15",,,
80,Emissions,305-4,GHG emissions intensity,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","13, 14, 15",,,
81,Emissions,305-5,Reduction of GHG emissions,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","13, 14, 15",,,
82,Emissions,305-7,"Nitrogen oxides (NOX), sulphur oxides (SOX), and other significant air emissions","This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Linked to legal reporting obligations.,Go to Data,"7, 8, 9","3, 12, 13, 14, 15",,,
83,Waste,306-1,Water discharge by quality and destination,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Linked to legal reporting obligations.,Go to Data,"8, 9","3, 6, 12, 14",,,
84,Waste,306-2,Waste by type and disposal method,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",- Linked to legal reporting obligations.,Go to Data,"8, 9","3, 6, 12",,,
85,Waste,306-3,Significant spills,"This document - ""Energy and Emissions"" Worksheet\n2023 Annual and Sustainability Report",There were no significant spills during this reporting period.,Go to Data,"8, 9","3, 6, 12, 14",,,
86,Environmental compliance,307-1,Non-compliance with environmental laws and regulations,2023 Annual and Sustainability Report,"- No significant breaches \n - We have not paid any significant fines (> USD $10,000) related to environmental or ecological issues this financial year.",,"8, 9","6, 12, 16",,,
87,Employment,401-1,New employee hires and employee turnover,"This document - ""People"" Worksheet\n2023 Annual and Sustainability Report",,Go to Data,"3, 6","5, 8, 10",,,
88,Employment,401-2,Benefits provided to full-time employees that are not provided to temporary or part-time employees,2023 Annual and Sustainability Report,"- We provide an array of benefits to our employees that are not provided to temporary or part time employees. The benefits include: life-insurance scheme, health-insurance scheme, parental leave, retirement benefits and management grades are covered under stock options scheme of EVN.",,"3, 6","5, 8",,,
89,Employment,401-3,Parental Leave,"This document - ""People"" Worksheet\n2023 Annual and Sustainability Report",,Go to Data,6,"5, 8",,,
90,Labour / Management Relations,402-1,Minimum notice periods regarding operational changes,"This document - ""People"" Worksheet\n2023 Annual and Sustainability Report",,Go to Data,"1, 3, 6",8,,,
91,Occupational Health and Safety,403-8,Workers covered by an occupational health and safety management system,-,- 100% of workers (including contractors) covered by an worker health and safety management system and associated controls.,,1,"3, 8",,,
