Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
39,,102.0,General Disclosures,102-33,Communicating critical concerns,,Leadership Team Oversight,,,Evolution Mining,2023.0,"The Leadership Team oversees all material risk matters, including any emerging issues. These issues are raised and communicated directly via the sub-committees, the Board or as needed.",,,GRI Index,,,,"Leadership Team Oversight, material risk, issues",11,G,,,,,,,,,,,,,,,
40,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,"There is no specific minimum threshold within Evolution Mining for communicating critical concerns to senior management. Evolution tracks every incident, and all senior site management are briefed on all incidents relevant to their site, with appropriate escalations defined.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
41,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,"The site jointly manages material and critical (including near misses) sustainability concerns and Group management with the relevant function leader. Incident Investigation protocols are in place to address incidents (including near misses) based on potential consequences, with lessons learned being shared across all operations.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
42,,102.0,General Disclosures,102-35,Remuneration policies,"Remuneration is designed to attract, motivate and retain high-performing individuals.ESG factors are incorporated into the short-term (STIP) linked to the remuneration strategy.",,,,Evolution Mining,2023.0,,,,GRI Index,,208,,,,,,,,,,,,,,,,,,,
43,,102.0,General Disclosures,102-36,Process for determining remuneration,,Board Nomination and Remuneration Committee Oversight,,,Evolution Mining,2023.0,"The Group's remuneration philosophy and strategy are designed to ensure that the level and composition of remuneration are competitive. The Board Nomination and Remuneration Committee oversees the annual STIP program, including measures, targets, and outcomes and makes recommendations to the Board.",,,GRI Index,,205,,"Board Nomination, Remuneration Committee, Oversight",8,G,,,,,,,,,,,,,,,
44,,102.0,General Disclosures,102-37,Stakeholders' involvement in remuneration,"The Board's Nomination and Remuneration Committee, comprising solely independent Non-Executive Directors, reports on and recommends the appropriateness of the remuneration strategy, policies, and supporting systems. The committee oversees executive directors' annual performance evaluations, ensures a critical performance indicator process exists, and aligns remuneration for Executive Directors, Non-Executive Directors, and other Key Management Personnel with approved Board policies.",,,,Evolution Mining,2023.0,,,,,,206,,,,,,,,,,,,,,,,,,,
45,,102.0,General Disclosures,102-38,Annual total compensation ratio,,,,NO DISCLOSURE,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,,102.0,General Disclosures,102-39,Percentage increase in annual total compensation ratio,,,,NO DISCLOSURE,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,,102.0,General Disclosures,102-40,List of stakeholder groups,"Employees, contractors, investors and analysts, First Nation partners and indigenous peoples, government and regulators, non-government organizations, suppliers and contractors.",,,,Evolution Mining,2023.0,,,,,"20, 21",,,,,,,,,,,,,,,,,,,,
48,,102.0,General Disclosures,102-41,Collective bargaining agreements,"In FY23, 25% of ENV's employees were covered by collective bargaining agreements. There were no strikes, lockouts or work stoppages of significance at our operations in FY23.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
49,,102.0,General Disclosures,102-42,Identifying and selecting stakeholders,,Stakeholder Prioritization,,,Evolution Mining,2023.0,"ENV's operations, exploration sites, and projects identify and prioritize direct engagement with local and Indigenous communities. Independent social impact assessments are periodically conducted to identify and prioritize stakeholder interests and needs.",,,,19,,,"Stakeholder Prioritization, engagement, governance",17,G,,,,,,,,,,,,,,,
50,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,The Stakeholder Engagement Performance Standard,,,Evolution Mining,2023.0,"The Stakeholder Engagement Performance Standard facilitates a consistent approach to engaging with communities, First Nation Partners, employees, contractors, suppliers, and other stakeholders. Each operation maintains a systematic stakeholder mapping process.",,,,19,,,"Stakeholder Engagement Performance Standard, Governance, Engagement",11,G,,,,,,,,,,,,,,,
51,,102.0,General Disclosures,102-44,Key topics and concerns raised,The company is working towards disclosing this information,,,,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,,102.0,General Disclosures,102-45,Entities included in the consolidated financial statements,"Annually updated, ENV's financial overview reveals gross revenues of $594.1 million (compared to $488.9 million as of June 30, 2022). These revenues, primarily from copper and silver sales, are attributed to a single external customer associated with the Ernest Henry segment. Other significant customers include refineries and financial institutions.",,,,Evolution Mining,2023.0,,,,,,231,,,,,,,,,,,,,,,,,,,
53,,102.0,General Disclosures,102-46,Defining report content and topic Boundaries,"Evolution recognizes its impact and strives to contribute positively to the United Nations SDGs. Following an independent materiality assessment in FY21, Evolution mapped our material topics to the SDGs and prioritized key goals to inform Sustainability Principles.",,,,Evolution Mining,2023.0,,,,,,79,,,,,,,,,,,,,,,,,,,
54,,102.0,General Disclosures,102-47,List of material topics,"Evolution undertook a mapping exercise of its material topics against the SDGs. Furthermore, several SDGs have been mapped and prioritized to inform Evolution's Sustainability Principles, covering environmental issues such as climate risk, effluents, and waste, governance issues including Anti-Bribery and Corruption, Cyber Security, Governance, and Compliance, as well as social issues such as Cultural Heritage, Crisis Response (including Pandemic), etc.",,,,Evolution Mining,2023.0,,,,,,81,,,,,,,,,,,,,,,,,,,
55,,102.0,General Disclosures,102-48,Restatements of information,There has been no impact on the comparative profit or loss to require restatement.,,,,Evolution Mining,2023.0,,,,,,261,,,,,,,,,,,,,,,,,,,
56,,102.0,General Disclosures,102-49,Changes in reporting,"In FY21, NPVs conducted an independent materiality assessment to develop this report. The material topics in the FY23 Sustainability Report are based on this assessment.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
57,,102.0,General Disclosures,102-50,Reporting period,1 July 2022 - 30 June 2023,,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
58,,102.0,General Disclosures,102-51,Date of most recent report,FY22,,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
