Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
78,,103.0,Management Approach,103-02,The management approach and its components,,Direct and regular two-way communication,,,Evolution Mining,2023.0,ENV has established direct and regular two-way communication with communities at all of our operations using a variety of forums tailored to local needs. Many maintain established community consultation committees.,,,,80,,,"Two-way communication, communication, communities","16, 17",S,,,,,,,,,,,,,,,
79,,103.0,Management Approach,103-02,The management approach and its components,,Tailings Storage Facility\nSustainability Performance Standard,,,Evolution Mining,2023.0,"ENV's tailings facilities are planned, designed, constructed, and operated in line with our Tailings Storage Facility Sustainability Performance Standard, which is informed by leading industry practices and guidelines. Our tailings management approach integrates considerations for climate change, stakeholder engagement, emergency management, local communities, the receiving environment, dam safety, and post-mine land use.",,,,114,,,"Standard, Tailings Storage Facility\nSustainability Performance Standard, Sustainability","9, 11, 13, 14, 15",E,,,,,,,,,,,,,,,
80,,103.0,Management Approach,103-02,The management approach and its components,,Risk management\nprinciples,,,Evolution Mining,2023.0,"ENV recognizes the imperative to manage hazardous chemicals throughout their lifecycle, adhering to risk management principles to mitigate risks to human health, ecosystems, and environmental values. The use of dangerous substances is strictly regulated by relevant legislation in each jurisdiction, requiring specific licenses, approvals, and routine inspections by regulators.",,,,119,,,"Risk management\nprinciples, risk management, risk","9, 11, 13, 14",E,,,,,,,,,,,,,,,
81,,103.0,Management Approach,103-03,Evaluation of the management approach,,Cyber security approach,,,Evolution Mining,2023.0,"Cyber security is a standing agenda item on the Board Risk and Sustainability Committee agenda, with reporting occurring at each Committee meeting, which includes details on Management's efforts and initiatives to monitor and prevent cyber incursions, incidents and any emerging threats. Significant Investment in a comprehensive end-to-end IT system is driven by a recognition that Evolution must continually invest in cyber security.",,,,42,,,"Cyber security, cyber, IT system","8, 9",G,,,,,,,,,,,,,,,
82,,103.0,Management Approach,103-03,Evaluation of the management approach,,Assessment of suppliers,,,Evolution Mining,2023.0,"In FY23, ENV embedded the assessment of suppliers against a set of evaluation criteria for Sustainability and business conduct as part of the standard tender process. This evaluation criteria continues to mature, including environmental considerations supporting ENV's efforts in climate risk management in our upstream and downstream activities.",,,,44,,,"Assessment of suppliers, upstream, downstream","8, 9, 16, 17",G,,,,,,,,,,,,,,,
83,,103.0,Management Approach,103-03,Evaluation of the management approach,,Critical control verification,,,Evolution Mining,2023.0,"ENV has developed robust action plans to ensure critical control verification and Management. These plans are tracked and reported on through site risk review meetings, and the findings are linked to the CoP for Vehicle Safety for learning.",,,,62,,,"Plans, critical control, verification","8, 16",S,,,,,,,,,,,,,,,
84,,103.0,Management Approach,103-03,Evaluation of the management approach,,Review the feedback,,,Evolution Mining,2023.0,"ENV continue to review feedback from onboarding surveys to enhance our hiring and onboarding practices and experience. Social media channels, e.g., LinkedIn and Facebook, showcase our diversity through sharing employee stories, community initiatives and local activities.",,,,68,,,"Review, feedback, employee","8, 9",S,,,,,,,,,,,,,,,
85,,103.0,Management Approach,103-03,Evaluation of the management approach,,Sustainability Assurance program,,,Evolution Mining,2023.0,"The FY23 Sustainability Assurance program highlighted good alignment across all assets in understanding and implementing the Social Responsibility Performance Standards. The results of the audits for all operations provide Evolution with greater assurance that current governance practices are adequate to ensure the protection of Cultural Heritage, relationships and values.",,,,77,,,"Sustainability Assurance program, Sustainability Assurance, Program","8, 9, 17",S,,,,,,,,,,,,,,,
86,,103.0,Management Approach,103-03,Evaluation of the management approach,,Monitoring and Surveillance,,,Evolution Mining,2023.0,"A Tailings Operations Manual operates all Tailings Facilities and employs monitoring and surveillance systems to monitor tailings storage facility performance over time. Where applicable, real-time monitoring is utilized, and satellite monitoring is also included for all facilities",,,,114,,,"Tailings storage, monitoring, surveillance systems","9, 13",E,,,,,,,,,,,,,,,
87,,103.0,Management Approach,103-03,Evaluation of the management approach,,Assurance activities,,,Evolution Mining,2023.0,"ENV conducts regular assurance activities to ensure that operations comply with Sustainability Performance Standards regarding the handling, storing, and disposing of hazardous chemicals. Best practice learnings identified through these activities are then shared across the business.",,,,119,,,"Assurance activities, Assurance, Standards","9, 11, 13, 14, 15",E,,,,,,,,,,,,,,,
