Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,
1,,102.0,General Disclosures,102-01,Name of the organization,Evolution Mining Limited,,,,Evolution Mining,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,
2,,102.0,General Disclosures,102-02,"Activities, brands, products, and services","Evolution production of Gold, Silver, and Copper.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
3,,102.0,General Disclosures,102-03,Location of headquaters,"Sydney, NSW (Australia)",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
4,,102.0,General Disclosures,102-04,Location of operations,ENV's operations are located solely in Tier 1 jurisdictions. Operates five wholly-owned mines in Australia and Canada.,,,,Evolution Mining,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,
5,,102.0,General Disclosures,102-05,Ownership and legal form,Evolution Mining is a publicly traded corporation listed on the Australia Stock Exchange under the symbol EVN.,,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
6,,102.0,General Disclosures,102-06,Markets served,,Electrification Investment,,,Evolution Mining,2023.0,"The outlook for copper also continued to improve as Investment in electrification to support decarbonization accelerated. As one of the world's lowest-cost gold producers, coupled with significant copper output, Evolution is uniquely positioned to benefit from the current economic environment.",,,,,13,,"Electrification Investment, investment, decarbonisation",8,S,,,,,,,,,,,,,,,
7,,102.0,General Disclosures,102-07,Scale of the organization,"Total assets during the year reached $6,752.4 million.",,,,Evolution Mining,2023.0,,,,,,195,,,,,,,,,,,,,,,,,,,
8,,102.0,General Disclosures,102-08,Information on employees and other workers,"Evolution employed 2,729 permanent, Fixed-term, and casual employees, compared to 2,689 at the end of FY22. 83% of employees chose to stay with Evolution, a strong result in a competitive market.",,,,Evolution Mining,2023.0,,,,,,121,,,,,,,,,,,,,,,,,,,
9,,102.0,General Disclosures,102-09,Supply chain,,Sustainable procurement,,,Evolution Mining,2023.0,Sustainable procurement is a powerful lever for influencing suppliers' Sustainability performance and business conduct. ENVs recognize the opportunity to positively impact communities by considering how and where ENVs source the goods and services needed for the business.,,,,,97,,"Sustainable procurement, suppliers, governance","8, 9","E, G",,,,,,,,,,,,,,,
10,,102.0,General Disclosures,102-09,Supply chain,,Contractor and Supplier Screening,,,Evolution Mining,2023.0,"To improve ENV's supply chain social and ethical footprint, ENV actively screens and collaborates with contractors and suppliers who align with our values. We expect them to uphold high governance standards, comply with all applicable laws and ENV policies, and commit to conducting business according to our principles, as outlined in our Modern Slavery Statement, Supplier Code of Conduct, and Procurement Statement.",,,,,97,,"Contractor, supplier, supply chain",8.9,S,,,,,,,,,,,,,,,
11,,102.0,General Disclosures,102-09,Supply chain,,Net Zero Procurement,,,Evolution Mining,2023.0,"ENV's commitment to sustainability is further reinforced as a performance driver in Evolution's procurement process through specific actions. It includes embedding a Net Zero focus into ENV's procurement practices, especially concerning sourcing electricity and energy-intensive goods.",,,,,100,,"Net Zero, procurement, electricity","8, 9",E,,,,,,,,,,,,,,,
12,,102.0,General Disclosures,102-10,Significant changes to the organization and its supply chain,,Evaluation of Sustainability and Business Conduct in Tenders,,,Evolution Mining,2023.0,"In FY23, ENV incorporated the assessment of suppliers against a set of sustainability and business conduct criteria into its standard tender process. The ongoing maturation of these evaluation criteria, including environmental considerations, aligns with ENV's efforts in climate risk management across upstream and downstream activities.",,,,,100,,"Sustainability, business conduct, supplier",,"E, S",,,,,,,,,,,,,,,
13,,102.0,General Disclosures,102-11,Precautionary Principles or approach,"The precautionary principle is integrated into our risk management process. To protect the environment, the absence of complete scientific certainty should not be a reason to delay cost-effective measures to prevent environmental degradation.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,
