Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,,,ASSET RATINGS,,,,,,,,,,,,,,,,,
2,,,Commercial Property,,,,,,,,,,,,,Communities,,,,
3,,,"Our average portfolio NABERS and Green Star Performance ratings are normalised by floor area in order to accurately reflect overall portfolio performance.\nAssets that were divested in FY23 include: Stockland Bull Creek, Stockland Gladstone and Stockland Riverton",,,,,,,,,,,,,,,,,
5,,,Asset,State,Floor Area (sqm),NABERS Energy,Multiplier,NABERS Water,Multiplier,Floor Area (sqm),Green Star Performance,Green Star \nAs Built1,Green Star Buildings,Other2,,Asset,State,Green Star Communities,EnviroDevelopment,
6,,,Town Centres,,,,,,,,,,,,,Land Lease Communities,,,,
7,,,Stockland Baldivis,WA,30807.2,3.5,107825.2,1.5,46210.8,29898,3,4,,WELL Health-Safety,,Stockland Halcyon Glades,Qld,,Yes,
8,,,Stockland Balgowlah,NSW,12771,2,25542,2.5,31927.5,12802,3,,,WELL Health-Safety,,Stockland Halcyon Lakeside,Qld,,Yes,
9,,,Stockland Baringa,QLD,5881,6,35286,4,23524,6547,1,5,,WELL Health-Safety,,Stockland Halcyon Landing,Qld,,Yes,
10,,,Stockland Birtinya,QLD,10697,6,64182,4,42788,10029,4,5,,WELL Health-Safety,,Stockland Halcyon Parks,Qld,,,
11,,,Stockland Burleigh Complex,QLD,28152.5,6,168915,5,140762.5,27553,4,,,,,Stockland Halcyon Waters,Qld,,,
12,,,Stockland Forster,NSW,27857.3,6,167143.8,5.5,153215.15,36100,4,,,WELL Health-Safety,,Stockland Vision by Halcyon,Qld,,,
13,,,Stockland Glendale,NSW,50462.5,6,302775,5,252312.5,55374,4,,,,,Stockland B by Halcyon,Qld,,,
14,,,Stockland Green Hills,NSW,71658.2,No rating 8,0,3.5,250803.69999999998,73659,3,5,,,,Stockland Halcyon Berwick,Vic,,,
15,,,Stockland Harrisdale,WA,10160,0,0,1.5,15240,10029,3,4,,,,Stockland Halcyon Greens,Qld,,Yes,
16,,,Stockland Hervey Bay,QLD,31805.6,5.5,174930.8,No rating,0,37871,4,4,,WELL Health-Safety,,Stockland Halcyon Nirimba,Qld,,,
17,,,Stockland Merrylands,NSW,56780.1,4.5,255510.44999999998,3,170340.3,56490,4,4,,,,Stockland Halcyon Promenade,Qld,,In progress,
18,,,Stockland Nowra,NSW,16074.3,5,80371.5,4.5,72334.34999999999,15903,4,,,WELL Health-Safety,,Stockland Halcyon Rise,Qld,,In progress,
19,,,Stockland Point Cook,VIC,38106.3,5,190531.5,3.5,133372.05000000002,38857,4,,,,,Stockland Halcyon Evergreen,Vic,,,
20,,,Stockland Piccadilly3,NSW,,,,,,,,,,,,Stockland Halcyon Horizon,Vic,,,
21,,,Stockland Rockhampton,QLD,55994.8,4,223979.2,3,167984.40000000002,55981,3,,,,,Masterplanned Communities1,,,,
22,,,Stockland Shellharbour,NSW,74629.7,5,373148.5,3.5,261203.94999999998,73452,4,4,,,,Altrove,NSW / ACT,5,,
23,,,Shellharbour Retail Park4,NSW,,,,,,,,,,,,Elara / Clydesdale,NSW / ACT,,,
24,,,Stockland Townsville,QLD,45593.9,4.5,205172.55000000002,4,182375.6,45956,4,4,,,,Forest Reach,NSW / ACT,,,
25,,,Stockland Wendouree,VIC,27467.3,5.5,151070.15,4.5,123602.84999999999,24964,4,,,WELL Health-Safety,,Lakeside,NSW / ACT,,,
26,,,Stockland Wetherill Park,NSW,58214.5,3.5,203750.75,2.5,145536.25,59267,4,5,,,,Red Hill,NSW / ACT,,,
27,,,Coverage (%),,653113.2,0.890282113422298,2730134.4,0.9513015507878267,2213533.9000000004,670732,1,,,,,The Gables,NSW / ACT,,,
