H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,REMUNERATION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Remuneration ratio - Managing Director/employee,,,,,,,,,,,,,,,
,"The remuneration ratio for our highest paid employee to median employee salary is provided in the table below. Our Remuneration Report is contained within the Annual Report. We do not report on the ratio of standard entry level wage compared to minimum wage. Our operations are based in Australia and all employees are paid above the Australian minimum wage. For those employees with a relevant Award, we review their remuneration on an annual basis to provide for remuneration above the minimum rate in their Award. Gender pay equity ratio has been reported in the 'Diversity and Inclusion' tab.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Remuneration Measure1,FY223,FY212,FY20,FY19,FY18,,,,,,,,,,
,Managing Director’s annual total compensation ÷ employee median annual total compensation4,40.78180949768992,27.743055555555557,40,40,39,,,,,,,,,,
,% increase in Managing Director’s annual total compensation ÷ employee’s median % increase,6.32 5,-5.0207991100626375,0.71,-4.63,-5.38,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"1. Annual total compensation for each year is calculated as Fixed Pay Full Time Equivalent (FTE) (as at 30 June of end of performance year) + Short Term Incentive (STI) FTE (awarded for relevant performance year) + Long Term Incentive (LTI) (allocated at start of performance year), for employees who participated in the Remuneration Review plus sales employees paid on a commission basis.",,,,,,,,,,,,,,,
,2. Managing Director and CEO did not receive a LTI in FY21.,,,,,,,,,,,,,,,
,3. Calculations for FY22 includes employees from our retirement living operations which was later sold in FY23.,,,,,,,,,,,,,,,
,"4. For FY22, annual total compensation was calculated as Fixed Pay FTE (as at 1 July 2022) + STI FTE (awarded for FY22) + LTI (Tax exempt or performance rights allocated in FY22) + any commissions, higher duty allowances, and bonus payments. All employees who participated in the Remuneration Review. ",,,,,,,,,,,,,,,
,"5. The CEO also received an LTI and STI in FY22, but did not receive an LTI in FY21, contributing to the large change in % increase between FY21 and FY22.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
