H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,GRI INDEX,,,,,
,,,,,,
,Stockland’s ESG reporting has been prepared in accordance with the Global Reporting Initiative (GRI) Standards (Core). This index relates to our FY23 sustainability reporting and provides a guide on where information can be found as it relates to GRI reporting requirements. ,,,,,
,,,,,,
,Section,Code,Disclosure,Location,Comment,UN Global Compact
,GRI 2: General Disclosures,,,,,
,The Organisation and its reporting practices,2-1,Organisational Details,Annual Report,,
,,2-2,Entities included in the organization’s sustainability reporting,Annual Report,,
,,2-3,"Reporting period, frequency and contact point",Annual Report,,
,,2-4,Restatements of information,"Annual Report, ESG Data Pack",,
,,2-5,External assurance,Annual Report,,
,Activities and Workers,2-6,"Activities, value chain and other business relationships","Social Management Approach (Supply Chain Engagement)
Annual Report",,Principle 6
,,2-7,Employees,ESG Data Pack (Our Workforce),,
,,2-8,Workers who are not employees,ESG Data Pack (Our Workforce),,
,Governance,2-9,Governance structure and composition,Annual Report,,
,"Strategy, policies and practices",2-22,"Statement on sustainable development
strategy",Annual Report,,
,,2-27,Compliance with laws and regulations,Annual Report,"Cultural and environmental breaches, if any during the year",
,,2-28,Membership associations,Governance Management Approach (Stakeholder Engagement),,
,Stakeholder engagement,2-29,Approach to stakeholder engagement,Governance Management Approach (Stakeholder Engagement),,
,,2-30,Collective bargaining agreements,Annual Report,,Principle 3
,GRI 3: Material Topics,,,,,
,Disclosures on material topics,3-1,Process to determine material topics,Annual Report,Refer to notes below (for each material topic),
,,,,Environmental Management Approach,Refer to notes below (for each material topic),
,,,,Social Management Approach,Refer to notes below (for each material topic),
,,,,Governance Management Approach,Refer to notes below (for each material topic),
,,3-2,List of material topics,Annual Report,,
,,3-3,Management of material topics,Annual Report,,
,MATERIAL TOPIC,CODE,DISCLOSURE,,,
,GRI 200: Economic,,,,,
,201 Economic Performance,201-1,Direct economic value generated and distributed,Annual Report,,
,,,,Community Investment,,
,202 Market Presence,202-2,Proportion of senior management hired from the local community,Annual Report,,
,203 Indirect Economic Impacts,203-1,Infrastructure investments and services supported,Giving & Volunteering,,
,,,,Community Investment,,
,,,,Community Investment,,
,204 Procurement Practices,204-1,Proportion of spending on local suppliers,Social Management Approach (Supply Chain Engagement),.,
,205 Anti-corruption,205-1,Operations assessed for risks related to corruption,Social Management Approach (Human Rights),,Principle 10
,206 Anti-competitive behavior,206-1,"Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices",,"No legal actions for anti-competitive behaviour, anti-trust, or monopoly practices in FY22.",
,GRI 300: Environment,,,,,
,302 Energy,302-1,Energy consumption within the organisation,Energy Consumption,,"Principle 7
Principle 8"
,303 Water and Effluents ,303-3,Water withdrawal by source,Environmental Management Approach (Water Management and Quality),,"Principle 7
Principle 8"
,304 Biodiversity,304-1,"Operational sites owned, leased, managed in, or adjacent to protected areas and areas of high biodiversity value outside protected areas",Biodiversity,,"Principle 7
Principle 8"
,305 Emissions,305-1,Direct (Scope 1) GHG emissions,Emissions,,"Principle 7
Principle 8"
,,305-2,Energy indirect (Scope 2) GHG emissions,,,
,,305-3,Other indirect (Scope 3) GHG emissions,,,
,306 Effluents and Waste,306-2,Waste by type and disposal method,Waste,,"Principle 7
Principle 8"
,308 Supplier Environmental Assessment,308-1,New suppliers that were screened using environmental criteria,Social Management Approach (Supply Chain Engagement),,"Principle 7
Principle 8"
,GRI 400: Social,,,,,
,401 Employment,401-1,New employee hires and employee turnover,Our Workforce,,Principle 6
,,,,Employee Engagement,,
,402 Labor/Management Relations,402-1,Minimum notice periods regarding operational changes,Social Management Approach (People & Culture),,Principle 3
,403 Occupational Health and Safety,403-2,"Types of injury and rates of injury, occupational diseases, lost days, absenteeism, and number of work-related fatalities",Health and Safety,,
,404 Training and Education,404-1,Average hours of training per year per employee,Human Capital Development,,
