H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,EMISSIONS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total greenhouse gas emissions (tCO2-e),,,,,,,,,,,Total greenhouse gas emissions (tCO2-e) prior to restatement,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,FY22,FY21,FY20,FY19,,,
,Stockland group total Scope 1,3041,"3,902 1",22402,21028,24230,25453,26884,35036,,,Stockland group total Scope 1,"3,902 1",22402,21028,24230,,,
,Stockland group total Scope 22,36225,"45,990 3","49,172 3","54,466 3","70,648 3",82592,87858,89880,,,Stockland group total Scope 22,44707,46195.136190000005,53750.54872,70545,,,
,Stockland group total Scope 1+2 emissions,39266,49892,71574,75494,94878,108045,114742,124916,,,Stockland group total Scope 1+2 emissions,48609,68597.13619,74778.54871999999,94775,,,
,,,,,,,,,,,,,,,,,,,
,"1. The Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors from FY22 onwards, have been re-categorised as Scope 3 emissions due to third party advice regarding our reporting obligations under the National Greenhouse and Energy Reporting Act 2007. This also applies to the Scope 1 emissions generated by our LLC contractors.",,,,,,,,,,,,,,,,,,
,2. Figure reported is Stockland's location-based Scope 2 emissions.,,,,,,,,,,,,,,,,,,
,"3. In FY23, a system error was identified where solar energy had been incorrectly recorded historically. In instances where solar generation was greater than Stockland’s common area consumption, the system was inaccurately attributing excess solar energy as negative consumption and not offsetting the tenant consumption. This resulted in reduced scope 2 emissions for certain periods. Where required, Stockland has recalculated and restated its energy consumption and emissions from FY19-FY22. For comparison to prior year statements please see the table to the right.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Scope 1 emissions (tCO2-e),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,No restatement for Scope 1 emissions,,,,,,,
,Workplace and Business Parks (base building) gas,1043.18,760.1128500000001,1028,1178.82,1231,1160,1010,1080,,,,,,,,,,
,Logistics centres gas,0,0,0, -   ,-,-,-,–,,,,,,,,,,
,Town Centres gas,559,512.32,597,1268.69,1477,1487,1451,398,,,,,,,,,,
,Vehicle fleet fuel,39.74,31.59298,34.81764,52.09,86,88,84,86,,,,,,,,,,
,Refrigerant leaks1,1285.64,1786.90776,2533,2655.43,1149,3203,3224,3091,,,,,,,,,,
,Residential sites fuel & gas,15.94,12.857,104.47401,117.95,100,69,52,10,,,,,,,,,,
,Residential contractors fuel & gas2,N/A2,N/A2,17402.30147,15092.42,19498,18666,20278,29525,,,,,,,,,,
,Retirement Living fuel & gas3,6.47,684.64724,702,662.98,688,780,745,487,,,,,,,,,,
,Retirement Living (contractors) fuel & gas,,,,,,,393,360,,,,,,,,,,
,Land Lease Communities fuel & gas,7.35,38.17142,,,,,,,,,,,,,,,,
,Land Lease Communities (contractors) fuel & gas4,83.55,75.21,,,,,,,,,,,,,,,,
,Total Scope 1 emissions,3040.8700000000003,3901.81925,22401.593119999998,21028.38,25460,25453,27237,35037,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1. Excludes Refrigerant R-22 in line with NGERs reporting protocol.,,,,,,,,,,,,,,,,,,
,"2. The Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors from FY22 onwards, have been re-categorised as Scope 3 emissions due to third party advice regarding our reporting obligations under the National Greenhouse and Energy Reporting Act 2007. This also applies to the Scope 1 emissions generated by our LLC contractors.",,,,,,,,,,,,,,,,,,
,"3. As of 30 June 2022, Stockland divested its Retirement Living portfolio, with the exception of Affinity Village, WA.",,,,,,,,,,,,,,,,,,
,4. This includes emissions generated by Halcyon Constructions Queensland Pty Ltd only. All other contractors fall under Scope 3 emissions.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Scope 2 emissions (tCO2-e),,,,,,,,,,,Scope 2 emissions (tCO2-e) prior to restatement,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,,,FY22,FY21,FY20,FY19,,,
,Location based emissions - by portfolio area,,,,,,,,,,,Location based emissions - by portfolio area,,,,,,,
,Corporate tenancies electricity1,875,808,992,1145,1409,1421,1418,1353,,,Corporate tenancies electricity1,727.76188,906.8013599999999,1114,1409,,,
,Workplace and Business Parks base building electricity1,9487,9323.151059999998,11576,13072,16513,17603,18350,19657,,,Workplace and Business Parks base building electricity,9323.151059999998,11576,13072,16513,,,
,Logistics centres electricity,252.59,273 3,407 3,"1,227 3","1,802 3",4254,4321,1291,,,Logistics centres electricity2,96,253.68343,1216,1771,,,
,Town Centres electricity,23226,"28,352 3","29,558 3","31,887 3","43,322 3",51032,54327,58839,,,Town Centres electricity,27327,26820,31214,43250,,,
,Residential sites electricity,701.89,826.14046,1197.00056,1316.27452,1532,1413,1413,1515,,,Residential sites electricity,826.14046,1197.00056,1316.27452,1532,,,
,Residential contractors electricity,0,0,101.88916,80.2742,35,84,147,299,,,Residential contractors electricity,,101.88916,80.2742,35,,,
,Retirement Living electricity2,71.18,5384.41153,5339.76168,5738,6035,6785,7874,6918,,,Retirement Living electricity,5384.41153,5339.76168,5738,6035,,,
,Retirement Living (contractors) electricity,0,0,0,0,0,-,8,8,,,Retirement Living (contractors) electricity,,0,0,-,,,
,Land Lease Communities electricity,1571.55,976.0319000000001,,,,,,,,,Land Lease Communities electricity,976.0319000000001,,,,,,
,Land Lease Communities contractors electricity,40.19,46.8224,,,,,,,,,Land Lease Communities contractors electricity,46.8224,,,,,,
