Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,ENVIRONMENT,,,,,,,,,,,,,
1,,Background Notes & Reporting Boundary,,,,,,,,,,,,,
3,,"As a real estate owner and developer, acquisitions, divestments and development activity within a given year can significantly impact our environmental performance. The table below provides an overview of the data types collected for each of our facility groups.",,,,,,,,,,,,,
4,,"Stockland divested its Retirement Living portfolio on 29 July 2022 (Stockland did not have operational control for July 2023 period). Stockland retained one Retirement Living assets, Affinity Village, WA.",,,,,,,,,,,,,
6,,Asset Type,Activity Profile,Electricity,Gas,Emissions,Water,Waste,Notes,,,,,,
7,,Group Operations,,,,,,,,,,,,,
8,,Corporate offices,Internal corporate operations.,ÃÂ¼,,ÃÂ¼,,,"Energy & Emissions\nUnless there are significant changes to the tenancies that we operate from, minor fluctuations generally reflect external factors beyond our control.\n- Scope 1: vehicle fleet fuel.\n- Scope 2: purchased electricity.\n- Scope 3: hire car, airline and rental car travel.\n\nOther\nWater and waste are typically managed by the base building that we are tenanting. Where we are a tenant within our own building, these resources are reported under the base building.",,,,,,
9,,Commercial Property,,,,,,,,,,,,,
10,,"Town Centres, Logistics and Workplace",Operating our assets.,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,"Energy & Emissions\nUnless there are significant changes to our portfolio, or key infrastructure upgrades/installations, changes in our energy and emissions data generally reflect energy efficiency programs and initiatives. \n- Scope 1: gas consumption, refrigerants.\n- Scope 2: purchased electricity.\n- Scope 3: transmission losses, operational waste.\n\nOther\nUnless there are significant changes to our portfolio, changes reflect water efficiency programs and initiatives, tenancy mix, water leakages, or changes to asset management arrangements.\n- Water: potable water consumption.\n- Waste: operational waste",,,,,,
11,,,Development of our projects.,,,,,ÃÂ¼,Waste is collected when there is a Green Star contractor reporting requirement.,,,,,,
12,,Communities,,,,,,,,,,,,,
