Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
72,,1 - <3 Years,0.20793319415448852,0.3089887640449438,0.16912235746316465,0.2101792705542963,0.28447254049782694,,,,,,,,,,,,,,,,,,,
73,,,83,110,-66,-85,-120,,,,,,,,,,,,,,,,,,,
74,,3 - <5 Years,0.15736230798051706,0.29063320688648964,0.187614960147149,0.18014329580348004,0.23157228725086995,,,,,,,,,,,,,,,,,,,
75,,,35,83,-51,-44,-61,,,,,,,,,,,,,,,,,,,
76,,5 - <10 Years,0.20263308528906696,0.1947318908748824,0.18500948766603417,0.1613058089294287,0.15148514851485148,,,,,,,,,,,,,,,,,,,
77,,,59,69,-65,-56,-51,,,,,,,,,,,,,,,,,,,
78,,>10 Years,0.2123456790123457,0.19281332164767748,0.11949305974652986,0.14059531348955034,0.16666666666666666,,,,,,,,,,,,,,,,,,,
79,,,43,55,-33,-37,-45,,,,,,,,,,,,,,,,,,,
81,,* Turnover (%) by tenure group is calculated by dividing [Total Number Of Exits In The Last 12 Months Of Particular Tenure Group] by [12-Month Average Headcount Of Particular Tenure Group].,,,,,,,,,,,,,,,,,,,,,,,,
82,,1. In FY20 the methodology and data exports for calculating turnover was changed. The FY19 data has been updated using the new methodology and data sets.,,,,,,,,,,,,,,,,,,,,,,,,
83,,2. All turnover data (including headcount) excludes those employed on a casual or fixed term basis,,,,,,,,,,,,,,,,,,,,,,,,
85,,Turnover by age group2,,,,,,,,,,,,,,,,,,,,,,,,
87,,Age group,FY23,FY22,FY21,FY20,FY191,,,,,,,,,,,,,,,,,,,
88,,<25,0.1679790026246719,0.27435387673956263,0.2863961813842482,0.125,0.25123152709359603,,,,,,,,,,,,,,,,,,,
89,,,16,23,-20,-9,-17,,,,,,,,,,,,,,,,,,,
90,,25 - <35,0.19953009217422737,0.2596046251398732,0.18554116172168827,0.21392190152801357,0.22852875280059748,,,,,,,,,,,,,,,,,,,
91,,,92,116,-74,-84,-102,,,,,,,,,,,,,,,,,,,
92,,35 - <45,0.20649281532730177,0.2407282535401214,0.152561669829222,0.16807367613200308,0.20489977728285078,,,,,,,,,,,,,,,,,,,
93,,,97,119,-67,-73,-92,,,,,,,,,,,,,,,,,,,
94,,45 - <55,0.2168266516092603,0.19760884277013308,0.15162454873646208,0.16285258116019158,0.2158828064764842,,,,,,,,,,,,,,,,,,,
95,,,64,73,-49,-51,-70,,,,,,,,,,,,,,,,,,,
96,,55 - <65,0.25067385444743934,0.20865704772475027,0.15042458552365548,0.12646370023419204,0.1496881496881497,,,,,,,,,,,,,,,,,,,
97,,,31,47,-31,-27,-30,,,,,,,,,,,,,,,,,,,
98,,>65,0.6629834254143646,0.5010438413361169,0.29690721649484536,0.22268041237113403,0.11059907834101383,,,,,,,,,,,,,,,,,,,
99,,,10,20,-12,-9,-4,,,,,,,,,,,,,,,,,,,
101,,* Turnover(%) by age group is calculated by dividing [Total Number Of Exits In The Last 12 Months Of Selected Age Group] by [12-Month Average Headcount Of Particular Age Group].,,,,,,,,,,,,,,,,,,,,,,,,
102,,1. In FY20 the methodology and data exports for calculating turnover was changed. The FY19 data has been updated using the new methodology and data sets.,,,,,,,,,,,,,,,,,,,,,,,,
103,,2. All turnover data (including headcount) excludes those employed on a casual or fixed term basis,,,,,,,,,,,,,,,,,,,,,,,,
105,,Turnover by gender1,,,,,,,,,,,,,,,,,,,,,,,,
107,,Gender,Turnover,FY232,FY22,FY21,FY20,FY193,,,,,,,,,,,,,,,,,,
108,,Male,Total,0.2161621215911934,0.2263364961814395,0.1683366733466934,0.16400164001640016,0.20535951180684534,,,,,,,,,,,,,,,,,,
109,,,,144,163,-105,-100,-129,,,,,,,,,,,,,,,,,,
