Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,CUSTOMER ENGAGEMENT,,,,,
1,,,,,,l,Not achieved
2,,,,,,l,On track
3,,,,,,l,Achieved
4,,Targets,,,,,
6,,Focus Area,Business Unit,FY22-24 Target,FY23 Progress,Status,Supporting Commentary (As per annual report)
7,,Customer Satisfaction,,,,,
8,,Tenant Satisfaction,Commercial Property,Achieve Town Centre tenant satisfaction of 75%.,Achieved a Town Centre tenant satisfaction of 82.5% in FY23.,l,"FY23 StocklandÃ¢ÂÂs performance has remained strong and stable, with continuous improvement across key pillars, including satisfaction with people, asset & operations, leasing and marketing.\nAmongst Stockland customers, Stockland was ranked 1st in overall satisfaction. \nThis year however competitors have also improved their performance narrowing the gap between Stockland and hence impacting our end of year results (which takes into account not only Stockland ratings, but the relative difference vs competitors)"
9,,,,Achieve Logistics and Workplace score of 80 per cent.,Achieved a Logistics and Workplace score of 82% in FY23.,l,"Improvements in satisfaction have been largely driven by strong Property and Staff Relationships ratings particularly among Logistics tenants, who have has maintained a strong year on year performance"
10,,Shopper Satisfaction,Commercial Property,Maintain Town Centre shopper satisfaction score of 78%.,Achieved a Town Centre shopper satisfaction score of 82.1% in FY23.,l,"Improvements in shopper experience have been driven by an uplift in Top CX metrics such as accessibility & navigation, safety / security, parking and food offering.\nOur retail shopper strategy in FY23 saw initiatives designed to focus on opportunity areas in the customer journey around experiential engagement and community belonging in-centre which contributed to the positive rating"
11,,Residential Customer Satisfaction,Communities: Masterplanned Communities,Achieve 80% satisfaction score amongst Deposit customers (Residential),Achieved a prospective customer satisfaction score of 81.4 in FY23,l,"In FY23 we have seen improvements in the overall sales experience among Deposit customers.\nDeposit customers find it easy to work with Stockland and feel confident in the next stage of their journey.\nCustomers agree Stockland delivers to expectations and communications are useful and informative.\nThe improved sales experience in FY23 can be attributed to changes in our operating model Ã¢ÂÂ namely the introduction of Customer Support Centre (CSC). \nCSC team is dedicated to nurturing early enquiries / Leads and helping to determine readiness to buy. Once the CSC team determines a customer is qualified and ready to buy, a Sales Professional takes over the relationship. \nThis change in our ways of working enables Sales professionals to better prioritise and dedicate more time to guide Ã¢ÂÂready to buyÃ¢ÂÂ customers from Deposit through the settlement."
12,,,Communities: Masterplan & LLC Communities combined,Achieve a Liveability score of 75%,"Achieved a combined Liveability score of 71 per cent, which was below our target of 75 per cent,",l,"MPC Residential Liveability Index remains steady at 70%. Halcyon achieved a Liveability Index of 72 (all communities averages at 71%)\nAccess to amenity (including retail, transport, and community spaces) emerged as a key priority among early communities \nEstablished communities perform well across the board, nonetheless an opportunity to address community design to further strengthen liveability\nHalcyon communities perform well on home design along with safety and security, however there is an opportunity to address affordability perceptions (relating to ongoing costs)"
14,,NOTE: Retirement Living data excluded as this asset class was divested as at 29 July 2022,,,,,
