Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,CLIMATE RESILIENCE,,,,,,,,,,,
2,,"Our climate resilience assessment methodology assesses the resilience of individual properties and their communities. It focuses on the vulnerability of our assets to climate change, particularly their ability to endure severe weather impacts and operate without disruption. Key resilience criteria includes location and design, structure, operation and maintenance, utilities and services, and stakeholders. The assessment of each of these components are combined to provide an overall climate resilience score on a scale of 1 to 25, from outstanding resilience to high vulnerability (see table below).",,,,,,,,,,,
4,,Classification,Score,Description,,,,,,,,,
5,,Outstanding resilience,0 to 4,Asset has inherent adaptive capacity and very low sensitivity to climate hazards. It is likely to have implemented a number of adaptation strategies to greatly improve tolerance to climate hazards. Asset is not likely to be located in a region which is exposed to climate hazards and to date has responded well to the changing climate.,,,,,,,,,
6,,High resilience,4 to 9,"Asset has good adaptive capacity and low sensitivity to climate hazards. It is likely to have implemented some adaptation strategies to improve tolerance to climate hazards. Asset is not likely to be located in a region which is exposed to climate hazards, however it may have a limited number of potential impacts to address to maintain resilience.",,,,,,,,,
7,,Moderate resilience,9 to 16,Asset has moderate adaptive capacity and sensitivity to climate hazards. It is likely to have implemented a limited number of adaptation strategies to reduce vulnerability to climate hazards. Asset is likely to be located in a region which is exposed to climate hazards and has nominal potential impacts to address to improve resilience.,,,,,,,,,
8,,High vulnerability,16 to 25,Asset has a low level of adaptive capacity and high sensitivity to climate hazards. It is very unlikely to have implemented adaptation strategies to improve tolerance to climate hazards. Asset is very likely to be located in a region which is highly exposed to multiple climate hazards and has a number of potential impacts to address to reduce vulnerability.,,,,,,,,,
11,,Asset climate resilienceÃÂ scores (Commercial Property),,,,,,,,,,,
14,,Location,Year Assessed,Resilience Rating,,,,,,,,,
15,,Workplace1,,,,,,,,,,,
16,,"16 Giffnock Ave, Macquarie Park (NSW)",2022,7.1,,,,,,,,,
17,,"601 Pacific Highway, St Leonards (NSW)",2022,5.17,,,,,,,,,
18,,"60-66 Waterloo Rd, Macquarie Park (NSW)",2022,6.54,,,,,,,,,
19,,Durack Centre (WA),2011,8.24,,,,,,,,,
20,,"Macquarie Technology Park, Macquarie Park (NSW)",2023,6.84,,,,,,,,,
21,,Mulgrave Corporate Park (Vic),2022,5.75,,,,,,,,,
22,,"Optus Centre, Macquarie Park (NSW)",2022,7.34,,,,,,,,,
23,,"Piccadilly Complex, Sydney (NSW)",2023,5.63,,,,,,,,,
24,,"Triniti Business Park, North Ryde (NSW)",2018,7.91,,,,,,,,,
