Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,CUSTOMER ENGAGEMENT,,,,,,,,,,,,,,
2,,Communities,,,,,,,,,,,,,,
4,,,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,
5,,Masterplanned Communities,,,,,,,,,,,,,,
6,,Weighted customer satisfaction score (prospective residents)1,0.814,0.696,0.68,0.81,0.88,0.82,,,,,,,,
7,,National Liveability Index (Masterplanned Communities)2,0.7,0.7,0.75,0.74,0.74,0.78,,,,,,,,
8,,Liveability - Average resident satisfaction across our Masterplanned communities (6-10 score),0.89,0.91,0.93,0.91,0.93,0.93,,,,,,,,
9,,Liveability - Personal Wellbeing Index (Masterplanned Communities)3,0.788,0.779,0.794,0.78,0.76,0.77,,,,,,,,
10,,Retirement Living,,,,,,,,,,,,,,
11,,Resident KPI across our Retirement Living communities (derived metric)4,,0.87,0.87,,,,,,,,,,,
12,,Resident stated satisfaction across our Retirement Living communities,,0.91,0.91,0.92,0.91,,,,,,,,,
13,,Personal Wellbeing Index (Retirement Living),,0.833,0.844,0.83,0.83,,,,,,,,,
15,,"1. In FY22, we enhanced our KPI approach focusing on our more immediate customers/those that had placed a deposit",,,,,,,,,,,,,,
16,,2. Average Liveability Index score - single number that measures resident satisfaction on a range of attributes calculated using regression analysis. The metric provided focuses on MPC communities only. LLC metric is also available,,,,,,,,,,,,,,
17,,3. Average resident Personal Wellbeing score as measured using Deakin University's methodology.,,,,,,,,,,,,,,
18,,4. This program was discontinued due to the disposal of Stockland's RL assets as at 30 June 2022,,,,,,,,,,,,,,
22,,Commercial Property,,,,,,,,,,,,,,
24,,,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,
25,,Workplace & Logistics,,,,,,,,,,,,,,
26,,Combined Logistics and Workplace tenant KPI (derived metric)1,0.82,0.8,,,,,,,,,,,,
27,,Combined Logistics and Workplace tenant stated satisfaction,0.83,87%3,79%4,N/A2,77%5,76%6,,,,,,,,
28,,Town Centres,,,,,,,,,,,,,,
29,,Weighted tenant satisfaction score,0.825,0.875,0.75,0.8,0.825,0.725,,,,,,,,
30,,Shopper KPI across the Stockland portfolio (YTD derived metric)7,0.821,0.801,,,,,,,,,,,,
31,,Shopper stated satisfaction across the Stockland portfolio,0.837,0.824,0.813,0.8,0.8,0.76,,,,,,,,
32,,Weighted Industry Average as measured by Monash8,0.867,0.871,0.856,0.83,0.82,0.77,,,,,,,,
35,,"1. In FY22, we enhanced our KPI approach was enhanced to incorporate multiple attributes of the W&L experience.",,,,,,,,,,,,,,
36,,2. Our W&L tenant satisfaction survey was deferred in FY20 due to the sector disruption caused by COVID-19.,,,,,,,,,,,,,,
37,,3. In FY22 we re-classified tenant satisfaction percentages as results with a score of 7-10 (as opposed to 6-10) to better reflect overall satisfaction.,,,,,,,,,,,,,,
38,,4. The FY21 satisfaction score reported in prior years (6-10 score) was 87%.,,,,,,,,,,,,,,
39,,5. The FY19 satisfaction score reported in prior years (6-10 score) was 83%.,,,,,,,,,,,,,,
40,,6. The FY18 satisfaction score reported in prior years (6-10 score) was 89%.,,,,,,,,,,,,,,
41,,"7. In FY21, we enhanced the KPI approach to incorporate multiple attributes of the shopper experience.",,,,,,,,,,,,,,
42,,8. Monash Business School ACRS (Australian Consumer and Retail Studies),,,,,,,,,,,,,,
