H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,ENERGY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ESG data pack with no footnotes,,,,
,Energy consumption,,,,,,,,,,Energy consumption prior to restatement,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,FY22,FY21,FY20,FY19
,Total energy consumption by portfolio area (GJ),FY23,FY22,FY21,FY20,FY19,,,,,Total energy consumption by portfolio area (GJ),FY22,FY21,,,,,,,,,,,,,70005.69590359901,59339,72727.054,77998.62167380897,93180.01407635037
,Workplace (base buildings),70005.69590359901,59339,72727.054,77998.62167380897,93180.01407635037,,,,,Workplace (base buildings),59339,72727.054,,,,,,,,,,,,,4895.491127814452,4101,4881.200761152529,5737.371242801012,7261.152656901808
,Corporate offices (incl. corporate travel)1,4895.491127814452,4101,4881.200761152529,5737.371242801012,7261.152656901808,,,,,Corporate offices (incl. corporate travel)2,4101,,,,,,,,,,,,,,3731.3096805306,4093,4928,5615,8009
,Logistics,3731.3096805306,"4,093 4","4,928 4","5,615 4","8,009 4",,,,,Logistics,4070,6107.434,,,,,,,,,,,,,176973.81518731968,198900,214150,243437,262697
,Town Centres,176973.81518731968,"198,900 4","214,150 4","243,437 4","262,697 4",,,,,Town Centres,198707,208493.406,,,,,,,,,,,,,3873.2508368364042,3930,5901.392,5907.368322701222,6776.588960550056
,Residential sites,3873.2508368364042,3930,5901.392,5907.368322701222,6776.588960550056,,,,,Residential sites,3930,5901.392,,,,,,,,,,,,,779.8064063427805,38157,53244.963,36927.856324848464,38195.038839390036
,Retirement Living3,779.8064063427805,38157,53244.963,36927.856324848464,38195.038839390036,,,,,Retirement Living,38157,53244.963,,,,,,,,,,,,,9825.428323848213,5484,,,
,Land Lease Communities2,9825.428323848213,5484,,,,,,,,Land Lease Communities1,5484,,,,,,,,,,,,,,270084.7974662912,314004,355832.60976115253,375623.21756415966,416118.7945331923
