Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,HUMAN CAPITAL DEVELOPMENT,,,,,,,,,,,,,
2,,Learning1,,,,,,,,,,,,,
4,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,
5,,Training days per employee2,1.4,1.3037349551905575,1.4,2.3,1.6,,,,,,,,
7,,"1. Human Capital Development data only includes permanent, fixed term and casual employees.",,,,,,,,,,,,,
8,,2. Training days per employee is calculated by dividing [Total Number Of Training Hours/7.8] by [12-Month Average Headcount].,,,,,,,,,,,,,
9,,Training days per employee by employee category and gender1,,,,,,,,,,,,,
11,,,FY232,,FY22,,FY21,,,,,,,,
12,,Employee Category2,Female,Male,Female,Male,Female,Male,,,,,,,
13,,Executive Committee,5.5,5.3,1.2430199430199427,0.7176715176715175,2.3546052631578953,2.342105263157895,,,,,,,
14,,Executive General Manager,5.7,6.6,2.496153846153846,1.5346153846153836,,,,,,,,,
15,,General Manager,3.3,2.2,1.4380494505494512,1.1593088071348954,1.6332385016595559,1.3621614716402657,,,,,,,
16,,Senior Manager,1.3,0.9,1.3979124964255139,1.312429260113192,1.7445405471721191,1.5801513587891285,,,,,,,
17,,Manager,1.3,1.2,1.583586608271371,1.4500701340964,1.6619885947473265,1.5933225133317885,,,,,,,
18,,Professional/Technical,1.3,1.4,1.224970379809126,1.3349026308811949,1.4627849292995196,1.5569335808033917,,,,,,,
19,,Employee,1.5,1.5,1.2207748200936712,0.9689201877934202,1.264678656440041,0.9854075136734157,,,,,,,
20,,Total 3,1.4,1.4,1.5149239349032746,1.2111311317580005,1.4403987207178028,1.4175290792046968,,,,,,,
22,,1. Training data and average headcount does not include those who do not identify as a male or a female.,,,,,,,,,,,,,
23,,2. We introduced LinkedIn Learning in FY23 to allow more self-guided upskilling for all our employees.,,,,,,,,,,,,,
24,,3. Totals reflect a weighted average.,,,,,,,,,,,,,
26,,Development,,,,,,,,,,,,,
28,,,% Eligible Employees1,,,,,,,,,,,,
29,,Performance review,100,,,,,,,,,,,,
30,,Career development plan,36,,,,,,,,,,,,
32,,1. Eligible employees are permanent employees who have worked for Stockland for at least three months.,,,,,,,,,,,,,
144,,1. Parental leave return rates look at the return rates of employees who have returned from parental leave and either remain employed (returns) or exited either within 6 months or 12 months of return. Data updated as at start of June and captured Parental Leave commencements until end of FY22.,,,,,,,,,,,,,
