Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
25,,,Communities,Complete community resilience assessment on all new projects and embed actions into project/asset business plans.,We are continuing to complete climate and community risk assessments. Each new assessment is followed by debrief sessions with development teams to discuss findings to help those teams embed potential mitigatory actions in their asset plans. The full list of assessments completed in FY22 is available in the Ã¢ÂÂClimate ResilienceÃ¢ÂÂ tab of our ESG Data Pack.,l,Completed as part of our Climate Risk Assessments. This target will change to align with place-based social impact analysis as part of refreshed ESG Strategy.,l
26,,,Group,Establish a group-wide skilled volunteering program.,"Stockland recognises the opportunity skilled volunteering plays in not only developing staff skills and building teams but capability building for charitable organisations. Through piloted projects with Stockland CARE Foundation partners, the design of a new volunteering program integrated with Learning & Development principles is being designed for roll-out in FY23.",l,"Under the remit of the new CARE Foundation Strategy, volunteering opportunities will be thoughtfully integrated with our Learning and Development strategic priorities for the fiscal year 2024. This strategic alignment ensures that our commitment to social impact goes hand-in-hand with the professional growth and expertise of our workforce, making a positive difference both within our organisation and in the broader community.",l
27,,"Provide shared assets to\nsupport affordable, connected and thriving communities.",Group,Establish a community resource sharing network across select assets and communities.,"We created a Community Creation and Curation toolkit in 2020 to help our asset teams share learnings about value creation and adopt a universal approach to delivering social value. This toolkit will be re-launched in FY23 to help our teams share data and insights on related to how we measure social outcomes and impact at the community, state and national level.",l,We have developed a place-based approach to social impact as part of our ESG strategy integration.,l
28,,Create lasting impact in our\ncommunities and places of\nwork through valued social and\nhuman capital.,Communities,All communities and villages to have a community resilience toolkit.,"This target is being reviewed in line with our liveability resilience scorecard to help us understand if a community resilience toolkit will provide valuable information for our residents. All Green Star-rated communities already provide residents with a Resident Emergency Checklist as part of their welcome pack, which provides them with essential information to help them navigate emergency situations.",l,"We have developed a place-based approach to social impact as part of our ESG strategy integration. This is underpinned by our in depth social needs analysis.All Green Star-rated communities provide residents with a Resident Emergency Checklist as part of their welcome pack, which provides them with essential information to help them navigate emergency situations.",l
29,,Embed connections into places and spaces to bring people togetherin a meaningful way.,Commercial Property,All newÃÂ Town Centre developments to include a quiet room and an adult change facility.,"There were no new Town Centre developments in FY22. However, we also install quiet rooms and adult change facilities at existing assets when we complete amenity upgrades (where space allows). We now have eight quiet rooms and five adult change facilities across our Retail portfolio. We are also currently upgrading the amenities at Wetherill Park, which will include both a quiet room and adult change facility.",,"There were no new Town Centre developments in FY23. However, we continue to upgrade our centres with Gold Standard Amenity which can include adult change facilities, ambulant and accessible toilets, gender neutral toilets, quiet rooms and prayer rooms (where applicable). We completed this upgrade at Wetherill Park in FY23 and will commence the same upgrade at Merrylands, Baldivis and Glendale in the coming year. We now have six quiet rooms and six adult change facilities across our Retail portfolio. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",
30,,,Commercial Property,All Town Centres to include an inclusive playspace where space allows.,"We currently have several inclusive playspaces across our Town Centre portfolio, with two additional playspaces in design phase at Stockland Balgowlah and Stockland Forster.",l,"We have several inclusive playspaces across our Town Centre portfolio, with a new playspace opening at Balgowlah and two additional playspaces in design phase at Stockland Forster and Stockland Point Cook. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
31,,,Communities,Enable opportunities for Retirement Living residents to volunteer through our network of community partners including the CARE Foundation.,The ongoing impact of COVID-related lockdowns and associated restrictions meant that our ABCN mentoring program could not proceed as normal in SA and Qld.,l,Stockland Divested Retirement Living as at 29 July 2022,
32,,,Group,Build a network of community partners that strengthen connection across all of our assets and projects.,Workshops have been conducted with current partners to explore opportunities and capacity for scaling to align to StocklandÃ¢ÂÂs new National Partnerships Framework. We are also considering new partner opportunities that align with our new strategy. We expect to make announcements on our progress.,l,In alignment with our new ESG strategy and social impact orientation we are building on our community investment and cross-sector collaboration experience to focus on place-based approaches to social innovation and identifying partners to collaborate with to deliver on this.,l
33,,Shape experiences and social\ninteractions that contribute to a\nsense of belonging.,Commercial Property,"All retail centres to develop a youth engagement strategy to respond to local youth challenges, needs and interests.","We are working with local, cross-sector stakeholders with vested interests in child safety, youth justice, and boosting participation in education and employment pathways. Specific examples of activities delivered across our Town Centres include:\nÃ¢ÂÂ¢ Stockland Townsville Ã¢ÂÂ a community consortia group delivered Ã¢ÂÂSocial Lane: a Pop-up ParkÃ¢ÂÂ, a designated youth and community space that ran activities and acted as a services access point.\nÃ¢ÂÂ¢ Stockland Rockhampton Ã¢ÂÂ a multi-agency working group delivered a Ã¢ÂÂConnection HubÃ¢ÂÂ and Ã¢ÂÂDrop In SpaceÃ¢ÂÂ that ran activities and acted as a services access point.\nÃ¢ÂÂ¢ Stockland Hervey Bay Ã¢ÂÂ engaged with stakeholders in Youth Reconnect programs aimed at tackling long-term intergenerational unemployment, through the delivery of Industry Tours and the provision of work experience.",l,"Our Space is a community connection point within Stockland Rockhampton Shopping Centre, where local health and support organisations can deliver services which target early intervention for at-risk youth, reducing disengagement, and offer health and wellbeing support to young people within Rockhampton. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
34,,,Communities,Continue to ensure all Masterplanned Communities over 1000 lots deliver at least one inclusive playspace.,"In December 2021, we opened the Hilltop Park inclusive playspace at our Minta community in Victoria, which was designed by creative landscape architects, Urban Edge and childrenÃ¢ÂÂs charity group, Variety. Plans are underway to deliver a playspace at Willowdale in FY23, with future works flagged for our communities at The Gables, Highlands and Cloverton.",l,"There were no new inclusive playspaces open this year, however our Willowdale inclusive playspace will open in FY24. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
