Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,COMMUNITY DEVELOPMENT & INVESTMENT,,,,,,
2,,Refreshed ESG Strategy - Social Impact,,,,,,
3,,"We have used the FY22 - 24 targets to inform our refreshed ESG Strategy, the development of our Social IQ tool and our commitment to create over $1.0bn1 in social value by 2030. Our approach to Social Impact commencing in FY24 will be focused, purposeful investment in universal and place-based needs integrated into our business and scaled through our CARE Foundation. For more information on our approach please refer to our Social Management Approach and ESG Strategy in our Annual Report.",,,Not achieved,l,Not achieved,l
4,,,,,On track,l,On track,l
5,,Targets (FY22-24),,,Achieved,l,Achieved,l
6,,During FY23 we continued to deliver on the comitments whilst refreshing our ESG Strategy. Our progress is detailed below. Changes to targets have been indicated throughout. We believe our refreshed approach will deliver more impactful change for local communities.,,,,,,
7,,Focus Area,Business Unit,FY22-24 Target,FY22 Progress,Status,FY23 Progess,Status
8,,Improve Equitable Access,,,,,,
9,,Design assets that are adaptable\nand future-focused.,Group,Enhance the Stockland Accessibility Strategy to provide an improved customer experience to support those customers with a disability.,"We have enhanced our Accessibility Strategy by:\nÃ¢ÂÂ¢ Launching Sensory Maps in six of our Town Centres \nÃ¢ÂÂ¢ Completing six customer experience audits across five of our Town Centres with Get Skilled Access, a disability inclusion consultant\nÃ¢ÂÂ¢ Hosting employee workshop to develop internal staff awareness and confidence, as well areas for improvement across customer journey touchpoints.",l,FY23 has seen significant progress in the delivery of our enterprise wide strategy. Including the delivery of gold standard amenity at Weatherill Park and a new partnership with the Hidden Disabilities Sunflower program. This target will change to align with refreshed ESG Strategy.,l
10,,,Commercial Property,"Undertake accessibility assessments for all Town Centres and benchmark the level of compliance and customer amenity (including dignity, equity and inclusion).","Accessibility assessments have continued in FY22, with Shellharbour the latest to be completed. Recommendations are presented to the asset teams for actioning. To date, nine centres have completed assessments.",l,"Accessibility Assessments continued in FY23 at Rockhampton, Birtinya, Hervey Bay and Townsville. Recommendations are presented to the asset teams for actioning. To date, thirteen centres have completed assessments. This target will change to align with refreshed ESG Strategy.",l
