Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,EMPLOYEE ENGAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,
2,,Our Voice Employee Engagement Survey,,,,,,,,,,,,,,,,,,,,,,,,
3,,"We measure employee engagement through Our Voice employee surveys, independently administered by survey provider Willis Towers Watson. Selected survey results are provided in the table below, followed by metrics on absenteeism, new hires, turnover, and parental leave.",,,,,,,,,,,,,,,,,,,,,,,,
5,,Survey Benchmark,FY23,FY22 (H2)1,FY22 (H1)1,FY21,FY20,FY19,Benchmark Components,,,,,,,,,,,,,,,,,
6,,Employee engagement,,,,,,,,,,,,,,,,,,,,,,,,
7,,Employee engagement,(H1) 88%,,0.82,0.83,0.82,0.81,"- Level of employee support for Stockland values, goals, objectives, and culture\n- Level of team morale\n- Whether employees would recommend Stockland as a good place to work\n- Whether employees are considering leaving Stockland\n- Overall satisfaction with Stockland as a place to work",,,,,,,,,,,,,,,,,
8,,,8 points above Australian Norm,,5 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,
9,,Employees indicating they fully support the values for which Stockland stands,(H1) 97%,,0.96,0.96,0.97,0.96,,,,,,,,,,,,,,,,,,
10,,,5 points above Australian Norm,,5 points above Australian Norm,,6 points above Australian National Norm,,,,,,,,,,,,,,,,,,,
11,,Employees who believe strongly in the goals and objectives of Stockland,(H1) 95%,,0.92,0.93,0.89,0.92,,,,,,,,,,,,,,,,,,
12,,,8 points above Australian Norm,,6 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,
13,,Other benchmarks,,,,,,,,,,,,,,,,,,,,,,,,
14,,Corporate responsibility and sustainability,,0.85,,0.9,0.82,0.87,"- Whether Stockland is an environmentally responsible company\n- Whether employees are proud of Stockland's contribution to the community\n- Whether Stockland achieves a balance between its social, environmental and financial responsibilities",,,,,,,,,,,,,,,,,
15,,,,5 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,,
