Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2,,7. Health & Safety,,,,,,,,,,
4,,WHS Governance and Compliance,,,,,,,,,,
5,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,FY20,FY19,FY18,FY17
7,,Governance,,,,,,,,,,
8,,% workers and contractors covered by a WHS system,403-8,,%,1,1,1,1,1,1,1
9,,HSEH interactions,,,count,4334,3842,3509,2216,1504,1236,1263
11,,Compliance1,,,,,,,,,,
12,,Safety warning notices received,,IF-GU-540a.1,count,20,6,1,4,4,4,3
13,,Safety penalty notices received,,IF-GU-540a.1,count,1,1,0,0,1,0,0
16,,"1In FY23 APA received one regulatory (safety) penalty infringement notice and 20 regulatory (safety) improvement notices. Workplace Health and Safety Queensland issued the infringement notice on an APA contractor undertaking electrical repairs which resulted in a $2,000 penalty. The 20 improvement notices were issued by the same Regulator during an inspection of the Dugald River Solar Farm. All notices were related to minor administrative matters and were promptly rectified.",,,,,,,,,,
33,,Safety PerformanceÃÂ¹,,,,,,,,,,
34,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,FY20,FY19,FY18,FY17
36,,Fatalities,,,,,,,,,,
37,,Total fatalities,403-9,IF-EU-320a.1 & RR-WT-320a.1,count,0,0,0,0,0,0,0
38,,Employees,403-9,IF-EU-320a.1 & RR-WT-320a.1,count,0,0,0,0,0,0,0
39,,Contractors,403-9,IF-EU-320a.1 & RR-WT-320a.1,count,0,0,0,0,0,0,0
41,,Safety Indicators,,,,,,,,,,
42,,Health & Safety Hazard Frequency Rate,,,Total Hazards Reported / per million hours,465.7,546.2,598,474,420,453,529
43,,Health & Safety Near Miss Frequency Rate,,IF-EU-320a.1 & RR-WT-320a.1,Total Near Miss Reported / per million hours,19.7,26.42,93.98,95.63,92.61,87.41,73.56
44,,Total Recordable Injury Frequency Rate (TRIFR),403-9,IF-EU-320a.1 & RR-WT-320a.1,"Injury (LTI,MTI, MOTI) count / per million hours",3.4,3.25,5.7,9.09,5.98,8.94,7.5
45,,TRIFR - Employees,403-9,IF-EU-320a.1 & RR-WT-320a.1,"Injury (LTI,MITI, MOTI) count / per million hours",2.28,0.99,4.63,3.82,3.72,6.34,5.8
46,,TRIFR - Contractors,403-9,IF-EU-320a.1 & RR-WT-320a.1,"Injury (LTI,MITI, MOTI) count / per million hours",4.5,6.25,8.84,15.63,8.05,10.77,8.95
47,,Lost Time Injury Frequency Rate (LTIFR),,,Injury (LTI) count / per million hours,0.68,0.85,1.62,1.21,0.77,1.76,0.52
48,,LTIFR - Employees,,,Injury (LTI) count / per million hours,0.46,0.25,2.18,0.82,0.86,2.11,0.31
49,,LTIFR - Contractors,,,Injury (LTI) count / per million hours,0.9,1.65,0.8,1.7,0.62,1.35,0.75
52,,"1 An Ã¢ÂÂEmployeeÃ¢ÂÂ is an individual who works for APA under a contract of employment. These people are engaged through the companyÃ¢ÂÂs payroll (i.e. subject to PAYG withholding tax and super guarantee arrangements) on a permanent or fixed-term basis. (Includes management). A Ã¢ÂÂContractorÃ¢ÂÂ is an individual, company or other legal entity that provides good and services to APA carries out work or performs services pursuant to a contract for service, including subcontractors. Contingent workers associated with our Infrastructure Development business are included. APA is investigating alternate methods of collecting and validating hours worked by Contigent Workers working in other areas of the business.",,,,,,,,,,
71,,Health Performance,,,,,,,,,,
72,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,,,,
74,,Cases of work-related ill health - Employees,403-10,,count,0,0,1,,,,
75,,Cases of work-related ill health - Contractors,403-10,,count,0,0,0,,,,
