Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2,,Glossary,,,,,,,,,,,,,,,,,
4,,Term,Definition,,,,,,,,,,,,,,,,
5,,AAGE,Australian Association of Graduate Employees,,,,,,,,,,,,,,,,
6,,APA Infra,APA Infrastructure Trust,,,,,,,,,,,,,,,,
7,,APA Invest,APA Investment Trust,,,,,,,,,,,,,,,,
8,,APGA,Australian Pipelines and Gas Association,,,,,,,,,,,,,,,,
9,,ARENA,Australian Renewable Energy Agency,,,,,,,,,,,,,,,,
10,,ASX,Australian Stock Exchange,,,,,,,,,,,,,,,,
11,,ATSI,Aboriginal and Torres Strait Islander,,,,,,,,,,,,,,,,
12,,AUD,Australian dollar,,,,,,,,,,,,,,,,
13,,Clean Energy Regulator (CER),Australian Government body responsible for accelerating carbon abatement for Australia. http://www.cleanenergyregulator.gov.au/,,,,,,,,,,,,,,,,
14,,CO2 equivalent (t-CO2e),Measure used to compare the emissions from various types of greenhouse gas (GHG) based on their global warming potential (GWP)\nThe CO2 equivalent for a gas is determined by multiplying the metric tons of the gas by the associated GWP,,,,,,,,,,,,,,,,
15,,Collective bargaining agreements,Obligations (often legally binding) that the organisation has undertaken. They represent a form of joint decision-making concerning the organisationÃ¢ÂÂs operations.,,,,,,,,,,,,,,,,
16,,Contingent Worker,"Outsourced or borrowed labour pool that APA uses on a hired per-project basis to complement its regular employees in managing service delivery. Includes working arrangements as: Contingent Worker, Labour Hire - Temporary Worker Ã¢ÂÂ RSP; Labour Hire - Temporary Worker - Non-RSP; Labour Hire - Contractor Management Services; Independent contractor; External Secondment.",,,,,,,,,,,,,,,,
17,,Contractor,"An individual, company or other legal entity that provides goods and services to APA, carries out work or performs services pursuant to a contract for service. This includes sub-contractors and contingent workers. A person or company engaged to provide labour or skills and paid on invoice.",,,,,,,,,,,,,,,,
18,,COVID-19,Coronavirus pandemic,,,,,,,,,,,,,,,,
19,,CSP,Community and Social Performance,,,,,,,,,,,,,,,,
20,,Dial-Before-You-Dig,https://www.1100.com.au/,,,,,,,,,,,,,,,,
21,,DWGM,Declared Wholesale Gas Market https://aemo.com.au/en/energy-systems/gas/declared-wholesale-gas-market-dwgm,,,,,,,,,,,,,,,,
22,,EMP,Environmental Management Plan,,,,,,,,,,,,,,,,
23,,Employee,An individual who works for APA under a contract of employment. They are engaged through the companyÃ¢ÂÂs payroll (so subject to PAYG withholding tax and super).,,,,,,,,,,,,,,,,
24,,Employee driven initiatives,Fund raising activities instigated by APA employees for which APA has matched funding on at least a 1:1 ratio,,,,,,,,,,,,,,,,
25,,Employee turnover,"Employees who leave the organisation voluntarily or due to dismissal, retirement, or death in service",,,,,,,,,,,,,,,,
26,,Energy Charter,A national CEO-led collaboration that supports the energy sector towards a customer-centric future. https://www.theenergycharter.com.au/,,,,,,,,,,,,,,,,
27,,Energy Consumption,All energy consumed and produced by APA across all facilities,,,,,,,,,,,,,,,,
28,,EPA,Environment Protection Agency,,,,,,,,,,,,,,,,
29,,Executive Leadership Team,"Comprises Ã¢ÂÂKey Management Personnel/ Head of BusinessÃ¢ÂÂ and Ã¢ÂÂKey Management PersonnelÃ¢ÂÂ (in addition to L5 Senior Leaders below CEO, where CEO is L1) as reported to Workplace Gender Equality Act (WGEA), excluding the CEO",,,,,,,,,,,,,,,,
30,,Extended leadership,Refers to level 3 (L3) and level 4 (L4) workforce who have direct reports at APA (CEO is L1),,,,,,,,,,,,,,,,
31,,Fatality,Work related Safety Incident that results in death to a person,,,,,,,,,,,,,,,,
32,,Fugitive emissions,"Greenhouse gas emissions that are released in connection with, or a consequence of, the extraction, processing, storage or delivery of fossil fuel",,,,,,,,,,,,,,,,
33,,Future Fuels CRC,"Industry focused Research, Development & Demonstration partnership enabling the decarbonisation of AustraliaÃ¢ÂÂs energy networks. https://www.futurefuelscrc.com/",,,,,,,,,,,,,,,,
34,,FY,Financial Year (period between 1 July Ã¢ÂÂ 30 June),,,,,,,,,,,,,,,,
35,,GIS,Geographic Information System,,,,,,,,,,,,,,,,
36,,GJ,Gigajoule,,,,,,,,,,,,,,,,
37,,Goal (climate-related),"An ambition to seek an outcome for which there is no current pathway(s), but for which efforts will be pursued towards addressing that challenge, subject to certain assumptions or conditions",,,,,,,,,,,,,,,,
38,,GRI,Global Reporting Initiative https://www.globalreporting.org/,,,,,,,,,,,,,,,,
39,,GTAP,Gender Targets Action Plan,,,,,,,,,,,,,,,,
40,,Health & Safety hazard,Source of potential harm from which a risk to personÃ¢ÂÂs health or safety arises,,,,,,,,,,,,,,,,
41,,Health & Safety incident,"Any occurrence that has resulted in, or has the potential to result in (i.e. a near miss), adverse consequences to people, property, reputation or a combination of these. Significant deviations from standard operating procedures are also classed as an Ã¢ÂÂincidentÃ¢ÂÂ",,,,,,,,,,,,,,,,
42,,HPIFR,High Potential Incident Frequency Rate,,,,,,,,,,,,,,,,
43,,HSEH,"Health, Safety, Environment and Heritage",,,,,,,,,,,,,,,,
44,,I&D,Inclusion and Diversity,,,,,,,,,,,,,,,,
45,,ICAM,Incident Cause Analysis Method,,,,,,,,,,,,,,,,
46,,Internal environmental audits,"Internal environmental audits are those audits required by, or committed to, in environmental regulatory tools (i.e. Environmental Management Plans)",,,,,,,,,,,,,,,,
47,,ISC,"Institute of Chemical Engineers. A not-for-profit multi-company, subscription-based, industry consortium focused on improving process safety.",,,,,,,,,,,,,,,,
48,,ISO 31000,International Organisation for Standardisation standard for Risk Management. https://www.iso.org/iso-31000-risk-management.html,,,,,,,,,,,,,,,,
