Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
2,,2. Economic,,,,,,,,,,,,,,,,,,,,,,,,
4,,Economic Contribution,,,,,,,,,,,,,,,,,,,,,,,,
5,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,FY20,FY19,FY18,FY17,,,,,,,,,,,,,,
7,,Direct economic value generated (revenues),201-1,,AUD $m,2890,2705,2620,2559.944,2428.949,2364.798,2304.627,,,,,,,,,,,,,,
8,,Economic value distributedÃÂ¹,201-1,,AUD $m,3919,3322,3352,3188,2973,2812,2645,,,,,,,,,,,,,,
9,,Operating costs,201-1,,AUD $m,1640,1354,1375,1308,1218,1161,1083,,,,,,,,,,,,,,
10,,Payments to employees,201-1,,AUD $m,431,351,324,311,284,254,251,,,,,,,,,,,,,,
11,,Payments to suppliers,201-1,,AUD $m,880,742,742,718,707,724,630,,,,,,,,,,,,,,
12,,Payments to providers of capital,201-1,,AUD $m,637,614,602,572,537,490,479,,,,,,,,,,,,,,
13,,Payments to government,201-1,,AUD $m,29,45,27,18,22,22,22,,,,,,,,,,,,,,
14,,Tax paid in own capacity2,201-1,,AUD $m,64,92,121,107,92,68,36,,,,,,,,,,,,,,
15,,Tax paid on behalf of others2,201-1,,AUD $m,238,249,249,247,195,172,218,,,,,,,,,,,,,,
16,,Total economic value generated and distributed,201-1,,AUD $m,6809,6027,5972,5747.944,5401.949,5176.798,4949.627,,,,,,,,,,,,,,
19,,"1 Economic contribution is value distributed on a cash basis, via the following categories: Operating costs; Payments to employees; Payments to suppliers; Payments to providers of capital; Payments to government; Tax Paid.",,,,,,,,,,,,,,,,,,,,,,,,
20,,2Tax paid amounts for FY17-FY22 have been restated in FY23 due to the change in methodology for reporting this metric see tab 'Basis of Preparation' in this data book for the methodology.,,,,,,,,,,,,,,,,,,,,,,,,
22,,Government Assistance,,,,,,,,,,,,,,,,,,,,,,,,
23,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,FY20,FY19,FY18,FY17,,,,,,,,,,,,,,
25,,Fuel Tax Credits,201-4,,AUD,58019,24219,39455,17306,17697,6462,3360,,,,,,,,,,,,,,
26,,Subsidies,201-4,,AUD,26000,156972,10870.48,0,2500,2500,2500,,,,,,,,,,,,,,
27,,Research and development claim,201-4,,AUD,5781815,4281124,4392687.53,435309.88,1334535.51,4571305.59,2147510,,,,,,,,,,,,,,
28,,ARENA grant,201-4,,AUD,0,0,320000,228800.0,0,24200000,1300000,,,,,,,,,,,,,,
29,,Total monetary value of financial assistance received from any government,201-4,,AUD,5865834,4462315,4763013.01,681415.88,1354732.51,28780267.59,3453370,,,,,,,,,,,,,,
32,,Government Ownership,,,,,,,,,,,,,,,,,,,,,,,,
33,,Year-end 30 June,GRI,SASB,UoM,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,
35,,Level of Government ownership,201-4,,%,0,0,0,,,,,,,,,,,,,,,,,,
