Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
101,,,301-2,Percentage of recycled input materials used to manufacture the organization's primary products and services.,Metric not disclosed
102,,,301-3,Reclaimed products and their packaging materials.,Metric not disclosed
103,,GRI 302: Energy 2016,,,
104,,,302-1,Energy consumption within the organisation,APA FY23 Sustainability Data Book - 3. Infrastructure
105,,,302-2,Energy consumption outside of the organisation,Metric not disclosed
106,,,302-3,Energy intensity,Metric not disclosed
107,,,302-4,Reduction of energy consumption,Metric not disclosed
108,,,302-5,Reductions in energy requirements of products and services,Metric not disclosed
109,,GRI 303: Water and Effluents 2018,,,
110,,,303-1,A description of how the organisation interacts with water,Metric not disclosed
111,,,303-2,Management of water discharge-related impacts,Metric not disclosed
112,,,303-3,Water withdrawal,Metric not disclosed
113,,,303-4,Water discharge,Metric not disclosed
114,,,303-5,Water consumption,Metric not disclosed
115,,GRI 304: Biodiversity 2016,,,
116,,,304-1,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Metric not disclosed
117,,,304-2,"Significant impacts of activities, products, and services on biodiversity",Metric not disclosed
118,,,304-3,Habitats protected or restored,Metric not disclosed
119,,,304-4,IUCN Red List species and national conservation list species with habitats in areas affected by operations,Metric not disclosed
120,,GRI 305: Emissions 2016,,,
121,,,305-1,Direct (Scope 1) GHG emissions,APA FY23 Climate Data Book
122,,,305-2,Energy indirect (Scope 2) GHG emissions,APA FY23 Climate Data Book
123,,,305-3,Other indirect (Scope 3) GHG emissions,APA FY23 Climate Data Book
124,,,305-4,GHG emissions intensity,APA FY23 Climate Data Book
125,,,305-5,Reduction of GHG emissions,APA FY23 Climate Data Book
126,,,305-6,Emissions of ozone-depleting substances (ODS),Metric not disclosed
127,,,305-7,"Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",APA FY23 Sustainability Data Book - 9. Air emissions
128,,GRI 306: Waste 2020,GRI 306: Waste 2020,,
129,,,306-1,Waste generation and significant waste-related impacts,Metric not disclosed
130,,,306-2,Management of significant waste-related impacts,Metric not disclosed
131,,,306-3,Waste generated,Metric not disclosed
132,,,306-4,Waste diverted from disposal,Metric not disclosed
133,,,306-5,Waste directed to disposal,Metric not disclosed
134,,GRI 307: Environmental Compliance 2016,,,
135,,,307-1,Non-compliance with environmental laws and regulations.,Metric partially disclosed \nAPA Annual Report - Environment & Heritage\nAPA FY23 Sustainability Data Book - 8. Environment
136,,GRI 308: Supplier Environmental Assessment 2016,,,
137,,,308-1,New suppliers that were screened using environmental criteria,Metric partially disclosed - APA Modern Slavery Statement 2022
138,,,308-2,Negative environmental impacts in the supply chain and actions taken,Metric partially disclosed - APA Modern Slavery Statement 2022
139,,SOCIETY,SOCIETY,,
140,,GRI 401: Employment 2016,,,
141,,,401-1,New employee hires and employee turnover,APA FY23 Sustainability Data Book - 6. People & Culture
142,,,401-2,Benefits provided to full-time employees,APA Website Ã¢ÂÂ Working at APA\nhttps://www.apa.com.au/careers/working-at-apa/
143,,,401-3,Parental leave,APA FY23 Sustainability Data Book - 6. People & Culture
144,,GRI 402: Labor/Management Relations 2016,,,
145,,,402-1,Minimum notice periods regarding operational changes,Metric not disclosed
146,,GRI 403: Occupational Health and Safety 2018,,,
147,,,403-1,Occupational health and safety management system,"APA Annual Report 2023 - Health, Safety & Wellbeing\nAPA FY23 Sustainability Data Book - 7. Health & Safety"
148,,,403-2,"Hazard identification, risk assessment, and incident investigation",APA FY23 Sustainability Data Book - 7. Health & Safety
149,,,403-3,Occupational health services,"APA Annual Report 2023 - Health, Safety & Wellbeing\nAPA FY23 Sustainability Data Book - 7. Health & Safety"
150,,,403-4,"Worker participation, consultation, and communication on occupational health and safety","Health, Safety and Wellbeing Policy https://www.apa.com.au/globalassets/about-apa/our- organisation/corporate-governance/conduct-\npolicies/apa-health-safety-and-wellbeing-policy.pdf"
151,,,403-5,Worker training on occupational health and safety,"APA Annual Report 2023 - Health, Safety & Wellbeing\nAPA FY23 Sustainability Data Book - 7. Health & Safety"
