Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2,,Sustainability Accounting Standards Board (SASB) Index,,,,
4,,SASB sector,Code,Accounting metric,APA response / reference,
5,,GOVERNANCE,,,,
6,,Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-520a.1,Total amount of monetary losses as a result of legal proceedings associated with federal pipeline and storage regulations,"APA Annual Report 2023\n- Health, Safety & Wellbeing\n- Environment & Heritage\nAPA FY23 Sustainability Data Book - 1. Governance\nNote: Metric scope expanded beyond original SASB Sub Sector(s) assets\nto reflect all APA asset types and regulatory compliance landscape (inc. environment, health and safety)",
7,,Infrastructure - Gas Utilities & Distributors\n\nExtractives & Minerals Processing Sector - Oil & Gas (Midstream),IF-GU-540a.1 EM-MD-540a.1,"Number of reportable pipeline incidents, percentage significant","Metric partially disclosed\nAPA FY23 Sustainability Data Book - 1. Governance\nNote: Metric scope expanded beyond original SASB Sub Sector(s) assets\nto reflect all APA asset types and regulatory compliance landscape (inc. environment, health and safety)",
8,,Infrastructure - Electric Utilities & Power Generators,IF-EU-140a.2,"Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations","Metric partially disclosed\nAPA FY23 Sustainability Data Book \n- 1. Governance\n- 8. Environment\nNote: Metric scope expanded beyond original SASB Sub Sector(s) assets\nto reflect all APA asset types and regulatory compliance landscape (inc. environment, health and safety)",
9,,Infrastructure - Electric Utilities & Power Generators,IF-EU-550a.1,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations,Metric partially disclosed\nAPA FY23 Sustainability Data Book - 1. Governance,
10,,INFRASTRUCTURE,,,,
11,,Extractives & Minerals Processing Sector - Oil & Gas (Midstream),IF-GU-000.B EM-MD-000.A,Amount (total) of natural gas delivered to:\n(1) residential customers\n(2) commercial customers\n(3) industrial customers\n(4) transferred to a third party,"Metric partially disclosed\nAPA FY23 Sustainability Data Book - 3. Infrastructure\nNote: Metric scope expanded beyond original SASB Sub Sector(s) assets\nto reflect all APA asset types and regulatory compliance landscape (inc. environment, health and safety)",
12,,Infrastructure - Gas Utilities & Distributors,IF-GU-000.C,Length of gas:\n(1) transmission\n(2) distribution pipelines,APA Annual Report 2023 Ã¢ÂÂ About APA,
